Mun_Code;Municipality;Comarca;Province;CCAA;Population_2024;Area_km2;Distance_km;Distance_class;Growth_2018_2021_pct;Growth_2021_2024_pct
08148;Olivella;GARRAF;Barcelona;Cataluña/Catalunya;4419.0;38.94;11.34;<=30 km;10.67;7.08
03025;Benferri;MERIDIONAL;Alacant/Alicante;Comunitat Valenciana;2053.0;12.37;11.41;<=30 km;0.93;4.85
09287;Quintanaortuño;ARLANZON;Burgos;Castilla y León;284.0;5.57;11.42;<=30 km;2.62;3.65
26051;Clavijo;RIOJA MEDIA;La Rioja;La Rioja;296.0;19.64;11.47;<=30 km;6.59;1.72
06009;Aljucén;MERIDA;Badajoz;Extremadura;255.0;19.09;11.48;<=30 km;2.04;2.0
46255;Vilallonga/Villalonga;GANDIA;València/Valencia;Comunitat Valenciana;4713.0;43.32;11.5;<=30 km;3.49;5.84
43024;Bellvei;BAIX PENEDES;Tarragona;Cataluña/Catalunya;2417.0;8.28;11.52;<=30 km;5.16;4.95
48092;Bedia;DURANGUESADO;Bizkaia;País Vasco/Euskadi;1117.0;16.39;11.52;<=30 km;3.36;3.81
28166;Valverde de Alcalá;CAMPIÑA;Madrid;Comunidad de Madrid;553.0;13.74;11.53;<=30 km;19.91;6.76
46030;Algímia d'Alfara;SAGUNTO;València/Valencia;Comunitat Valenciana;1104.0;14.46;11.58;<=30 km;5.89;2.32
01021;Elburgo/Burgelu;LLANADA ALAVESA;Araba/Álava;País Vasco/Euskadi;642.0;32.08;11.61;<=30 km;5.14;1.26
45083;Layos;SAGRA-TOLEDO;Toledo;Castilla-La Mancha;906.0;18.22;11.61;<=30 km;18.25;11.85
03003;Agres;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;610.0;25.85;11.63;<=30 km;5.26;5.17
40031;Bernuy de Porreros;SEGOVIA;Segovia;Castilla y León;1247.0;9.27;11.64;<=30 km;3.68;58.25
05121;Martiherrero;AVILA;Ávila;Castilla y León;361.0;22.79;11.65;<=30 km;5.99;7.44
03010;Alfafara;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;413.0;19.78;11.69;<=30 km;0.25;1.23
03129;Tibi;VINALOPO;Alacant/Alicante;Comunitat Valenciana;1803.0;70.4;11.71;<=30 km;8.12;6.62
16122;Mariana;SERRANIA MEDIA;Cuenca;Castilla-La Mancha;314.0;39.95;11.72;<=30 km;3.75;3.29
04038;Dalías;CAMPO DALIAS;Almería;Andalucía;4169.0;140.62;11.74;<=30 km;1.76;1.63
29033;Canillas de Aceituno;VELEZ MALAGA;Málaga;Andalucía;1777.0;42.03;11.84;<=30 km;5.19;4.28
48056;Lemoiz;MUNGUIA;Bizkaia;País Vasco/Euskadi;1337.0;18.9;11.85;<=30 km;4.51;3.08
17130;La Pera;BAIX EMPORDA;Girona;Cataluña/Catalunya;450.0;12.0;11.87;<=30 km;0.22;0.45
19015;Aldeanueva de Guadalajara;CAMPIÑA;Guadalajara;Castilla-La Mancha;106.0;16.05;11.95;<=30 km;17.86;7.07
03037;Benimantell;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;548.0;37.95;11.95;<=30 km;2.24;9.38
26096;Medrano;RIOJA MEDIA;La Rioja;La Rioja;355.0;7.45;11.96;<=30 km;6.23;4.11
09362;Sarracín;ARLANZON;Burgos;Castilla y León;261.0;9.6;11.97;<=30 km;4.9;1.56
28093;Navacerrada;GUADARRAMA;Madrid;Comunidad de Madrid;3290.0;27.52;12.05;<=30 km;10.61;2.17
28165;Valdilecha;CAMPIÑA;Madrid;Comunidad de Madrid;3213.0;42.55;12.06;<=30 km;8.42;4.35
37069;Calvarrasa de Abajo;SALAMANCA;Salamanca;Castilla y León;1201.0;28.19;12.26;<=30 km;1.48;2.74
05093;Herradón de Pinares;VALLE BAJO ALBERCHE;Ávila;Castilla y León;495.0;48.38;12.27;<=30 km;7.65;13.53
48061;Maruri-Jatabe;MUNGUIA;Bizkaia;País Vasco/Euskadi;1073.0;15.94;12.27;<=30 km;1.02;8.17
34088;Husillos;CAMPOS;Palencia;Castilla y León;393.0;16.34;12.3;<=30 km;14.38;9.78
12094;la Pobla Tornesa;LLANOS CENTRALES;Castelló/Castellón;Comunitat Valenciana;1325.0;25.93;12.33;<=30 km;2.57;6.94
45123;Ontígola;LA MANCHA;Toledo;Castilla-La Mancha;4992.0;41.31;12.33;<=30 km;10.84;5.25
