Mun_Code,Mun,pop_1996_2015 (k=19),pop_1998_2017 (k=19),pop_1999_2018 (k=19),pop_2000_2019 (k=19),pop_2001_2020 (k=19),pop_2002_2021 (k=19),pop_2003_2022 (k=19),pop_2004_2023 (k=19),pop_2005_2024 (k=19)
1001,Alegría-Dulantzi,133.54943273905997,131.37410643367753,117.23100075244545,105.2819414703783,97.51009421265141,83.04130162703379,73.40363210310487,55.02866076081292,45.068359375
1002,Amurrio,5.1752408280385325,5.516251409822619,5.464985132779657,6.481481481481481,5.869004641567818,7.43172816343548,7.598116169544741,8.42094196804037,7.693911592994161
1003,Aramaio,12.862453531598513,9.597069597069599,8.011653313911143,3.6016949152542375,-0.3455425017277125,-1.555104800540906,-3.895231699126931,-5.245460659045057,-8.117099135063206
1004,Artziniega,41.453982985305494,38.876233864844345,36.846038863976084,36.09865470852018,35.236664162284,35.100821508588496,31.064446053584362,26.25775327360441,23.815877251501
1006,Armiñón,75.53956834532374,64.82758620689654,43.13725490196079,55.47945205479452,41.139240506329116,38.32335329341318,38.23529411764706,43.20987654320987,41.14285714285714
1008,Arratzua-Ubarrundia,33.8255033557047,28.252299605781868,29.894179894179896,34.9862258953168,32.43606998654105,40.469613259668506,43.793584379358435,31.19496855345912,29.739776951672862
1009,Asparrena,6.878650227125243,6.217616580310881,5.253042921204356,2.2813688212927756,2.3974763406940065,2.4466750313676284,3.804692454026633,1.7710309930423784,0.311332503113325
1010,Ayala/Aiara,45.766932270916335,48.37581209395302,46.08567208271787,44.08914728682171,42.281879194630875,36.81038479369494,30.635062611806795,20.828157349896482,15.735641227380015
1011,Baños de Ebro/Mañueta,-7.164179104477612,-8.383233532934131,-14.114114114114114,-11.28048780487805,-11.976047904191617,-15.835777126099707,-14.202898550724639,-12.202380952380953,-15.406976744186046
1013,Barrundia,63.35740072202166,53.242320819112635,49.66101694915254,44.75409836065574,41.41252006420545,37.90446841294299,29.829545454545453,18.807947019867548,12.836970474967908
1014,Berantevilla,15.88089330024814,9.113300492610838,4.976303317535545,5.348837209302325,1.312910284463895,-0.4282655246252677,-2.586206896551724,-1.5283842794759825,0.21834061135371177
1016,Bernedo,-2.5925925925925926,-8.02919708029197,-6.0661764705882355,-9.689213893967093,-6.111111111111111,0.7490636704119851,2.941176470588235,0.37174721189591076,-3.53356890459364
1017,Campezo/Kanpezu,-3.606853020739405,-2.3299161230195713,-2.0715630885122414,-1.8867924528301887,-4.612546125461255,0.0,2.916274694261524,-1.19815668202765,0.18467220683287164
1018,Zigoitia,66.98202459791864,56.00706713780919,46.327212020033386,40.66022544283413,35.057915057915054,36.93009118541033,36.88955672426747,36.814425244177315,33.81712626995646
1019,Kripan,-9.0,-1.6042780748663104,-4.736842105263158,-4.25531914893617,-3.783783783783784,-5.913978494623656,-7.853403141361256,-8.421052631578947,-7.772020725388601
1020,Kuartango,5.539358600583091,2.7624309392265194,2.4193548387096775,0.53475935828877,2.666666666666667,6.451612903225806,14.713896457765669,10.164835164835164,14.606741573033707
1021,Elburgo/Burgelu,216.66666666666666,162.77056277056278,124.1635687732342,87.7742946708464,62.133333333333326,49.528301886792455,44.59770114942529,40.83885209713024,35.1578947368421
1022,Elciego,14.115092290988057,13.31133113311331,13.259668508287293,8.64864864864865,7.4034334763948495,4.842105263157895,2.9692470837751856,4.103671706263499,1.487778958554729
1023,Elvillar/Bilar,1.4367816091954022,0.2840909090909091,-2.247191011235955,-8.264462809917356,-9.340659340659341,-10.899182561307901,-15.733333333333333,-16.0857908847185,-12.841530054644808
1027,Iruraiz-Gauna,24.754901960784316,27.098321342925658,24.278846153846153,19.953596287703014,19.015659955257274,15.75492341356674,17.248908296943235,16.344086021505376,15.690376569037657
1028,Labastida/Bastida,35.95194085027727,23.53440951571793,20.920502092050206,16.8141592920354,18.980392156862745,18.944099378881987,18.125960061443934,17.391304347826086,12.508986340762041
1030,Lagrán,-14.210526315789473,-14.871794871794872,-19.796954314720814,-22.277227722772277,-18.592964824120603,-12.755102040816327,-8.37696335078534,-11.794871794871794,-11.458333333333332
1031,Laguardia,6.816584680252986,4.613200851667849,6.813342796309439,5.807365439093484,2.6836158192090394,1.1748445058742225,1.367053998632946,-0.5405405405405406,-0.33715441672285906
1032,Lanciego/Lantziego,4.461538461538462,4.341085271317829,3.894080996884735,5.98159509202454,8.409785932721713,4.216867469879518,11.728395061728394,10.10886469673406,3.787878787878788
1033,Lapuebla de Labarca,-0.11614401858304298,-0.5787037037037037,-1.7201834862385321,0.0,0.34802784222737815,-2.1664766248574687,0.5780346820809248,2.0047169811320753,0.5854800936768151
1034,Leza,18.681318681318682,18.023255813953487,0.0,-2.403846153846154,3.9408866995073892,4.784688995215311,3.3333333333333335,0.0,-8.695652173913043
1036,Laudio/Llodio,-8.100236026716216,-7.926271961003352,-7.268744906275469,-6.012461059190031,-5.482810788251865,-5.345316934720908,-5.113666472365005,-4.294642380214732,-3.493801320238287
1037,Arraia-Maeztu,4.093567251461988,4.76878612716763,0.7022471910112359,4.011461318051576,2.5174825174825175,9.140518417462483,8.94308943089431,10.326086956521738,11.989100817438691
1039,Moreda de Álava/Moreda Araba,-17.6678445229682,-20.415224913494807,-21.575342465753426,-23.79310344827586,-26.223776223776223,-27.177700348432055,-22.857142857142858,-24.637681159420293,-23.214285714285715
1041,Navaridas,1.762114537444934,4.147465437788019,-2.7906976744186047,-4.30622009569378,-10.599078341013826,-10.454545454545453,-3.3816425120772946,-5.288461538461538,-9.047619047619047
