Mun_Code,Mun,pop_1996_2008 (k=12),pop_1998_2010 (k=12),pop_1999_2011 (k=12),pop_2000_2012 (k=12),pop_2001_2013 (k=12),pop_2002_2014 (k=12),pop_2003_2015 (k=12),pop_2004_2016 (k=12),pop_2005_2017 (k=12),pop_2006_2018 (k=12),pop_2007_2019 (k=12),pop_2008_2020 (k=12),pop_2009_2021 (k=12),pop_2010_2022 (k=12),pop_2011_2023 (k=12),pop_2012_2024 (k=12)
1001,Alegría-Dulantzi,99.91896272285251,115.56791104050833,110.91045899172309,104.7822983583155,93.13593539703902,83.04130162703379,68.83421206795548,48.8275143303804,42.236328125,31.886706258565557,24.772234273318873,18.97040940413458,11.641221374045802,9.064112011790716,6.136282554405994,3.555245730219589
1002,Amurrio,2.7567124410739905,3.0452168563518915,2.6760996616425716,4.053497942386832,4.579680247550284,6.722951844903065,7.409733124018839,7.863751051303616,7.287322768974145,6.789867109634551,4.767689037351959,2.3636182307769023,2.16076915452473,2.298507462686567,2.98581985220691,2.1356535495352977
1003,Aramaio,10.706319702602231,9.670329670329672,8.958485069191552,6.850282485875706,3.04077401520387,-0.0676132521974307,1.9476158495634655,1.0087424344317417,-0.4657351962741184,-0.4697986577181208,-1.7414601473543203,-3.15648085963734,-2.868579052701801,-4.408817635270541,-5.815508021390374,-8.724388631857236
1004,Artziniega,36.42691415313225,38.041002277904326,37.74289985052317,39.0881913303438,37.64087152516905,35.77296489917849,32.440260680666185,26.809097174362506,22.01467645096731,12.262415695892091,6.991774383078731,2.0408163265306123,-0.49504950495049505,-0.44004400440044,-0.5968529571351058,-0.2686727565824825
1006,Armiñón,42.44604316546763,55.172413793103445,49.673202614379086,58.21917808219178,50.0,49.700598802395206,43.529411764705884,44.44444444444444,36.57142857142857,22.3463687150838,14.07035175879397,12.626262626262626,11.594202898550725,4.444444444444445,1.3100436681222707,6.926406926406926
1008,Arratzua-Ubarrundia,21.073825503355707,19.97371879106439,25.793650793650798,35.39944903581267,32.03230148048452,37.29281767955801,39.05160390516039,23.144654088050316,20.941759603469638,13.921113689095128,11.363636363636363,9.090909090909092,10.423452768729643,12.924424972617743,9.674027339642482,6.510681586978636
1009,Asparrena,3.5042180402336145,8.808290155440414,7.879564381806533,7.604562737642586,5.425867507886435,3.638644918444166,4.438807863031072,3.099304237824162,2.1170610211706102,3.790271636133923,2.2813688212927756,1.755485893416928,-0.6690997566909975,-2.5595238095238093,-4.453681710213777,-5.123674911660777
1010,Ayala/Aiara,34.9601593625498,41.27936031984008,41.802067946824224,41.37596899224806,40.69990412272291,35.79044969865554,30.90339892665474,21.987577639751553,16.797797010228166,13.028571428571428,12.865275142314992,9.52029520295203,6.804198335142961,3.3250795896710295,1.3194444444444444,0.822481151473612
1011,Baños de Ebro/Mañueta,6.567164179104477,-1.4970059880239521,-2.7027027027027026,-3.353658536585366,-3.293413173652695,-4.69208211143695,-9.855072463768117,-8.333333333333332,-11.046511627906977,-22.070844686648503,-18.487394957983195,-17.647058823529413,-13.813813813813812,-10.030395136778116,-8.950617283950617,-8.201892744479496
1013,Barrundia,51.80505415162455,55.2901023890785,53.559322033898304,48.85245901639344,48.31460674157304,40.98613251155624,28.551136363636363,19.602649006622517,15.275994865211809,11.069182389937108,7.946210268948656,4.756242568370987,2.2857142857142856,0.43956043956043955,-0.9933774834437087,-3.1938325991189425
