Mun_Code,Mun,pop_1998_1999 (k=1),pop_1999_2000 (k=1),pop_2000_2001 (k=1),pop_2001_2002 (k=1),pop_2002_2003 (k=1),pop_2003_2004 (k=1),pop_2004_2005 (k=1),pop_2005_2006 (k=1),pop_2006_2007 (k=1),pop_2007_2008 (k=1),pop_2008_2009 (k=1),pop_2009_2010 (k=1),pop_2010_2011 (k=1),pop_2011_2012 (k=1),pop_2012_2013 (k=1),pop_2013_2014 (k=1),pop_2014_2015 (k=1),pop_2015_2016 (k=1),pop_2016_2017 (k=1),pop_2017_2018 (k=1),pop_2018_2019 (k=1),pop_2019_2020 (k=1),pop_2020_2021 (k=1),pop_2021_2022 (k=1),pop_2022_2023 (k=1),pop_2023_2024 (k=1)
1001,Alegría-Dulantzi,5.559968228752978,5.417607223476298,6.067094932191292,7.537012113055182,6.821026282853566,12.419449326303457,6.72225117248567,6.884765625,5.299223389675651,7.02819956616052,6.20186461289015,3.5877862595419847,3.2792925571112748,2.3546200499464858,0.03485535029627048,1.9163763066202089,-1.4700854700854702,-0.9021512838306732,1.9957983193277309,-0.8925506350841057,-0.38101835815725665,2.0514603616133518,-0.34071550255536626,1.1965811965811968,0.5067567567567568,-0.13445378151260504
1002,Amurrio,0.0,-0.3383574284835435,-0.257201646090535,-1.0417741103661682,-0.40650406504065045,-0.4500261643118786,0.8410428931875525,0.4170141784820684,2.5643687707641196,1.4981273408239701,0.6183305076294006,-0.3865596193874517,-0.3582089552238806,0.9986019572598361,0.24718212378880758,0.9862905611993292,0.23439789041898623,-0.029231218941829874,0.30214424951267055,-0.04858614323195025,0.6222049387517014,-0.8309178743961353,0.41893998441153546,-0.252255748520423,0.3112537690886101,0.16484049258217784
1003,Aramaio,0.5860805860805861,3.1318281136198105,2.189265536723164,2.21147201105736,0.676132521974307,-0.1343183344526528,1.0759919300605245,-0.8649367930805056,0.20134228187919465,-0.26791694574681846,0.6715916722632639,-0.13342228152101399,-0.06680026720106881,1.1363636363636365,-1.4540647719762063,-0.8718980549966466,2.706359945872801,-1.0540184453227932,-0.3994673768308922,-0.8689839572192514,-1.078894133513149,-1.7041581458759374,0.9708737864077669,-1.7170329670329672,-1.5373864430468203,-1.98722498225692
1004,Artziniega,1.5945330296127564,0.0,-0.523168908819133,0.6010518407212623,3.136669156086632,5.068790731354091,3.308063404548587,8.805870580386925,4.353157572041693,3.6427732079905994,3.061224489795918,0.0,1.3751375137513753,0.9766684753119913,-1.5583019881783988,-0.7641921397379913,0.605060506050605,0.6014215418261345,-0.5978260869565217,0.10934937124111535,-0.5461496450027308,-1.1532125205930808,0.5,0.055279159756771695,1.2154696132596685,1.3100436681222707
1006,Armiñón,5.517241379310345,-4.57516339869281,8.21917808219178,5.69620253164557,1.7964071856287425,-4.705882352941177,8.024691358024691,2.2857142857142856,11.1731843575419,-0.5025125628140703,4.545454545454546,8.695652173913043,1.7777777777777777,0.8733624454148471,2.5974025974025974,5.485232067510549,-2.4,-4.098360655737705,2.1367521367521367,-8.368200836820083,3.65296803652968,-1.762114537444934,3.587443946188341,1.7316017316017316,-1.276595744680851,6.4655172413793105
1008,Arratzua-Ubarrundia,-0.657030223390276,-3.968253968253968,2.3415977961432506,-2.557200538358008,-0.9668508287292817,10.87866108786611,1.509433962264151,6.815365551425032,2.088167053364269,2.5,2.106430155210643,-0.8686210640608035,4.16210295728368,3.3648790746582544,-0.20345879959308238,1.325178389398573,0.30181086519114686,-1.8054162487462388,-0.30643513789581206,0.6147540983606558,-0.20366598778004072,0.40816326530612246,3.353658536585366,1.376597836774828,1.1639185257032008,0.38350910834132307
1009,Asparrena,1.1010362694300517,1.0890454836643177,0.4435994930291508,0.5678233438485805,-1.066499372647428,0.2536461636017755,1.5812776723592663,-1.432129514321295,-0.3158559696778269,1.0773130544993663,3.072100313479624,2.18978102189781,0.2380952380952381,0.831353919239905,-1.5901060070671376,-1.1370436864153202,-0.3026634382566586,-1.0321797207043109,0.6134969325153374,0.1829268292682927,-1.7650639074863057,0.5576208178438662,0.6161429451632778,0.2449479485609308,-1.7104459376908978,0.1243008079552517
1010,Ayala/Aiara,1.4992503748125936,1.6248153618906942,1.065891472868217,3.4036433365292424,3.662494204914233,8.005366726296959,5.25879917184265,3.2651455546813537,0.38095238095238093,2.846299810246679,1.955719557195572,2.316322837495476,1.8747789175804739,1.3194444444444444,0.5825908156271419,-0.20442930153321978,-0.06828269033799932,0.6491288008199522,0.7807196198234895,-0.06736274840013473,0.23592854735422988,-0.20174848688634836,-0.5727762803234502,-1.0166045408336157,-0.10270455323519344,0.822481151473612
1011,Baños de Ebro/Mañueta,-0.29940119760479045,-1.5015015015015014,1.8292682926829267,2.095808383233533,1.1730205278592376,-2.608695652173913,2.380952380952381,6.686046511627906,-2.7247956403269753,0.0,-6.722689075630252,-1.2012012012012012,-1.5197568389057752,-2.1604938271604937,1.8927444794952681,0.6191950464396285,-4.3076923076923075,-0.964630225080386,-0.6493506493506493,-6.535947712418301,1.7482517482517483,1.0309278350515463,-2.380952380952381,3.1358885017421603,-0.33783783783783783,-1.3559322033898304
1013,Barrundia,0.6825938566552902,3.389830508474576,2.1311475409836063,4.173354735152488,8.47457627118644,7.2443181818181825,3.1788079470198674,2.053915275994865,2.8930817610062896,2.8117359413202934,4.0428061831153395,4.0,-0.43956043956043955,0.22075055187637968,1.762114537444934,-0.974025974025974,-1.092896174863388,-0.22099447513812157,-0.5537098560354374,-1.670378619153675,0.0,-0.22650056625141565,1.5891032917139614,2.1229050279329607,-1.8599562363238513,-2.0066889632107023
