Mun_Code,Mun,pop_1996_2024 (k=28)
3112,Relleu,56.69099756690997
3113,Rojales,138.52675469075749
3114,"Romana, la",33.266832917705734
3115,Sagra,16.358839050131927
3116,Salinas,51.192504258943785
3117,Sanet y Negrals,27.56183745583039
3118,San Fulgencio,226.6274238227147
3119,Sant Joan d'Alacant,61.90654672663668
3120,San Miguel de Salinas,98.12553251917069
3121,Santa Pola,125.48687057722674
3122,Sant Vicent del Raspeig/San Vicente del Raspeig,72.2660492768536
3123,Sax,18.21034282393957
3124,Sella,2.8960817717206133
3125,Senija,46.835443037974684
3127,Tàrbena,-12.066574202496533
3128,Teulada,52.241992882562286
3129,Tibi,57.192676547515255
3130,Tollos,-19.148936170212767
3131,Tormos,7.540983606557377
3132,"Torre de les Maçanes, la/Torremanzanas",-0.6675567423230975
3133,Torrevieja,163.35629757208733
3134,"Vall d'Alcalà, la",-5.913978494623656
3135,"Vall d'Ebo, la",-32.94460641399417
3136,"Vall de Gallinera, la",-14.369501466275661
3137,"Vall de Laguar, la",-1.6339869281045754
3138,"Verger, el",45.354287289771165
3139,"Vila Joiosa, la/Villajoyosa",61.335607452112306
3140,Villena,8.968467754713991
3901,"Poblets, els",125.35684298908481
3902,Pilar de la Horadada,150.25188916876576
3903,"Montesinos, Los",133.25123152709358
3904,San Isidro,84.07643312101911
4001,Abla,-16.808371484630477
4002,Abrucena,-15.41095890410959
4003,Adra,22.093023255813954
4004,Albanchez,8.945686900958465
4005,Alboloduy,-28.396572827417383
4006,Albox,31.218274111675125
4007,Alcolea,-3.37995337995338
4008,Alcóntar,-10.305958132045088
4009,Alcudia de Monteagud,-30.05464480874317
4010,Alhabia,4.46685878962536
4011,Alhama de Almería,24.935567010309278
4012,Alicún,-13.654618473895583
4013,Almería,18.86887620745676
4014,Almócita,8.808290155440414
4015,Alsodux,22.123893805309734
4016,Antas,29.74802557352388
4017,Arboleas,178.64516129032256
4018,Armuña de Almanzora,-2.359882005899705
4019,Bacares,-16.72473867595819
4020,Bayárcal,-17.086834733893557
4021,Bayarque,-4.680851063829787
4022,Bédar,76.81159420289855
4023,Beires,11.278195488721805
4024,Benahadux,77.94226498889711
4026,Benitagla,-45.94594594594595
4027,Benizalón,-23.170731707317074
4028,Bentarique,-31.419939577039273
4029,Berja,-0.7973625699608985
4030,Canjáyar,-36.399326977005046
4031,Cantoria,6.315162347333929
4032,Carboneras,35.816572807723254
4033,Castro de Filabres,-51.20772946859904
4034,Cóbdar,-30.656934306569344
4035,Cuevas del Almanzora,58.4
4036,Chercos,4.844290657439446
4037,Chirivel,-15.752688172043012
4038,Dalías,16.128133704735376
4041,Enix,168.16143497757847
4043,Felix,37.01067615658363
4044,Fines,30.927835051546392
4045,Fiñana,-24.96217851739788
4046,Fondón,21.306209850107066
4047,Gádor,18.143297380585516
4048,"Gallardos, Los",74.38955139125497
4049,Garrucha,117.85494144236696
4050,Gérgal,9.366391184573002
4051,Huécija,0.0
4052,Huércal de Almería,246.32873648900485
4053,Huércal-Overa,49.81826112241931
4054,Íllar,-5.930470347648262
4055,Instinción,-8.957952468007313
4056,Laroya,93.51851851851852
4057,Laujar de Andarax,-8.650137741046832
4058,Líjar,-23.837209302325583
4059,Lubrín,-21.667580910586945
4060,Lucainena de las Torres,21.428571428571427
4061,Lúcar,3.254067584480601
4062,Macael,-8.865010073875084
4063,María,-27.92521109770808
4064,Mojácar,71.07419208010924
4065,Nacimiento,-7.393715341959335
4066,Níjar,120.25704201904507
4067,Ohanes,-33.047735618115055
4068,Olula de Castro,-8.121827411167512
4069,Olula del Río,4.2822384428223845
4070,Oria,-1.830357142857143
4071,Padules,-9.836065573770492
4072,Partaloa,122.08121827411166
4073,Paterna del Río,18.208955223880597
4074,Pechina,74.06396255850234
4075,Pulpí,128.87351018838908
4076,Purchena,-9.610849056603774
4077,Rágol,-24.556962025316455
4078,Rioja,34.66101694915254
4079,Roquetas de Mar,193.2674490426189
4080,Santa Cruz de Marchena,13.953488372093023
4081,Santa Fe de Mondújar,20.194647201946474
4082,Senés,-22.56267409470752
4083,Serón,-22.210065645514224
4084,Sierro,-26.27450980392157
4085,Somontín,3.149606299212598
4086,Sorbas,-10.903316866619619
4087,Suflí,-0.8583690987124464
4088,Tabernas,18.51316170089673
4089,Taberno,-5.962854349951124
4090,Tahal,-9.63855421686747
4091,Terque,-13.513513513513514
4092,Tíjola,-7.698309492847855
4093,Turre,95.13212795549374
4094,Turrillas,-7.26643598615917
4095,Uleila del Campo,-18.967229394240317
4096,Urrácal,1.4492753623188406
4097,Velefique,-29.310344827586203
4098,Vélez-Blanco,-16.573154941735
4099,Vélez-Rubio,1.3020833333333335
4100,Vera,201.99907019990704
4101,Viator,96.82988072818581
4102,Vícar,94.73897480921187
4103,Zurgena,40.83843617522374
4901,"Tres Villas, Las",-16.3265306122449
4902,"Ejido, El",89.31947069943288
4903,"Mojonera, La",34.31888544891641
4904,Balanegra,
5001,Adanero,-37.34939759036144
5002,"Adrada, La",39.59061407888168
5005,Albornos,-36.594202898550726
5007,Aldeanueva de Santa Cruz,-47.15025906735752
5008,Aldeaseca,-43.92265193370166
5010,"Aldehuela, La",-50.85910652920962
5012,Amavida,-34.48275862068966
5013,"Arenal, El",-11.81244364292155
5014,Arenas de San Pedro,-2.587380844303223
5015,Arevalillo,-61.8421052631579
5016,Arévalo,6.400326131267835
5017,Aveinte,-52.28758169934641
5018,Avellaneda,-46.51162790697674
5019,Ávila,23.150443978214337
5021,"Barco de Ávila, El",-10.413416536661467
5022,"Barraco, El",0.845771144278607
5023,Barromán,-33.9622641509434
5024,Becedas,-67.10239651416123
5025,Becedillas,-62.08791208791209
5026,Bercial de Zapardiel,-46.273291925465834
5027,"Berlanas, Las",-12.466124661246612
5029,Bernuy-Zapardiel,-67.6923076923077
5030,Berrocalejo de Aragona,36.58536585365854
5033,Blascomillán,-46.37223974763407
5034,Blasconuño de Matacabras,-48.148148148148145
5035,Blascosancho,-38.65030674846626
5036,"Bohodón, El",-48.837209302325576
5037,Bohoyo,-57.53968253968254
5038,Bonilla de la Sierra,-19.306930693069308
5039,Brabos,-53.94736842105263
5040,Bularros,-56.69291338582677
5041,Burgohondo,-0.3192338387869114
5042,Cabezas de Alambre,-40.46692607003891
5043,Cabezas del Pozo,-54.18994413407822
5044,Cabezas del Villar,-56.07843137254902
5045,Cabizuela,-43.94904458598726
5046,Canales,-48.529411764705884
5047,Candeleda,-2.801391035548686
5048,Cantiveros,-48.167539267015705
5049,Cardeñosa,-26.36203866432337
5051,"Carrera, La",-47.019867549668874
5052,Casas del Puerto,-25.225225225225223
5053,Casasola,-66.66666666666666
5054,Casavieja,-16.974389517569982
5055,Casillas,-29.50474183350896
5056,Castellanos de Zapardiel,-24.666666666666668
5057,Cebreros,-7.005455067470572
5058,Cepeda la Mora,-56.00000000000001
5059,Cillán,-49.681528662420384
5060,Cisla,-49.75369458128079
5061,"Colilla, La",91.3265306122449
5062,Collado de Contreras,-48.76325088339223
5063,Collado del Mirón,-79.38144329896907
5064,Constanzana,-51.231527093596064
5065,Crespos,-38.125802310654684
5066,Cuevas del Valle,-21.90332326283988
5067,Chamartín,-48.760330578512395
5069,Donjimeno,-49.29577464788733
5070,Donvidas,-48.57142857142857
5072,Espinosa de los Caballeros,-14.912280701754385
5073,Flores de Ávila,-40.397350993377486
5074,Fontiveros,-33.729433272394886
5075,Fresnedilla,-21.138211382113823
5076,"Fresno, El",34.01360544217687
5077,Fuente el Saúz,-56.98005698005698
5078,Fuentes de Año,-60.71428571428571
5079,Gallegos de Altamiros,-44.95412844036697
5080,Gallegos de Sobrinos,-60.526315789473685
5081,Garganta del Villar,-53.57142857142857
5082,Gavilanes,-29.560585885486017
5083,Gemuño,-39.05579399141631
5084,Gilbuena,-69.28104575163398
5085,Gil García,-39.24050632911392
5086,Gimialcón,-49.61832061068702
5087,Gotarrendura,-12.105263157894736
5088,Grandes y San Martín,-41.81818181818181
5089,Guisando,-34.166666666666664
5090,Gutierre-Muñoz,-53.284671532846716
5092,Hernansancho,-39.57446808510638
5093,Herradón de Pinares,-2.941176470588235
5094,Herreros de Suso,-43.54838709677419
5095,Higuera de las Dueñas,-15.625
5096,"Hija de Dios, La",-34.21052631578947
5097,"Horcajada, La",-46.922183507549356
5099,Horcajo de las Torres,-49.13494809688581
5100,"Hornillo, El",-36.65158371040724
5101,Hoyocasero,-25.240384615384613
5102,"Hoyo de Pinares, El",-13.544554455445546
5103,Hoyorredondo,-55.639097744360896
5104,Hoyos del Collado,-40.0
5105,Hoyos del Espino,-14.000000000000002
5106,Hoyos de Miguel Muñoz,-56.451612903225815
5107,Hurtumpascual,-64.70588235294117
5108,Junciana,-60.0
5109,Langa,-25.986842105263158
5110,Lanzahíta,-15.541264737406216
5112,"Losar del Barco, El",-36.41975308641975
5113,"Llanos de Tormes, Los",-56.849315068493155
5114,Madrigal de las Altas Torres,-37.12487899322362
5115,Maello,6.54490106544901
5116,Malpartida de Corneja,-61.92468619246861
5117,Mamblas,-32.17993079584775
5118,Mancera de Arriba,-55.12820512820513
5119,Manjabálago y Ortigosa de Rioalmar,-66.66666666666666
5120,Marlín,-41.509433962264154
5121,Martiherrero,73.5576923076923
5122,Martínez,-57.647058823529406
5123,Mediana de Voltoya,5.405405405405405
5124,Medinilla,-68.82591093117408
5125,Mengamuñoz,-27.027027027027028
5126,Mesegar de Corneja,-49.23076923076923
5127,Mijares,-29.09796314258002
5128,Mingorría,-26.258992805755394
5129,"Mirón, El",-63.43283582089553
5130,Mironcillo,-17.037037037037038
5131,Mirueña de los Infanzones,-55.81395348837209
5132,Mombeltrán,-25.22448979591837
5133,Monsalupe,-40.4040404040404
5134,Moraleja de Matacabras,-27.397260273972602
5135,Muñana,-14.334470989761092
5136,Muñico,-48.717948717948715
5138,Muñogalindo,-34.49781659388647
5139,Muñogrande,-33.33333333333333
5140,Muñomer del Peco,-22.377622377622377
5141,Muñopepe,-1.8867924528301887
5142,Muñosancho,-51.11111111111111
5143,Muñotello,-63.1578947368421
5144,Narrillos del Álamo,-65.89595375722543
5145,Narrillos del Rebollar,-58.536585365853654
5147,Narros del Castillo,-43.91143911439114
5148,Narros del Puerto,-31.70731707317073
5149,Narros de Saldueña,-49.523809523809526
5151,Navacepedilla de Corneja,-33.33333333333333
5152,Nava de Arévalo,-36.37236084452975
5153,Nava del Barco,-58.91089108910891
5154,Navadijos,-56.71641791044776
5155,Navaescurial,-52.25225225225225
5156,Navahondilla,159.55882352941177
5157,Navalacruz,-40.69767441860465
5158,Navalmoral,-35.118110236220474
5159,Navalonguilla,-60.5543710021322
5160,Navalosa,-39.097744360902254
5161,Navalperal de Pinares,-12.407211028632027
5162,Navalperal de Tormes,-45.774647887323944
5163,Navaluenga,6.784660766961652
5164,Navaquesera,-2.272727272727273
5165,Navarredonda de Gredos,-7.468879668049793
5166,Navarredondilla,-48.701298701298704
5167,Navarrevisca,-31.264367816091955
5168,"Navas del Marqués, Las",28.624022089277496
5169,Navatalgordo,-43.97163120567376
5170,Navatejares,-59.01639344262295
5171,Neila de San Miguel,-54.074074074074076
5172,Niharra,-10.294117647058822
5173,Ojos-Albos,81.13207547169812
5174,Orbita,-37.83783783783784
5175,"Oso, El",-44.15584415584416
5176,Padiernos,5.769230769230769
5177,Pajares de Adaja,-35.204081632653065
5178,Palacios de Goda,-25.932835820895523
5179,Papatrigo,-36.15160349854227
5180,"Parral, El",-54.74452554744526
5181,Pascualcobo,-18.75
5182,Pedro Bernardo,-45.34967555875991
5183,Pedro-Rodríguez,-41.228070175438596
5184,Peguerinos,-9.815950920245399
5185,Peñalba de Ávila,-22.794117647058822
5186,Piedrahíta,-27.917217084984586
5187,Piedralaves,-1.0584445467096182
5188,Poveda,-65.26315789473685
5189,Poyales del Hoyo,-36.67100130039012
5190,Pozanco,3.4482758620689653
5191,Pradosegar,-38.7434554973822
5192,Puerto Castilla,-31.944444444444443
5193,Rasueros,-60.49382716049383
5194,Riocabado,-41.0377358490566
5195,Riofrío,-46.64804469273743
5196,Rivilla de Barajas,-44.0
5197,Salobral,-22.727272727272727
5198,Salvadiós,-44.09448818897638
5199,San Bartolomé de Béjar,-44.31818181818182
5200,San Bartolomé de Corneja,-73.2824427480916
5201,San Bartolomé de Pinares,-37.86531130876747
5204,Sanchidrián,-10.718789407313997
5205,Sanchorreja,-41.911764705882355
5206,San Esteban de los Patos,-60.0
5207,San Esteban del Valle,-23.060796645702304
5208,San Esteban de Zapardiel,-45.94594594594595
5209,San García de Ingelmos,-64.51612903225806
5210,San Juan de la Encinilla,-53.64238410596026
5211,San Juan de la Nava,-39.48863636363637
5212,San Juan del Molinillo,-31.57894736842105
5213,San Juan del Olmo,-58.24742268041238
5214,San Lorenzo de Tormes,-55.223880597014926
5215,San Martín de la Vega del Alberche,-52.77777777777778
5216,San Martín del Pimpollar,-38.48314606741573
5217,San Miguel de Corneja,-46.96969696969697
5218,San Miguel de Serrezuela,-54.310344827586206
5219,San Pascual,-23.728813559322035
5220,San Pedro del Arroyo,4.811715481171548
5221,Santa Cruz del Valle,-53.65853658536586
5222,Santa Cruz de Pinares,-22.37442922374429
5224,Santa María del Arroyo,-29.655172413793103
5225,Santa María del Berrocal,-34.251290877796905
5226,Santa María de los Caballeros,-58.139534883720934
5227,Santa María del Tiétar,46.2962962962963
5228,Santiago del Collado,-46.71052631578947
5229,Santo Domingo de las Posadas,-31.683168316831683
5230,Santo Tomé de Zabarcos,-42.74193548387097
5231,San Vicente de Arévalo,-29.184549356223176
5232,"Serrada, La",-8.783783783783784
5233,Serranillos,-44.370860927152314
5234,Sigeres,-51.19047619047619
5235,Sinlabajos,-48.86363636363637
5236,Solana de Ávila,-57.26495726495726
5237,Solana de Rioalmar,-54.60526315789473
5238,Solosancho,-31.15349682107175
5239,Sotalbo,-7.894736842105263
5240,Sotillo de la Adrada,42.657542058739665
5241,"Tiemblo, El",19.19936792204372
5242,Tiñosillos,-1.1764705882352942
5243,Tolbaños,-41.49659863945578
5244,Tormellas,-70.58823529411765
5245,Tornadizos de Ávila,28.80886426592798
5246,Tórtoles,-71.42857142857143
5247,"Torre, La",-54.603854389721626
5249,Umbrías,-44.44444444444444
5251,Vadillo de la Sierra,-70.85714285714285
5252,Valdecasa,-55.55555555555556
5253,Vega de Santa María,-40.689655172413794
5254,Velayos,-24.91349480968858
5256,Villaflor,-43.42857142857143
5257,Villafranca de la Sierra,-38.81278538812785
5258,Villanueva de Gómez,-24.836601307189543
5259,Villanueva del Aceral,-55.980861244019145
5260,Villanueva del Campillo,-55.111111111111114
5261,Villar de Corneja,-58.139534883720934
5262,Villarejo del Valle,-38.43137254901961
5263,Villatoro,-35.85657370517929
5264,Viñegra de Moraña,-52.475247524752476
5265,Vita,-41.80327868852459
5266,Zapardiel de la Cañada,-61.81818181818181
5267,Zapardiel de la Ribera,-35.2112676056338
5901,San Juan de Gredos,-46.478873239436616
5902,Santa María del Cubillo,-20.099255583126553
5903,Diego del Carpio,-68.16816816816817
5904,Santiago del Tormes,-66.87306501547987
5905,Villanueva de Ávila,-62.908496732026144
6001,Acedera,-21.603128054740957
6002,Aceuchal,3.9030955585464335
6003,Ahillones,-36.260162601626014
6004,Alange,-10.979812900049236
6005,"Albuera, La",10.3601108033241
6006,Alburquerque,-13.529411764705882
6007,Alconchel,-30.72006817213464
6008,Alconera,1.6129032258064515
6009,Aljucén,10.869565217391305
6010,Almendral,-19.879518072289155
6011,Almendralejo,26.00242566797751
6012,Arroyo de San Serván,0.8192651439920555
6013,Atalaya,-31.56498673740053
6014,Azuaga,-18.104377830493853
6015,Badajoz,22.904252714064157
6016,Barcarrota,-11.80802437785678
6017,Baterno,-42.3728813559322
6018,Benquerencia de la Serena,-29.364368845120858
6019,Berlanga,-18.483063328424155
6020,Bienvenida,-14.761703922395613
6021,Bodonal de la Sierra,-23.966309341500764
6022,Burguillos del Cerro,-12.80093951849677
6023,Cabeza del Buey,-27.25811636129862
6024,Cabeza la Vaca,-25.475059382422806
6025,Calamonte,4.27670812744931
6026,Calera de León,-20.79378774805867
6027,Calzadilla de los Barros,-16.36141636141636
6028,Campanario,-20.456466610312766
6029,Campillo de Llerena,-28.196721311475407
6030,Capilla,-36.12334801762114
6031,Carmonita,-24.087591240875913
6032,"Carrascalejo, El",126.47058823529412
6033,Casas de Don Pedro,-25.01368363437329
6034,Casas de Reina,-18.503937007874015
6035,Castilblanco,-39.8431931575196
6036,Castuera,-30.86404225883537
6037,"Codosera, La",-15.835411471321695
6038,Cordobilla de Lácara,-19.70873786407767
6039,"Coronada, La",-14.524472741742937
6040,Corte de Peleas,-11.204268292682928
6041,Cristina,-1.971326164874552
6042,Cheles,-14.648295866569978
6043,Don Álvaro,19.852941176470587
6044,Don Benito,21.616917026626265
6045,Entrín Bajo,-21.052631578947366
6046,Esparragalejo,-4.536741214057508
6047,Esparragosa de la Serena,-18.586387434554975
6048,Esparragosa de Lares,-31.515637530072173
6049,Feria,-25.84985835694051
6050,Fregenal de la Sierra,-12.426144756277695
6051,Fuenlabrada de los Montes,-18.735140275796482
6052,Fuente de Cantos,-9.517241379310343
6053,Fuente del Arco,-21.80094786729858
6054,Fuente del Maestre,-4.493891797556719
6055,Fuentes de León,-24.30726061031217
6056,Garbayuela,-21.487603305785125
6057,Garlitos,-33.41708542713568
6058,"Garrovilla, La",-15.424354243542435
6059,Granja de Torrehermosa,-29.315476190476193
6060,Guareña,-10.197190707725554
6061,"Haba, La",-18.57813547954393
6062,Helechosa de los Montes,-30.78817733990148
6063,Herrera del Duque,-16.280788177339904
6064,Higuera de la Serena,-31.452859350850076
6065,Higuera de Llerena,-31.515151515151512
6066,Higuera de Vargas,-21.35593220338983
6067,Higuera la Real,-22.845129642606867
6068,Hinojosa del Valle,-22.07792207792208
6069,Hornachos,-8.978826051996784
6070,Jerez de los Caballeros,-3.361968395375968
6071,"Lapa, La",-16.761363636363637
6072,Lobón,0.5886681383370125
6073,Llera,-22.66152362584378
6074,Llerena,-1.4834205933682374
6075,Magacela,-33.68841544607191
6076,Maguilla,-20.66609735269001
6077,Malcocinado,-39.29824561403509
6078,Malpartida de la Serena,-37.66546329723225
6079,Manchita,-4.285714285714286
6080,Medellín,-10.052271813429835
6081,Medina de las Torres,-26.620516047828822
6082,Mengabril,7.20524017467249
