Mun_Code,Mun,pop_1996_2005 (k=9),pop_1998_2007 (k=9),pop_1999_2008 (k=9),pop_2000_2009 (k=9),pop_2001_2010 (k=9),pop_2002_2011 (k=9),pop_2003_2012 (k=9),pop_2004_2013 (k=9),pop_2005_2014 (k=9),pop_2006_2015 (k=9),pop_2007_2016 (k=9),pop_2008_2017 (k=9),pop_2009_2018 (k=9),pop_2010_2019 (k=9),pop_2011_2020 (k=9),pop_2012_2021 (k=9),pop_2013_2022 (k=9),pop_2014_2023 (k=9),pop_2015_2024 (k=9)
1001,Alegría-Dulantzi,65.96434359805511,83.08181096108022,85.6282919488337,87.00927908636689,82.63795423956931,75.40675844806007,68.07264206209724,49.55706096925482,42.822265625,31.65829145728643,23.904555314533624,18.078638021888935,10.190839694656487,5.969049373618276,4.7092400998929715,1.9518996165911469,3.1358885017421603,1.7094017094017095,3.0881332408049964
1002,Amurrio,-1.7011682721869235,1.2919101814826206,2.8093919819542705,3.7962962962962963,3.6616812790097986,4.377736085053159,5.850340136054422,6.591673675357443,6.745204336947457,6.551079734219269,3.8566656544184634,2.6328911937768025,1.9526216671622558,2.9850746268656714,2.4965048931495906,1.9082459956495945,1.4005325969030475,0.7227268287918742,0.6528305563675338
1003,Aramaio,11.74721189591078,9.377289377289378,8.448652585579024,5.861581920903955,3.455425017277125,1.1494252873563218,1.6118200134318332,0.26899798251513113,-1.66333998669328,1.8791946308724832,0.6028131279303416,0.47011417058428473,-1.0673782521681119,-2.004008016032064,-3.6096256684491976,-3.767349636483807,-4.0241448692152915,-4.668470906630582,-9.025032938076416
1004,Artziniega,15.931941221964424,29.233105542900535,31.838565022421523,35.874439461883405,36.58903080390684,37.64002987303958,34.757422157856624,26.25775327360441,21.280853902601734,12.13979153893317,8.108108108108109,3.6848072562358274,0.7150715071507151,0.16501650165016502,-2.333152468800868,-2.7941966684578183,-1.2008733624454149,0.77007700770077,1.4762165117550574
1006,Armiñón,25.899280575539567,37.24137931034483,29.411764705882355,41.78082191780822,42.405063291139236,37.12574850299401,35.88235294117647,46.2962962962963,42.857142857142854,36.312849162011176,17.587939698492463,20.707070707070706,5.797101449275362,0.8888888888888888,-2.6200873362445414,0.0,-0.8438818565400843,-7.199999999999999,1.2295081967213115
1008,Arratzua-Ubarrundia,8.322147651006711,15.637319316688567,19.31216931216931,26.859504132231404,22.88021534320323,31.353591160220994,37.099023709902376,23.39622641509434,23.172242874845107,15.661252900232018,11.25,8.2039911308204,6.623235613463627,7.338444687842278,3.4700315457413247,3.458799593082401,5.09683995922528,4.929577464788732,5.015045135406218
1009,Asparrena,4.218040233614536,2.2020725388601035,2.1780909673286355,4.182509505703422,5.993690851735016,5.646173149309912,7.67279644895371,5.692599620493358,2.86425902864259,4.042956411876184,3.2953105196451205,2.8213166144200628,-0.06082725060827251,-3.9285714285714284,-3.622327790973872,-3.828032979976443,-2.0347097546379413,-2.602905569007264,-2.185792349726776
1010,Ayala/Aiara,26.593625498007967,31.68415792103948,33.431806991629735,33.866279069767444,35.52253116011505,33.51877607788595,30.500894454382827,21.532091097308488,15.224232887490166,11.504761904761905,11.802656546489564,9.557195571955718,7.38327904451683,5.199858507251504,3.0555555555555554,1.1309115832762167,-0.4770017035775128,-0.37555479685899623,0.5124701059104886
1011,Baños de Ebro/Mañueta,2.6865671641791042,6.88622754491018,7.207207207207207,1.524390243902439,-1.4970059880239521,-4.9853372434017595,-8.115942028985506,-3.869047619047619,-5.523255813953488,-15.258855585831062,-13.725490196078432,-14.285714285714285,-14.114114114114114,-11.55015197568389,-9.25925925925926,-9.46372239747634,-8.359133126934983,-9.230769230769232,-6.430868167202572
1013,Barrundia,40.61371841155235,39.59044368600683,42.54237288135593,43.44262295081967,46.06741573033708,39.59938366718028,28.97727272727273,22.3841059602649,17.458279845956355,13.836477987421384,10.39119804400978,6.777645659928656,0.9142857142857144,-2.9670329670329667,-2.759381898454746,-1.4317180616740088,-1.0822510822510822,-1.9672131147540985,-2.8729281767955803
1014,Berantevilla,13.647642679900745,9.852216748768473,5.924170616113744,1.8604651162790697,9.190371991247265,5.781584582441114,3.4482758620689653,4.585152838427948,4.148471615720524,5.656108597285068,0.672645739910314,-0.8948545861297539,1.141552511415525,-9.218436873747494,-6.275303643724696,-3.125,-5.6367432150313155,-5.450733752620545,-1.7130620985010707
1016,Bernedo,4.814814814814815,6.021897810218978,8.088235294117647,5.118829981718465,6.481481481481481,5.805243445692884,4.411764705882353,5.390334572490707,-3.7102473498233217,-7.5571177504393665,-14.113597246127366,-14.285714285714285,-11.130434782608695,-14.08695652173913,-10.265486725663717,-5.28169014084507,-1.2345679012345678,-0.9174311926605505,3.802281368821293
1017,Campezo/Kanpezu,-2.3444544634806133,3.075489282385834,4.3314500941619585,5.471698113207547,3.8745387453874542,3.885291396854764,6.867356538099719,3.870967741935484,0.09233610341643582,-0.5581395348837209,-4.249547920433996,-5.415162454873646,-6.976744186046512,-7.63765541740675,-7.92520035618878,-4.841549295774648,-2.9281277728482697,-1.107011070110701,1.4967259120673526
1018,Zigoitia,30.368968779564803,33.657243816254415,32.637729549248746,32.769726247987116,30.810810810810814,31.382978723404253,31.254695717505637,31.8557475582269,26.48766328011611,25.444207533759773,14.144084600132187,11.139081183134046,6.306852637962401,3.128689492325856,1.156737998843262,3.1482541499713794,3.8176638176638176,4.475043029259897,4.475920679886686
