Mun_Code,Mun,pop_1996_2003 (k=7),pop_1998_2005 (k=7),pop_1999_2006 (k=7),pop_2000_2007 (k=7),pop_2001_2008 (k=7),pop_2002_2009 (k=7),pop_2003_2010 (k=7),pop_2004_2011 (k=7),pop_2005_2012 (k=7),pop_2006_2013 (k=7),pop_2007_2014 (k=7),pop_2008_2015 (k=7),pop_2009_2016 (k=7),pop_2010_2017 (k=7),pop_2011_2018 (k=7),pop_2012_2019 (k=7),pop_2013_2020 (k=7),pop_2014_2021 (k=7),pop_2015_2022 (k=7),pop_2016_2023 (k=7),pop_2017_2024 (k=7)
1001,Alegría-Dulantzi,38.33063209076175,62.66878474980143,64.71030850263357,64.52533904354033,66.01615074024227,63.954943679599495,58.99238429994141,46.0656591974987,40.087890625,31.110095934216535,26.89804772234273,16.822051074179164,9.007633587786259,7.3323507737656595,2.9967891544773457,0.24398745207389336,2.264808362369338,0.0,2.70645385149202,4.166666666666666,1.9910744936491591
1002,Amurrio,-2.080344332855093,-1.6507741207833486,-1.2406439044396596,1.6358024691358026,3.424445590510573,5.159474671669793,5.180533751962323,5.277544154751893,5.4420350291909925,5.2637043189368775,3.6440935317339815,2.3536451580732023,1.694915254237288,2.398009950248756,2.7161973237467545,2.333399248566344,1.2328632014991616,0.6641273561871277,0.17538731365097923,0.5165692007797271,0.3789719172092119
1003,Aramaio,10.706319702602231,10.10989010989011,8.52148579752367,5.437853107344632,2.902557014512785,1.352265043948614,0.5372733378106112,0.605245460659045,0.665335994677312,0.06711409395973154,-1.0046885465505693,1.9476158495634655,0.20013342228152103,-0.06680026720106881,-0.8689839572192514,-3.040317250495704,-3.286384976525822,-1.4884979702300407,-5.7312252964426875,-6.191744340878828,-7.68716577540107
1004,Artziniega,6.805877803557618,13.819286256643887,21.898355754858,27.204783258594915,32.53193087903832,35.77296489917849,31.643736422881968,27.015851137146797,24.149432955303535,12.323727774371552,6.815511163337249,3.6848072562358274,1.21012101210121,0.605060506050605,-0.6511123168746609,-2.14938205265986,-1.7467248908296942,-0.49504950495049505,-1.038819026790596,-0.43478260869565216,1.4762165117550574
1006,Armiñón,22.302158273381295,20.689655172413794,16.99346405228758,36.3013698630137,25.31645569620253,23.952095808383234,32.35294117647059,41.358024691358025,32.0,32.402234636871505,25.628140703517587,23.232323232323232,13.043478260869565,6.222222222222222,-4.366812227074235,-1.7316017316017316,-5.9071729957805905,-7.6,-3.6885245901639343,-0.8547008547008548,3.3472803347280333
1008,Arratzua-Ubarrundia,-3.7583892617449663,6.044678055190539,14.02116402116402,21.21212121212121,21.399730820995963,27.209944751381215,27.33612273361227,19.622641509433965,21.8091697645601,13.805104408352667,12.954545454545455,10.532150776053214,6.297502714440825,6.900328587075576,3.2597266035751837,-0.3051881993896236,0.3058103975535168,2.3138832997987926,3.4102306920762286,6.537282941777324,7.274590163934426
1009,Asparrena,2.336145360155743,4.015544041450777,1.4093529788597052,0.0,0.6309148264984227,3.136762860727729,6.53138871274572,6.514864010120178,5.72851805728518,5.559065066329754,4.689480354879595,3.260188087774295,-0.851581508515815,-2.380952380952381,-2.434679334916865,-4.946996466431095,-2.872531418312388,-1.1501210653753027,-0.607164541590771,-1.2883435582822087,-1.768292682926829
1010,Ayala/Aiara,11.354581673306772,27.03648175912044,29.246676514032494,27.66472868217054,29.913710450623203,28.094575799721838,26.43112701252236,19.25465838509317,14.791502753737214,11.80952380952381,11.157495256166982,8.007380073800737,6.623235613463627,5.022992571630704,3.0208333333333335,1.9191226867717615,1.1243611584327087,0.7511095937179925,-0.20498804236419543,-0.9504412763068567,-0.9093971034018189
1011,Baños de Ebro/Mañueta,2.9850746268656714,2.9940119760479043,10.21021021021021,8.841463414634147,6.88622754491018,-2.346041055718475,-4.63768115942029,-3.571428571428571,-7.848837209302325,-11.989100817438691,-8.96358543417367,-12.885154061624648,-7.5075075075075075,-6.990881458966565,-11.728395061728394,-8.201892744479496,-8.978328173374612,-11.692307692307692,-4.823151125401929,-4.220779220779221,-4.901960784313726
1013,Barrundia,27.075812274368232,32.93515358361775,34.74576271186441,34.0983606557377,34.99197431781702,34.82280431432974,29.261363636363637,20.0,16.5596919127086,16.22641509433962,11.858190709046456,7.609988109393578,3.2,-1.3186813186813187,-2.5386313465783665,-2.753303964757709,-4.653679653679654,-2.185792349726776,0.9944751381215469,-0.6644518272425249,-2.1158129175946545
1014,Berantevilla,15.136476426799009,12.807881773399016,4.739336492890995,3.7209302325581395,-2.1881838074398248,-6.209850107066381,7.543103448275862,7.860262008733625,4.8034934497816595,8.3710407239819,6.950672645739911,4.47427293064877,2.5114155251141552,-11.22244488977956,-10.323886639676113,-5.625,-3.3402922755741122,-2.515723270440252,-3.2119914346895073,0.4454342984409799,3.611738148984198
1016,Bernedo,0.7407407407407408,3.2846715328467155,4.595588235294118,6.2157221206581355,8.88888888888889,7.677902621722846,5.698529411764706,5.018587360594796,0.35335689045936397,-0.35149384885764495,-6.196213425129088,-10.54421768707483,-13.217391304347824,-12.347826086956522,-9.557522123893806,-13.028169014084506,-10.582010582010582,-1.2844036697247707,6.4638783269961975,8.216432865731463,8.333333333333332
1017,Campezo/Kanpezu,-4.147880973850315,0.9319664492078285,1.2241054613935969,4.339622641509433,2.214022140221402,3.4227567067530065,5.9266227657572905,3.5023041474654377,4.893813481071098,4.837209302325581,-1.9891500904159132,-3.5198555956678703,-5.277280858676208,-6.927175843694494,-7.390917186108638,-8.450704225352112,-8.251996450754215,-0.27675276752767525,2.3386342376052385,1.2275731822474032,3.5305343511450387
