Mun_Code,Mun,pop_1996_2019 (k=23),pop_1998_2021 (k=23),pop_1999_2022 (k=23),pop_2000_2023 (k=23),pop_2001_2024 (k=23)
1001,Alegría-Dulantzi,133.06320907617504,132.3272438443209,122.72385252069225,112.34832262669521,99.93270524899059
1002,Amurrio,6.066816970690716,5.680303496360095,5.413718855736696,6.100823045267489,6.549767921609077
1003,Aramaio,9.070631970260223,6.666666666666667,4.224326292789512,-0.49435028248587576,-4.561161022805805
1004,Artziniega,40.835266821345705,37.357630979498865,35.276532137518686,36.92077727952167,39.44402704733283
1006,Armiñón,63.30935251798561,59.310344827586206,53.59477124183007,58.9041095890411,56.32911392405063
1008,Arratzua-Ubarrundia,31.543624161073826,33.63994743758213,36.37566137566138,43.66391184573003,40.915208613728126
1009,Asparrena,4.737183646982479,5.7642487046632125,4.86867392696989,1.964512040557668,1.6403785488958993
1010,Ayala/Aiara,48.10756972111554,47.47626186906547,43.82077794190054,41.37596899224806,41.03547459252157
1011,Baños de Ebro/Mañueta,-13.134328358208954,-14.071856287425149,-11.11111111111111,-10.060975609756099,-12.874251497005988
1013,Barrundia,59.38628158844765,52.73037542662116,54.91525423728814,47.049180327868854,41.091492776886035
1014,Berantevilla,12.40694789081886,14.532019704433496,7.109004739336493,4.883720930232558,0.437636761487965
1016,Bernedo,-8.518518518518519,-1.824817518248175,2.941176470588235,-1.2797074954296161,1.1111111111111112
1017,Campezo/Kanpezu,-6.221821460775474,0.7455731593662628,3.0131826741996233,1.1320754716981132,0.09225092250922509
1018,Zigoitia,65.27909176915799,59.187279151943464,52.08681135225376,46.61835748792271,42.3938223938224
1019,Kripan,-10.0,-6.417112299465241,-7.368421052631578,-7.446808510638298,-3.783783783783784
1020,Kuartango,9.620991253644315,9.392265193370166,13.172043010752688,7.219251336898395,8.799999999999999
1021,Elburgo/Burgelu,211.97916666666666,174.45887445887448,133.8289962825279,100.0,71.2
1022,Elciego,9.120521172638437,9.570957095709572,7.292817679558011,4.216216216216216,2.467811158798283
1023,Elvillar/Bilar,-4.310344827586207,-7.1022727272727275,-11.235955056179774,-13.774104683195592,-12.362637362637363
1027,Iruraiz-Gauna,26.715686274509803,26.85851318944844,29.086538461538463,25.52204176334107,23.713646532438478
1028,Labastida/Bastida,34.195933456561924,30.161427357689043,28.702928870292887,25.98551890587289,22.745098039215687
1030,Lagrán,-17.36842105263158,-12.307692307692308,-11.16751269035533,-14.85148514851485,-14.572864321608039
1031,Laguardia,4.989458889669711,3.9034776437189493,5.25195173882186,4.2492917847025495,4.378531073446328
1032,Lanciego/Lantziego,6.3076923076923075,7.286821705426356,12.77258566978193,8.588957055214724,4.740061162079511
1033,Lapuebla de Labarca,0.4645760743321719,-0.6944444444444444,-0.22935779816513763,0.0,-0.34802784222737815
1034,Leza,11.538461538461538,27.325581395348834,10.714285714285714,5.769230769230769,3.4482758620689653
1036,Laudio/Llodio,-9.09456134183699,-8.555905351883823,-8.791768541157294,-6.973001038421598,-6.192289634305389
1037,Arraia-Maeztu,6.140350877192982,15.606936416184972,12.921348314606742,16.332378223495702,14.965034965034965
1039,Moreda de Álava/Moreda Araba,-21.908127208480565,-27.68166089965398,-26.027397260273972,-28.27586206896552,-24.825174825174827
1041,Navaridas,-11.894273127753303,-9.216589861751153,-6.976744186046512,-5.741626794258373,-11.981566820276496
1042,Okondo,54.285714285714285,47.654320987654316,42.83995186522262,43.99038461538461,39.812646370023415
1043,Oyón-Oion,51.025869759143625,52.18165627782725,49.08136482939632,46.26288659793815,41.7358803986711
1044,Peñacerrada-Urizaharra,3.9840637450199203,23.045267489711936,20.155038759689923,20.318725099601593,21.774193548387096
1046,Erriberagoitia/Ribera Alta,53.3203125,59.45945945945946,59.22330097087378,52.48618784530387,57.06319702602231
1047,Ribera Baja/Erriberabeitia,190.3225806451613,184.76953907815633,187.2210953346856,138.75838926174498,112.55539143279172
1049,Añana,-23.15270935960591,-16.216216216216218,-17.02127659574468,-17.894736842105264,-25.263157894736842
1051,Agurain/Salvatierra,33.3508956796628,29.747162022703815,28.883803712178995,26.681614349775785,29.3925702811245
1052,Samaniego,3.606557377049181,0.9836065573770493,1.6339869281045754,-2.2435897435897436,-9.090909090909092
1053,San Millán/Donemiliaga,3.4732272069464547,2.2857142857142856,5.4331864904552125,5.370101596516691,1.1235955056179776
1054,Urkabustaiz,63.995215311004785,72.22898903775882,67.61904761904762,64.63834672789896,66.70467502850627
1055,Valdegovía/Gaubea,12.797281993204985,17.075892857142858,18.594594594594593,14.747039827771799,13.080168776371309
1056,Harana/Valle de Arana,-39.61748633879781,-36.87150837988827,-35.977337110481585,-37.06896551724138,-37.60932944606414
1057,Villabuena de Álava/Eskuernaga,-14.202898550724639,-15.339233038348082,-13.392857142857142,-14.925373134328357,-12.912912912912914
1058,Legutio,43.783371472158656,50.52870090634441,51.312828207051766,48.72912127814089,48.68139700641482
1059,Vitoria-Gasteiz,17.522895525453478,16.887501327778985,16.81663704099395,17.72559556123998,17.846342198792154
1060,Yécora/Iekora,5.511811023622047,5.555555555555555,-3.8910505836575875,-6.037735849056604,-1.8518518518518516
1061,Zalduondo,34.55882352941176,45.45454545454545,38.297872340425535,42.028985507246375,39.568345323741006
1062,Zambrana,14.84593837535014,18.0327868852459,14.864864864864865,15.934065934065933,14.805194805194805
1063,Zuia,58.64920744314266,46.89480354879594,42.333536957849724,35.82608695652174,29.75929978118162
1901,Iruña Oka/Iruña de Oca,111.07673267326732,106.06060606060606,112.12664277180406,97.3121228743829,91.2928759894459
1902,Lantarón,5.548854041013269,1.553829078801332,0.7575757575757576,-2.6970954356846475,-7.584830339321358
