Mun_Code,Mun,pop_1996_2007 (k=11),pop_1998_2009 (k=11),pop_1999_2010 (k=11),pop_2000_2011 (k=11),pop_2001_2012 (k=11),pop_2002_2013 (k=11),pop_2003_2014 (k=11),pop_2004_2015 (k=11),pop_2005_2016 (k=11),pop_2006_2017 (k=11),pop_2007_2018 (k=11),pop_2008_2019 (k=11),pop_2009_2020 (k=11),pop_2010_2021 (k=11),pop_2011_2022 (k=11),pop_2012_2023 (k=11),pop_2013_2024 (k=11)
1001,Alegría-Dulantzi,86.79092382495948,108.10166799046863,104.21369450714823,100.07137758743754,93.0686406460296,79.59949937421777,71.35325131810193,50.1823866597186,39.453125,33.074463225216995,25.24945770065076,16.57884069720308,12.022900763358779,7.774502579218866,5.601141633963611,3.6946671314046706,3.519163763066202
1002,Amurrio,1.2400081984013118,3.4450938172869887,3.0452168563518915,3.0246913580246915,4.321815368746776,5.680633729414217,7.158555729984302,7.89529015979815,6.964136780650543,6.841777408637874,4.119850187265917,3.2213024832951036,1.734562394687283,2.557213930348259,2.6662672258837627,1.9675697053589083,1.883814971890719
1003,Aramaio,11.003717472118959,9.816849816849818,9.031318281136198,5.649717514124294,4.561161022805805,0.8113590263691683,-0.7387508394895903,2.0847343644922667,-0.0665335994677312,0.4026845637583893,-0.6697923643670463,-1.4775016789791806,-3.802535023348899,-2.738810955243821,-4.3449197860962565,-6.873760740251157,-7.377598926894702
1004,Artziniega,31.631863882443927,38.041002277904326,35.874439461883405,37.74289985052317,39.81968444778362,36.8185212845407,31.643736422881968,26.05099931082012,22.748498999332888,12.13979153893317,7.579318448883667,3.231292517006803,-0.9900990099009901,-0.49504950495049505,-1.7905588714053173,-1.5583019881783988,1.3100436681222707
1006,Armiñón,43.16546762589928,42.758620689655174,47.05882352941176,56.849315068493155,46.20253164556962,41.91616766467065,47.05882352941176,50.617283950617285,33.714285714285715,33.5195530726257,10.050251256281408,14.646464646464647,7.729468599033816,2.666666666666667,2.6200873362445414,0.4329004329004329,4.219409282700422
1008,Arratzua-Ubarrundia,18.120805369127517,21.02496714848883,20.767195767195766,30.991735537190085,32.3014804845222,35.49723756906077,38.633193863319384,25.40880503144654,21.313506815365553,13.225058004640372,11.59090909090909,8.647450110864744,6.840390879478828,11.391018619934282,8.412197686645637,6.1037639877924725,6.727828746177369
1009,Asparrena,2.401038286826736,6.476683937823833,7.623318385650224,6.7173637515842834,7.129337539432176,4.830614805520702,4.7558655675332915,4.174573055028463,1.4943960149439601,3.6007580543272266,4.119138149556401,1.1912225705329154,-1.2773722627737227,-2.797619047619048,-2.7909738717339665,-5.241460541813899,-3.5906642728904847
1010,Ayala/Aiara,31.225099601593627,38.08095952023988,39.19251600196947,39.53488372093023,39.88494726749761,36.06861381548447,30.99284436493739,21.200828157349896,15.892997639653817,13.104761904761904,12.599620493358636,9.74169741697417,7.419471588852697,4.386275203395826,1.4236111111111112,0.0,0.2385008517887564
1011,Baños de Ebro/Mañueta,6.567164179104477,-0.29940119760479045,-1.2012012012012012,-1.2195121951219512,-5.089820359281437,-5.278592375366569,-5.797101449275362,-7.440476190476191,-10.465116279069768,-16.62125340599455,-19.88795518207283,-18.487394957983195,-11.711711711711711,-12.76595744680851,-8.641975308641975,-6.940063091482649,-9.907120743034056
1013,Barrundia,47.65342960288809,49.31740614334471,54.23728813559322,48.52459016393443,45.74638844301766,42.3728813559322,29.97159090909091,19.867549668874172,15.917843388960208,12.955974842767295,7.946210268948656,4.9940546967895365,0.6857142857142857,-1.6483516483516485,0.8830022075055187,-1.2114537444933922,-4.870129870129871
1014,Berantevilla,10.669975186104217,7.8817733990147785,18.246445497630333,14.883720930232558,5.032822757111598,2.569593147751606,2.8017241379310347,1.9650655021834063,-1.9650655021834063,0.22624434389140274,-0.672645739910314,1.342281879194631,5.707762557077626,-6.813627254509018,-8.502024291497975,-6.041666666666667,-4.175365344467641
1016,Bernedo,7.592592592592593,4.927007299270073,5.698529411764706,3.2906764168190126,5.185185185185185,6.179775280898876,0.1838235294117647,-2.2304832713754648,-11.837455830388691,-11.423550087873462,-12.048192771084338,-15.98639455782313,-11.826086956521738,-6.434782608695652,-0.8849557522123894,-4.929577464788732,-3.7037037037037033
1017,Campezo/Kanpezu,-0.2705139765554554,4.193849021435228,6.0263653483992465,5.943396226415095,4.797047970479705,4.25531914893617,1.975540921919097,-1.4746543778801844,-2.21606648199446,-2.511627906976744,-5.967450271247739,-6.137184115523466,-7.5134168157423975,-3.996447602131439,-2.5823686553873553,-5.633802816901409,-3.7267080745341614
1018,Zigoitia,43.140964995269634,45.671378091872796,41.40233722871452,39.2109500805153,34.9034749034749,33.358662613981764,30.954169797145003,32.60706235912848,25.326560232220608,25.515280739161334,15.862524785194976,9.943360604153556,6.064281382656155,6.375442739079102,5.3788316946211685,4.235832856325128,5.071225071225071
1019,Kripan,-8.0,3.7433155080213902,2.631578947368421,4.787234042553192,4.864864864864865,6.451612903225806,-1.5706806282722512,-4.2105263157894735,-3.6269430051813467,-2.127659574468085,-1.6304347826086956,-2.1739130434782608,-8.24742268041237,-10.256410256410255,-10.65989847715736,-10.309278350515463,-10.1010101010101
1020,Kuartango,4.373177842565598,-1.3812154696132597,-4.56989247311828,-6.149732620320856,-4.533333333333333,-4.032258064516129,-2.997275204359673,-0.5494505494505495,3.3707865168539324,2.197802197802198,6.424581005586592,5.322128851540616,7.8431372549019605,11.549295774647888,19.943019943019944,12.011173184357542,14.285714285714285
