Mun_Code,Mun,pop_1996_2004 (k=8),pop_1998_2006 (k=8),pop_1999_2007 (k=8),pop_2000_2008 (k=8),pop_2001_2009 (k=8),pop_2002_2010 (k=8),pop_2003_2011 (k=8),pop_2004_2012 (k=8),pop_2005_2013 (k=8),pop_2006_2014 (k=8),pop_2007_2015 (k=8),pop_2008_2016 (k=8),pop_2009_2017 (k=8),pop_2010_2018 (k=8),pop_2011_2019 (k=8),pop_2012_2020 (k=8),pop_2013_2021 (k=8),pop_2014_2022 (k=8),pop_2015_2023 (k=8),pop_2016_2024 (k=8)
1001,Alegría-Dulantzi,55.51053484602917,73.868149324861,73.43867569601204,76.08850820842255,76.31224764468372,69.83729662077597,64.20620972466315,49.504950495049506,40.13671875,33.62265874828689,25.03253796095445,15.768139440616133,11.183206106870228,6.374355195283714,2.6043524794862645,2.3004531195538513,1.9163763066202089,1.1965811965811968,3.226925746009716,4.026610644257703
1002,Amurrio,-2.5210084033613445,-1.2406439044396596,1.2919101814826206,3.158436213991769,4.063950489943269,4.752970606629144,4.803767660910518,6.328847771236333,5.702668890742285,6.301910299003323,3.887033100516247,2.3237259399621024,2.00218059272475,2.3482587064676617,3.3553025763930497,1.4830927427328455,1.656968142814873,0.41019630823322595,0.48718698236383123,0.682261208576998
1003,Aramaio,10.557620817843866,9.157509157509157,8.73998543335761,5.155367231638418,3.59364201796821,1.2170385395537524,0.47011417058428473,1.7484868863483525,-0.7984031936127743,-0.8053691275167786,1.6744809109176158,0.8730691739422431,-0.20013342228152103,-0.9352037408149633,-1.9385026737967916,-4.692663582286848,-2.3474178403755865,-3.1799729364005414,-7.180500658761528,-8.055925432756325
1004,Artziniega,12.219644238205724,23.84206529992407,27.204783258594915,31.838565022421523,36.58903080390684,35.77296489917849,33.454018826937,28.256374913852518,22.214809873248832,11.465358675659104,7.4618096357226795,4.308390022675737,0.605060506050605,0.7150715071507151,-1.1937059142702116,-3.277807630306287,-1.2554585152838427,-0.44004400440044,0.16402405686167304,0.8695652173913043
1006,Armiñón,16.546762589928058,23.448275862068964,30.065359477124183,35.61643835616438,31.0126582278481,34.73053892215569,34.705882352941174,42.592592592592595,35.42857142857142,39.66480446927375,22.613065326633166,18.181818181818183,15.458937198067632,-2.666666666666667,-0.8733624454148471,-3.463203463203463,-2.5316455696202533,-6.0,-4.918032786885246,5.555555555555555
1008,Arratzua-Ubarrundia,6.7114093959731544,13.272010512483574,16.402116402116402,24.242424242424242,23.95693135935397,26.10497237569061,32.63598326359833,23.647798742138367,21.561338289962826,15.31322505800464,13.295454545454547,8.536585365853659,5.971769815418024,7.5575027382256295,3.0494216614090432,0.10172939979654119,3.669724770642202,3.722334004024145,4.613841524573721,6.945863125638406
1009,Asparrena,2.5957170668397147,2.5259067357512954,1.0890454836643177,1.0773130544993663,3.722397476340694,5.395232120451694,6.7850348763474955,7.400379506641366,4.047322540473226,4.358812381554012,4.3726235741444865,2.19435736677116,-0.24330900243309003,-2.2023809523809526,-4.156769596199525,-4.41696113074205,-2.2740873728306403,-0.9079903147699757,-2.30722525804493,-1.165644171779141
1010,Ayala/Aiara,20.268924302788843,31.184407796101947,29.739044805514524,31.2984496124031,32.45445829338447,31.061659712563745,28.80143112701252,20.828157349896482,15.460267505900866,11.58095238095238,11.081593927893737,8.708487084870848,7.455664133188564,4.952246197382385,3.2638888888888893,1.7135023989033584,0.545144804088586,-0.27313076135199726,-0.30748206354629315,-0.1357773251866938
1011,Baños de Ebro/Mañueta,0.2985074626865672,9.880239520958083,7.207207207207207,8.841463414634147,-0.29940119760479045,-3.519061583577713,-6.086956521739131,-5.654761904761905,-6.104651162790697,-11.444141689373296,-12.885154061624648,-13.725490196078432,-8.108108108108109,-13.069908814589665,-10.185185185185185,-7.255520504731862,-11.145510835913312,-8.923076923076923,-5.144694533762058,-5.51948051948052
1013,Barrundia,36.28158844765343,35.665529010238906,38.64406779661017,37.868852459016395,40.44943820224719,40.21571648690293,28.693181818181817,20.264900662251655,18.613607188703465,15.09433962264151,10.635696821515893,7.37217598097503,2.6285714285714286,-2.9670329670329667,-2.5386313465783665,-2.973568281938326,-3.1385281385281383,-0.1092896174863388,-0.8839779005524863,-2.6578073089700998
1014,Berantevilla,13.647642679900745,8.866995073891626,5.687203791469194,3.953488372093023,-4.157549234135667,6.852248394004283,6.4655172413793105,4.8034934497816595,4.585152838427948,7.918552036199094,4.708520179372197,0.44742729306487694,1.141552511415525,-11.22244488977956,-8.299595141700406,-3.5416666666666665,-2.9227557411273484,-5.2410901467505235,-3.4261241970021414,2.2271714922048997
1016,Bernedo,-0.3703703703703704,3.832116788321168,6.8014705882352935,7.495429616087751,6.481481481481481,7.677902621722846,3.860294117647059,5.5762081784386615,0.17667844522968199,-4.21792618629174,-9.46643717728055,-15.136054421768709,-12.347826086956522,-11.130434782608695,-12.56637168141593,-10.73943661971831,-5.114638447971781,2.7522935779816518,2.6615969581749046,9.418837675350701
1017,Campezo/Kanpezu,-2.164111812443643,0.1863932898415657,4.143126177024483,4.528301886792453,3.136531365313653,4.162812210915819,5.644402634054563,4.700460829493087,4.062788550323177,0.8372093023255814,-3.3453887884267632,-4.422382671480144,-6.261180679785331,-7.63765541740675,-7.390917186108638,-8.97887323943662,-4.081632653061225,0.9225092250922509,0.2806361085126286,2.4551463644948064
