Mun_Code,Mun,pop_1996_2006 (k=10),pop_1998_2008 (k=10),pop_1999_2009 (k=10),pop_2000_2010 (k=10),pop_2001_2011 (k=10),pop_2002_2012 (k=10),pop_2003_2013 (k=10),pop_2004_2014 (k=10),pop_2005_2015 (k=10),pop_2006_2016 (k=10),pop_2007_2017 (k=10),pop_2008_2018 (k=10),pop_2009_2019 (k=10),pop_2010_2020 (k=10),pop_2011_2021 (k=10),pop_2012_2022 (k=10),pop_2013_2023 (k=10),pop_2014_2024 (k=10)
1001,Alegría-Dulantzi,77.3905996758509,95.94916600476569,97.14070729872084,93.71877230549607,88.6271870794078,79.5369211514393,68.13122437024019,52.42313705054716,40.72265625,30.470534490634993,26.377440347071584,17.024726388325902,9.770992366412214,8.142962417096536,4.352479486264716,3.1718368769606133,3.6585365853658534,1.5726495726495728
1002,Amurrio,-1.291248206599713,2.8093919819542705,3.4450938172869887,3.3950617283950617,3.290355853532749,5.420054200542006,6.111983254840397,7.642977291841883,6.9954128440366965,6.519933554817276,4.170462597428889,2.5830258302583027,2.5869759143621764,2.129353233830846,2.92590373477132,1.6511765869092347,1.7161455764868332,0.8887586678386562
1003,Aramaio,10.780669144981413,9.084249084249084,9.176984705025491,5.720338983050848,3.3863165169315828,2.2988505747126435,0.1343183344526528,-0.605245460659045,0.998003992015968,0.8053691275167786,0.20093770931011384,-0.4029550033579583,-2.1347565043362238,-3.674014696058784,-2.6737967914438503,-5.419695968274951,-5.499664654594232,-6.562922868741543
1004,Artziniega,26.14075792730085,33.94077448747153,35.874439461883405,35.874439461883405,38.467317806160786,38.98431665421957,32.65749456915279,25.29290144727774,22.01467645096731,12.814224402207236,7.4618096357226795,3.798185941043084,0.16501650165016502,-0.9900990099009901,-1.8448182311448724,-2.740462117141322,0.0,2.0902090209020905
1006,Armiñón,28.776978417266186,36.55172413793103,35.294117647058826,54.109589041095894,44.936708860759495,38.32335329341318,39.411764705882355,54.32098765432099,39.42857142857143,30.726256983240223,20.100502512562816,10.606060606060606,9.66183574879227,-0.8888888888888888,0.8733624454148471,1.7316017316017316,-2.109704641350211,-1.2
1008,Arratzua-Ubarrundia,15.704697986577182,18.528252299605782,21.825396825396826,25.757575757575758,27.994616419919243,35.773480662983424,36.82008368200837,25.031446540880502,23.543990086741015,13.57308584686775,10.909090909090908,8.869179600886918,6.406080347448426,7.776560788608982,6.940063091482649,4.883011190233978,6.320081549439347,5.331991951710262
1009,Asparrena,2.7255029201817003,3.303108808290155,5.317104420243433,6.4638783269961975,6.246056782334384,6.524466750313676,5.960684844641725,4.490828589500316,2.5529265255292652,2.9690461149715732,3.929024081115336,3.0094043887147337,-1.824817518248175,-3.392857142857143,-3.0285035629453683,-3.5924617196702,-3.7103530819868342,-2.4818401937046004
1010,Ayala/Aiara,30.727091633466134,35.43228385807096,36.04135893648449,36.96705426356589,38.063279002876314,35.28048215113584,31.261180679785333,21.283643892339544,15.145554681353266,12.22857142857143,12.67552182163188,9.48339483394834,7.636626854867898,4.987619384506544,2.4652777777777777,0.1028101439342015,-0.5792163543441227,0.44383748719699556
1011,Baños de Ebro/Mañueta,9.55223880597015,6.88622754491018,0.0,0.3048780487804878,-2.9940119760479043,-7.038123167155426,-6.3768115942028984,-3.273809523809524,-9.593023255813954,-16.076294277929154,-14.285714285714285,-19.88795518207283,-12.612612612612612,-10.638297872340425,-11.419753086419753,-6.624605678233439,-8.6687306501548,-10.461538461538462
1013,Barrundia,43.501805054151625,43.515358361774744,48.30508474576271,49.18032786885246,45.42536115569823,39.907550077041606,31.25,21.192052980132452,16.174582798459564,13.584905660377359,9.7799511002445,4.9940546967895365,0.9142857142857144,-3.1868131868131866,-1.2141280353200883,0.6607929515418502,-2.922077922077922,-3.934426229508197
1014,Berantevilla,9.67741935483871,10.098522167487685,3.7914691943127963,16.046511627906977,8.096280087527353,2.7837259100642395,3.2327586206896552,4.148471615720524,1.9650655021834063,1.583710407239819,-0.672645739910314,-0.8948545861297539,3.4246575342465753,-7.214428857715431,-5.870445344129554,-5.833333333333333,-5.845511482254697,-3.7735849056603774
1016,Bernedo,5.37037037037037,7.2992700729927,5.698529411764706,5.118829981718465,4.62962962962963,6.367041198501873,4.227941176470589,1.3011152416356877,-7.06713780918728,-12.302284710017574,-13.253012048192772,-13.095238095238097,-14.08695652173913,-11.826086956521738,-4.778761061946903,-1.4084507042253522,-4.761904761904762,0.1834862385321101
1017,Campezo/Kanpezu,-3.065825067628494,3.2618825722273996,5.273069679849341,6.226415094339623,3.5977859778597785,5.087881591119333,6.020696142991533,-0.09216589861751152,-1.2927054478301014,-1.4883720930232558,-5.244122965641953,-6.137184115523466,-6.976744186046512,-8.170515097690942,-3.7399821905609976,-3.697183098591549,-4.880212954747116,0.09225092250922509
1018,Zigoitia,33.11258278145696,40.37102473498233,37.64607679465776,36.39291465378422,33.513513513513516,32.75075987841946,31.8557475582269,30.954169797145003,28.08417997097242,22.743425728500355,16.721744877726373,10.320956576463185,5.9429957550030315,3.2467532467532463,4.2220936957779065,4.293073840870063,3.7606837606837606,5.794606999426277
1019,Kripan,-6.0,-1.6042780748663104,2.1052631578947367,3.723404255319149,6.486486486486487,4.301075268817205,3.664921465968586,-1.0526315789473684,-5.699481865284974,-1.0638297872340425,0.0,-1.6304347826086956,-7.216494845360824,-8.717948717948717,-11.16751269035533,-9.278350515463918,-12.121212121212121,-5.319148936170213
