Mun_Code,Mun,pop_1996_2011 (k=15),pop_1998_2013 (k=15),pop_1999_2014 (k=15),pop_2000_2015 (k=15),pop_2001_2016 (k=15),pop_2002_2017 (k=15),pop_2003_2018 (k=15),pop_2004_2019 (k=15),pop_2005_2020 (k=15),pop_2006_2021 (k=15),pop_2007_2022 (k=15),pop_2008_2023 (k=15),pop_2009_2024 (k=15)
1001,Alegría-Dulantzi,127.14748784440843,127.95869737887212,120.0902934537246,105.71020699500357,92.19380888290713,82.29036295369212,69.12712360867019,49.86972381448671,43.310546875,33.62265874828689,28.41648590021692,20.591811917308473,13.396946564885495
1002,Amurrio,2.6234884197581474,3.9577565877166,4.9830821285758224,5.58641975308642,5.827746260959257,7.264957264957266,7.650444793301936,8.809924306139614,7.005838198498749,7.007890365448505,4.069237777102946,2.852298793258203,2.3887402121122014
1003,Aramaio,11.226765799256505,9.230769230769232,7.64748725418791,7.203389830508475,3.8009675190048373,1.1494252873563218,-0.4029550033579583,-1.3449899125756557,-4.058549567531603,-2.2818791946308723,-4.152712659075687,-5.372733378106111,-7.871914609739826
1004,Artziniega,42.53673627223511,39.10402429764617,35.874439461883405,36.696562032884906,38.24192336589031,36.59447348767737,32.58508327299059,25.499655410062026,20.08005336891261,10.913549969343961,6.345475910693302,3.8548752834467117,2.0902090209020905
1006,Armiñón,64.74820143884892,63.44827586206897,63.39869281045751,67.12328767123287,48.10126582278481,43.11377245508982,28.823529411764703,40.123456790123456,27.42857142857143,29.05027932960894,18.090452261306535,17.17171717171717,19.32367149758454
1008,Arratzua-Ubarrundia,27.651006711409398,28.909329829172144,31.48148148148148,37.327823691460054,31.76312247644684,34.806629834254146,36.95955369595537,23.270440251572328,21.933085501858738,17.98143851508121,17.15909090909091,15.631929046563192,13.680781758957655
1009,Asparrena,9.27968851395198,8.22538860103627,5.829596412556054,4.3726235741444865,2.8391167192429023,2.8858218318695106,4.185161699429296,2.0872865275142316,1.0585305105853051,3.1585596967782688,3.7389100126742716,0.877742946708464,-2.0072992700729926
1010,Ayala/Aiara,43.42629482071713,46.67666166916541,44.21467257508617,41.81201550387597,41.22722914669224,37.644877144181734,32.69230769230769,23.146997929606624,16.758457907159716,12.419047619047618,10.853889943074003,7.675276752767528,6.4784654361201595
1011,Baños de Ebro/Mañueta,-3.2835820895522385,-3.293413173652695,-2.4024024024024024,-5.182926829268292,-7.784431137724551,-10.263929618768328,-17.101449275362317,-13.392857142857142,-14.534883720930234,-21.798365122615802,-17.086834733893557,-17.366946778711483,-12.612612612612612
1013,Barrundia,63.537906137184116,57.67918088737202,55.08474576271186,48.36065573770492,44.9438202247191,38.366718027734976,25.426136363636363,16.95364238410596,13.093709884467266,12.578616352201259,11.7359413202934,6.658739595719382,0.4571428571428572
1014,Berantevilla,22.58064516129032,17.980295566502463,13.033175355450238,8.604651162790699,-1.75054704595186,-5.139186295503212,-4.525862068965517,-1.0917030567685588,1.0917030567685588,5.203619909502263,1.345291479820628,0.8948545861297539,4.794520547945205
1016,Bernedo,4.62962962962963,3.4671532846715327,0.1838235294117647,-3.8391224862888484,-7.592592592592593,-5.617977528089887,-6.0661764705882355,-8.178438661710038,-10.424028268551238,-5.448154657293498,-3.614457831325301,-8.16326530612245,-5.043478260869565
1017,Campezo/Kanpezu,1.2623985572587917,5.032618825722274,2.0715630885122414,0.8490566037735849,-2.3062730627306274,-3.0527289546716005,-2.1636876763875823,-4.147465437788019,-4.524469067405355,0.5581395348837209,-1.0849909584086799,-3.2490974729241873,-2.9516994633273703
1018,Zigoitia,63.576158940397356,55.03533568904594,45.49248747913189,42.109500805152976,33.35907335907336,34.19452887537994,31.705484598046578,31.254695717505637,26.923076923076923,28.073916133617626,20.423000660938534,14.600377595972311,11.825348696179502
1019,Kripan,-1.5,5.88235294117647,-1.0526315789473684,-3.1914893617021276,0.5405405405405406,-1.0752688172043012,-5.2356020942408374,-5.263157894736842,-7.772020725388601,-6.914893617021277,-4.3478260869565215,-5.434782608695652,-8.24742268041237
1020,Kuartango,2.3323615160349855,-1.3812154696132597,-4.301075268817205,-3.2085561497326207,-1.866666666666667,0.0,3.8147138964577656,3.296703296703297,8.146067415730338,8.791208791208792,17.59776536312849,12.324929971988796,14.285714285714285
1021,Elburgo/Burgelu,224.47916666666666,167.0995670995671,131.9702602230483,90.59561128526646,63.2,43.160377358490564,38.62068965517241,32.22958057395143,28.000000000000004,32.083333333333336,20.0381679389313,21.292775665399237,18.66913123844732
1022,Elciego,13.463626492942455,14.96149614961496,16.464088397790057,13.621621621621621,7.832618025751073,8.421052631578947,8.695652173913043,8.531317494600433,6.376195536663125,6.866952789699571,-2.997002997002997,-5.951219512195122,-8.69980879541109
1023,Elvillar/Bilar,3.7356321839080464,1.4204545454545454,-1.4044943820224718,-2.7548209366391188,-2.4725274725274726,-3.8147138964577656,-7.199999999999999,-10.723860589812332,-9.836065573770492,-6.571428571428571,-11.235955056179774,-12.324929971988796,-13.550135501355012
1027,Iruraiz-Gauna,30.88235294117647,23.980815347721823,22.83653846153846,18.097447795823665,14.988814317673377,15.973741794310722,12.882096069868995,11.182795698924732,11.297071129707113,11.60337552742616,11.180124223602485,11.316872427983538,12.170385395537526
1028,Labastida/Bastida,35.85951940850277,25.403568394222596,24.602510460251047,18.34271922767498,14.50980392156863,12.888198757763975,10.98310291858679,8.845577211394302,9.05823148813803,6.834030683403068,4.271186440677966,4.191616766467066,4.7523427041499335
