Mun_Code,Mun,pop_1996_1999 (k=3),pop_1998_2001 (k=3),pop_1999_2002 (k=3),pop_2000_2003 (k=3),pop_2001_2004 (k=3),pop_2002_2005 (k=3),pop_2003_2006 (k=3),pop_2004_2007 (k=3),pop_2005_2008 (k=3),pop_2006_2009 (k=3),pop_2007_2010 (k=3),pop_2008_2011 (k=3),pop_2009_2012 (k=3),pop_2010_2013 (k=3),pop_2011_2014 (k=3),pop_2012_2015 (k=3),pop_2013_2016 (k=3),pop_2014_2017 (k=3),pop_2015_2018 (k=3),pop_2016_2019 (k=3),pop_2017_2020 (k=3),pop_2018_2021 (k=3),pop_2019_2022 (k=3),pop_2020_2023 (k=3),pop_2021_2024 (k=3)
1001,Alegría-Dulantzi,7.698541329011345,18.030182684670372,20.240782543265613,21.841541755888652,29.138627187079408,28.16020025031289,28.236672524897482,20.114643043251693,20.458984375,19.689355870260393,17.744034707158352,13.619781110660723,9.50381679389313,5.747973470891673,4.352479486264716,0.4531195538515162,-0.4878048780487805,-0.41025641025641024,0.17349063150589866,0.700280112044818,0.7552351527634741,1.3162452372705231,2.920723226703755,1.362862010221465,1.5726495726495728
1002,Amurrio,-0.05124000819840131,-0.5946888136983493,-1.6302676099661642,-1.6975308641975309,-1.887570912841671,-0.020846362309776944,0.805860805860806,3.8582842724978974,4.535029190992494,4.744601328903655,1.730944427573641,-0.12964994514810013,0.24779462781246903,0.8855721393034826,2.2468544038346314,1.4732054577812932,1.1934115790511886,0.5078620959078035,0.22410601188736237,0.8771929824561403,-0.2623651734525313,0.204160995527902,-0.6666666666666667,0.47739672642244735,0.22314931599883575
1003,Aramaio,2.0817843866171004,6.007326007326007,7.720320466132556,5.155367231638418,2.7643400138217,1.6227180527383367,0.0671591672263264,0.4034969737726967,-0.9314703925482368,0.6040268456375839,0.26791694574681846,0.47011417058428473,0.9339559706470981,-0.4008016032064128,-1.2032085561497325,0.3304692663582287,0.7377598926894702,1.2178619756427604,-2.30566534914361,-2.330226364846871,-3.6096256684491976,-1.8206338503034392,-2.4539877300613497,-2.2884882108183078,-5.151098901098901
1004,Artziniega,3.480278422273782,1.0630220197418374,0.07473841554559044,3.2137518684603883,9.015777610818933,11.949215832710978,18.102824040550324,17.29841488628532,17.678452301534357,11.465358675659104,6.815511163337249,4.478458049886622,2.3652365236523654,0.77007700770077,-1.3564839934888768,-1.7195056421278883,0.43668122270742354,0.605060506050605,0.10934937124111535,-1.0326086956521738,-1.5855658829961725,-1.2015292190060076,-0.6040637012630422,1.7777777777777777,2.59812050856827
1006,Armiñón,10.071942446043165,8.96551724137931,9.15032679738562,16.43835616438356,2.5316455696202533,4.790419161676647,5.294117647058823,22.839506172839506,13.142857142857142,15.64245810055866,13.06532663316583,15.656565656565657,11.594202898550725,5.333333333333334,9.170305676855897,5.627705627705628,-1.2658227848101267,-4.3999999999999995,-10.245901639344263,-2.9914529914529915,-6.694560669456067,5.47945205479452,3.524229074889868,4.0358744394618835,6.926406926406926
1008,Arratzua-Ubarrundia,1.476510067114094,-2.3653088042049935,-4.232804232804233,-1.2396694214876034,6.998654104979811,11.464088397790055,20.2231520223152,10.69182389937107,11.771995043370508,6.844547563805105,3.75,5.432372505543237,6.731813246471227,7.447973713033954,4.52155625657203,1.4242115971515767,-0.20387359836901123,-1.8108651911468814,-1.5045135406218655,0.10214504596527069,0.819672131147541,3.5641547861507124,5.204081632653061,5.995934959349594,2.949852507374631
1009,Asparrena,1.2978585334198574,2.655440414507772,2.114029468289558,-0.06337135614702154,-0.2523659305993691,0.7528230865746549,0.3804692454026633,-0.18975332068311196,-0.684931506849315,3.853442830069488,6.4638783269961975,5.579937304075235,3.2846715328467155,-0.5357142857142857,-1.9002375296912115,-3.0035335689045937,-2.453620586475165,-0.7263922518159807,-0.24286581663630846,-0.98159509202454,-1.0365853658536586,-0.6086427267194157,1.4250309789343247,-0.8626001232285889,-1.3472137170851195
1010,Ayala/Aiara,1.1454183266932272,4.2478760619690155,6.20384047267356,8.333333333333332,15.771812080536913,17.848864163189614,17.397137745974955,9.109730848861282,6.608969315499606,5.257142857142857,7.286527514231499,6.273062730627306,5.609844372059356,3.820304209409268,1.7013888888888888,0.3084304318026045,0.3747870528109029,1.3656538067599864,1.3665869490946363,0.9504412763068567,-0.033681374200067365,-0.5392652510953826,-1.7821116341627437,-1.6846361185983827,-0.3049813622500847
1011,Baños de Ebro/Mañueta,-0.5970149253731344,0.0,2.4024024024024024,5.182926829268292,0.5988023952095809,0.8797653958944283,6.3768115942028984,6.25,3.77906976744186,-9.264305177111716,-7.8431372549019605,-9.243697478991598,-4.804804804804805,-1.82370820668693,0.30864197530864196,-1.8927444794952681,-4.643962848297214,-5.846153846153846,-8.038585209003216,-5.51948051948052,-3.9215686274509802,0.34965034965034963,1.718213058419244,0.3401360544217687,1.3937282229965158
1013,Barrundia,6.4981949458483745,6.313993174061433,10.0,15.40983606557377,21.187800963081862,20.03081664098613,12.926136363636365,8.344370860927153,7.958921694480104,10.062893081761008,11.246943765281173,7.728894173602854,3.7714285714285714,1.5384615384615385,0.9933774834437087,-0.3303964757709251,-2.272727272727273,-1.8579234972677594,-2.430939226519337,-2.2148394241417497,-1.893095768374165,1.3590033975084939,3.5107587768969424,1.8161180476730987,-1.7877094972067038
