Mun_Code,Mun,pop_1996_2022 (k=26),pop_1998_2024 (k=26)
16122,Mariana,-6.58682634730539,-1.257861635220126
16123,Masegosa,-54.074074074074076,-51.5625
16124,"Mesas, Las",-10.97324544397053,-9.26887734718338
16125,Minglanilla,-4.060913705583756,0.78125
16126,Mira,-19.791666666666664,-17.620751341681572
16128,Monreal del Llano,-45.05494505494506,-47.05882352941176
16129,Montalbanejo,-57.3394495412844,-58.82352941176471
16130,Montalbo,-9.673202614379086,-4.341926729986431
16131,Monteagudo de las Salinas,-1.639344262295082,5.084745762711865
16132,Mota de Altarejos,-43.333333333333336,-53.44827586206896
16133,Mota del Cuervo,10.305343511450381,13.121419330992424
16134,Motilla del Palancar,20.20746060243367,26.5467044076021
16135,Moya,-54.285714285714285,-46.76258992805755
16137,Narboneta,-64.34782608695652,-61.94690265486725
16139,Olivares de Júcar,-51.0,-47.61904761904761
16140,Olmeda de la Cuesta,-61.111111111111114,-59.183673469387756
16141,Olmeda del Rey,-47.24409448818898,-50.20242914979757
16142,Olmedilla de Alarcón,-37.61467889908257,-30.05464480874317
16143,Olmedilla de Eliz,-52.77777777777778,-44.11764705882353
16145,Osa de la Vega,-34.457478005865106,-33.18250377073906
16146,Pajarón,-45.0,-46.043165467625904
16147,Pajaroncillo,-35.714285714285715,-36.08247422680412
16148,Palomares del Campo,-46.05009633911368,-44.94047619047619
16149,Palomera,-1.744186046511628,24.836601307189543
16150,Paracuellos,-40.0,-35.714285714285715
16151,Paredes,-26.666666666666668,-17.073170731707318
16152,"Parra de las Vegas, La",-50.0,-42.62295081967213
16153,"Pedernoso, El",-16.851441241685144,-17.746686303387335
16154,"Pedroñeras, Las",2.0936724565756824,2.130993418990912
16155,"Peral, El",-10.714285714285714,-10.249307479224377
16156,"Peraleja, La",-39.75155279503105,-50.98039215686274
16157,"Pesquera, La",-24.285714285714285,-13.333333333333334
16158,"Picazo, El",-8.548168249660787,-2.4930747922437675
16159,Pinarejo,-61.42857142857143,-57.21040189125296
16160,Pineda de Gigüela,-63.74269005847953,-65.40880503144653
16161,Piqueras del Castillo,-48.888888888888886,-50.617283950617285
16162,Portalrubio de Guadamejud,-70.47619047619048,-55.319148936170215
16163,Portilla,-42.0,-34.40860215053764
16165,Poyatos,-51.26050420168067,-38.793103448275865
16166,Pozoamargo,-14.939024390243901,-16.927899686520377
16167,Pozorrubio de Santiago,-41.13345521023766,-40.91778202676864
16169,"Pozuelo, El",-59.43396226415094,-58.65384615384615
16170,Priego,-13.658536585365855,-8.687068114511352
16171,"Provencio, El",-9.1012947448591,-8.213312572985597
16172,Puebla de Almenara,-46.37931034482759,-45.83333333333333
16173,"Valle de Altomira, El",-46.21409921671018,-44.89247311827957
16174,Puebla del Salvador,-39.43217665615142,-34.11371237458194
16175,Quintanar del Rey,25.588283692611487,22.970752546828788
16176,Rada de Haro,-26.865671641791046,-27.692307692307693
16177,Reíllo,-31.818181818181817,-30.136986301369863
16181,Rozalén del Monte,-53.96825396825397,-56.451612903225815
16185,Saceda-Trasierra,-61.05263157894737,-58.58585858585859
16186,Saelices,-38.35616438356164,-34.090909090909086
16187,Salinas del Manzano,-50.37037037037037,-36.97478991596639
16188,Salmeroncillos,-46.8421052631579,-43.956043956043956
16189,Salvacañete,-17.094017094017094,-15.294117647058824
16190,San Clemente,3.9433617539585875,8.316107489266974
16191,San Lorenzo de la Parrilla,-30.598958333333332,-23.994638069705093
16192,San Martín de Boniches,-58.55855855855856,-64.22018348623854
16193,San Pedro Palmiches,-55.85585585585585,-48.62385321100918
16194,Santa Cruz de Moya,-48.4304932735426,-46.04651162790698
16195,Santa María del Campo Rus,-36.57351154313487,-33.9622641509434
16196,Santa María de los Llanos,-21.568627450980394,-22.77456647398844
16197,Santa María del Val,-51.96850393700787,-46.61016949152542
16198,Sisante,-11.24520021941854,-7.314349525404802
16199,Solera de Gabaldón,-20.0,-21.428571428571427
16202,Talayuelas,-28.487886382623223,-21.530249110320284
16203,Tarancón,39.76468506723283,47.126642237912236
16204,Tébar,-29.484029484029485,-28.883495145631066
16205,Tejadillos,-38.91891891891892,-42.13483146067416
16206,Tinajas,-48.421052631578945,-47.58064516129033
16209,Torralba,-46.03960396039604,-40.83769633507853
16211,Torrejoncillo del Rey,-54.18326693227091,-54.13839891451831
16212,Torrubia del Campo,-20.64343163538874,-14.754098360655737
16213,Torrubia del Castillo,-10.869565217391305,-4.545454545454546
16215,Tragacete,-28.42377260981912,-30.952380952380953
16216,Tresjuncos,-50.91575091575091,-49.42084942084942
16217,Tribaldos,-29.28571428571429,-26.865671641791046
16218,Uclés,-26.0,-19.795221843003414
16219,Uña,-41.25874125874126,-35.97122302158273
16224,Valdemeca,-36.75213675213676,-25.454545454545453
16225,Valdemorillo de la Sierra,-50.0,-48.148148148148145
16227,Valdemoro-Sierra,-40.229885057471265,-39.63414634146341
16228,Valdeolivas,-31.661442006269592,-28.87323943661972
16231,Valhermoso de la Fuente,-34.375,-1.6666666666666667
16234,Valsalobre,-63.793103448275865,-64.28571428571429
16236,Valverde de Júcar,-22.624113475177303,-20.679681851048446
16237,Valverdejo,-38.961038961038966,-41.21621621621622
16238,Vara de Rey,-38.74833555259654,-34.173669467787114
16239,Vega del Codorno,-45.22821576763486,-38.62660944206009
16240,Vellisca,-40.625,-32.795698924731184
16242,Villaconejos de Trabaque,-40.625,-39.13857677902622
16243,Villaescusa de Haro,-25.0,-26.324237560192614
16244,Villagarcía del Llano,-30.160320641282567,-22.833843017329254
16245,Villalba de la Sierra,-8.333333333333332,1.4466546112115732
16246,Villalba del Rey,-35.17520215633424,-32.162921348314605
16247,Villalgordo del Marquesado,-54.794520547945204,-54.60992907801418
16248,Villalpardo,-9.795191451469279,-9.173478655767484
16249,Villamayor de Santiago,-13.937035726918994,-13.37719298245614
16250,Villanueva de Guadamejud,-50.76923076923077,-59.84848484848485
16251,Villanueva de la Jara,-7.595959595959596,-5.070993914807302
16253,Villar de Cañas,-15.938864628820962,-17.67337807606264
16254,Villar de Domingo García,-24.489795918367346,-22.10144927536232
16255,Villar de la Encina,-33.47107438016529,-38.17427385892116
16258,Villar del Humo,-66.33466135458167,-64.3002028397566
16259,Villar del Infantado,-20.408163265306122,-45.614035087719294
16263,Villar de Olalla,54.618015963511965,75.20278099652376
16264,Villarejo de Fuentes,-53.22195704057279,-50.920245398773
16265,Villarejo de la Peñuela,-36.11111111111111,-50.0
16266,Villarejo-Periesteban,-30.74141048824593,-31.204379562043794
16269,Villares del Saz,-37.4331550802139,-33.37819650067295
16270,Villarrubio,-19.574468085106382,-19.924812030075188
16271,Villarta,-2.952029520295203,6.675062972292191
16272,Villas de la Ventosa,-47.368421052631575,-43.62244897959184
16273,Villaverde y Pasaconsol,-23.52941176470588,-25.694444444444443
16274,Víllora,-46.18320610687023,-49.60317460317461
16275,Vindel,-53.84615384615385,-36.0
16276,Yémeda,-45.16129032258064,-34.48275862068966
16277,Zafra de Záncara,-57.446808510638306,-58.525345622119815
16278,Zafrilla,-60.431654676258994,-61.87050359712231
16279,Zarza de Tajo,-3.597122302158273,2.2388059701492535
16280,Zarzuela,-48.66666666666667,-44.178082191780824
16901,Campos del Paraíso,-41.88393608074012,-43.25744308231174
16902,Valdetórtola,-16.447368421052634,-15.753424657534246
16903,"Valeras, Las",3.8808038808038807,10.296191819464035
16904,Fuentenava de Jábaga,92.93286219081273,120.21660649819495
16905,Arcas,229.04290429042905,280.5042016806722
16906,"Valdecolmenas, Los",-45.98540145985402,-44.09448818897638
16908,Pozorrubielos de la Mancha,-42.14046822742475,-43.05555555555556
16909,Sotorribas,-29.268292682926827,-26.20041753653445
16910,Villar y Velasco,-43.97163120567376,-41.98473282442748
17001,Agullana,45.880452342487885,46.141479099678456
17002,Aiguaviva,80.55555555555556,76.26373626373626
17003,Albanyà,46.34146341463415,28.24427480916031
17004,Albons,55.36062378167641,57.1969696969697
17005,"Far d'Empordà, El",55.472636815920396,56.10972568578554
17006,Alp,69.66403162055336,56.380090497737555
17007,Amer,6.41476274165202,7.764390896921017
17008,Anglès,18.746081504702193,25.61026936026936
17009,Arbúcies,49.96525364836692,36.56003323639385
17010,Argelaguer,21.60664819944598,23.835616438356162
17011,"Armentera, L'",39.25233644859813,42.857142857142854
17012,Avinyonet de Puigventós,254.3340380549683,213.59404096834265
17013,Begur,37.446528463310294,33.532557407989934
17014,"Vajol, La",3.571428571428571,41.17647058823529
17015,Banyoles,40.23619312261202,39.67317602386765
17016,Bàscara,34.285714285714285,35.861182519280206
17018,Bellcaire d'Empordà,46.40657084188911,46.81274900398406
17019,Besalú,22.107336287543085,29.733802109492718
17020,Bescanó,73.6026936026936,67.84198498204374
17021,Beuda,68.33333333333333,56.92307692307692
17022,"Bisbal d'Empordà, La",39.41551142750094,44.11002837054397
17023,Blanes,46.4258651174539,46.388676888919726
17024,Bolvir,111.42857142857143,101.21457489878543
17025,Bordils,38.655462184873954,30.158730158730158
17026,Borrassà,54.27435387673957,58.077709611451944
17027,Breda,18.47055195806352,20.77443146896128
17028,Brunyola i Sant Martí Sapresa,3.1914893617021276,-2.4691358024691357
17029,Boadella i les Escaules,17.272727272727273,14.537444933920703
17030,Cabanes,23.246753246753247,24.904214559386972
17031,Cabanelles,22.90748898678414,27.727272727272727
17032,Cadaqués,55.99352051835853,55.378061767838126
17033,Caldes de Malavella,127.79321845469704,126.78571428571428
17034,Calonge i Sant Antoni,100.8230452674897,97.81561194988757
17035,Camós,15.136876006441224,15.048543689320388
17036,Campdevànol,-3.884075291305647,-2.39377618192699
17037,Campelles,27.559055118110237,34.146341463414636
17038,Campllong,91.07142857142857,85.6655290102389
17039,Camprodon,6.975736568457538,7.80716723549488
17040,Canet d'Adri,49.10536779324055,43.35260115606936
17041,Cantallops,24.528301886792452,34.63035019455253
17042,Capmany,70.55837563451777,74.55919395465995
17043,Queralbs,-0.5208333333333333,3.0
17044,Cassà de la Selva,43.780290791599356,46.98455339153795
17046,Castellfollit de la Roca,-7.952286282306163,-2.4464831804281344
