Mun_Code,Mun,pop_1996_2012 (k=16),pop_1998_2014 (k=16),pop_1999_2015 (k=16),pop_2000_2016 (k=16),pop_2001_2017 (k=16),pop_2002_2018 (k=16),pop_2003_2019 (k=16),pop_2004_2020 (k=16),pop_2005_2021 (k=16),pop_2006_2022 (k=16),pop_2007_2023 (k=16),pop_2008_2024 (k=16)
1001,Alegría-Dulantzi,132.49594813614263,132.3272438443209,116.85477802859292,103.85438972162741,96.02960969044415,80.66332916145181,68.48271821909783,52.94424179260031,42.822265625,35.22156235724075,29.067245119305856,20.42967166599108
1002,Amurrio,3.648288583726173,4.9830821285758224,5.229160258382036,5.555555555555555,6.147498710675606,7.212841359182823,8.320251177394034,7.905803195962995,7.454128440366972,6.737956810631229,4.393157202145966,3.021841029221103
1003,Aramaio,12.490706319702602,8.278388278388277,10.56081573197378,6.073446327683616,3.3863165169315828,0.2704530087897228,-1.4775016789791806,-3.026227303295225,-3.1270791749833666,-3.9597315436241614,-5.626255860683188,-7.25319006044325
1004,Artziniega,43.92884764114463,38.041002277904326,36.696562032884906,37.5186846038864,37.415477084898576,36.74383868558626,31.860970311368575,24.05237767057202,20.68045363575717,10.974862047823422,7.638072855464159,5.215419501133787
1006,Armiñón,66.18705035971223,72.41379310344827,59.47712418300654,60.273972602739725,51.26582278481012,31.137724550898206,33.52941176470588,37.65432098765432,32.0,31.28491620111732,16.582914572864322,24.747474747474747
1008,Arratzua-Ubarrundia,31.946308724832218,30.617608409986858,31.878306878306876,34.84848484848485,31.35935397039031,35.635359116022094,36.68061366806137,23.77358490566038,26.022304832713754,19.605568445475637,18.522727272727273,16.07538802660754
1009,Asparrena,10.188189487345879,6.994818652849741,5.509288917360666,3.2953105196451205,3.4700315457413247,3.0740276035131746,2.346227013316424,2.6565464895635675,1.6811955168119552,3.41124447252053,1.964512040557668,1.0031347962382446
1010,Ayala/Aiara,45.31872509960159,46.3768115942029,44.116198916789756,42.73255813953488,42.329817833173536,37.552155771905426,33.005366726296955,22.89855072463768,16.089693154996066,11.276190476190475,10.740037950664137,8.56088560885609
1011,Baños de Ebro/Mañueta,-5.3731343283582085,-2.694610778443114,-6.606606606606606,-6.097560975609756,-8.383233532934131,-16.129032258064516,-15.65217391304348,-12.5,-16.569767441860463,-19.346049046321525,-17.366946778711483,-18.487394957983195
1013,Barrundia,63.898916967509024,56.14334470989761,53.38983050847458,48.032786885245905,44.141252006420544,36.05546995377504,25.426136363636363,16.688741721854306,14.890885750962774,14.968553459119496,9.657701711491443,4.5184304399524375
1014,Berantevilla,19.106699751861044,17.48768472906404,10.66350710900474,4.4186046511627906,-3.063457330415755,-5.139186295503212,-2.3706896551724137,1.0917030567685588,1.5283842794759825,2.262443438914027,1.1210762331838564,2.684563758389262
1016,Bernedo,5.185185185185185,-0.5474452554744526,-3.308823529411765,-8.775137111517367,-6.666666666666667,-4.307116104868914,-9.191176470588236,-5.762081784386617,-4.946996466431095,-1.5817223198594026,-7.056798623063683,-7.142857142857142
1017,Campezo/Kanpezu,2.4346257889990985,1.0251630941286114,0.6591337099811676,-0.09433962264150944,-3.3210332103321036,-3.7927844588344124,-2.1636876763875823,-4.700460829493087,-0.18467220683287164,1.7674418604651163,-3.074141048824593,-2.0758122743682312
1018,Zigoitia,65.27909176915799,53.97526501766784,47.32888146911519,39.049919484702095,36.37065637065637,33.20668693009118,31.254695717505637,31.40495867768595,30.76923076923077,29.4953802416489,20.356906807666885,16.047828823159218
1019,Kripan,-3.0,0.53475935828877,-4.2105263157894735,-1.0638297872340425,-0.5405405405405406,-2.6881720430107525,-5.7591623036649215,-6.315789473684211,-9.32642487046632,-6.382978723404255,-5.434782608695652,-3.260869565217391
1020,Kuartango,4.373177842565598,-1.6574585635359116,-2.6881720430107525,-1.6042780748663104,-0.8,2.4193548387096775,2.452316076294278,5.769230769230769,11.235955056179774,15.659340659340659,12.011173184357542,14.285714285714285
1021,Elburgo/Burgelu,227.60416666666666,170.12987012987014,126.02230483271374,91.84952978056427,61.86666666666667,42.21698113207547,37.701149425287355,34.216335540838855,33.473684210526315,31.041666666666668,21.755725190839694,22.0532319391635
1022,Elciego,12.59500542888165,15.951595159515952,16.132596685082873,8.64864864864865,10.515021459227468,7.894736842105263,6.574761399787911,8.099352051835854,5.844845908607864,4.184549356223176,-3.696303696303696,-6.829268292682928
1023,Elvillar/Bilar,5.747126436781609,-0.2840909090909091,-0.8426966292134831,-2.203856749311295,-3.021978021978022,-5.177111716621254,-11.200000000000001,-11.528150134048257,-10.655737704918032,-9.714285714285714,-12.07865168539326,-10.644257703081232
1027,Iruraiz-Gauna,32.59803921568628,22.54196642685851,22.355769230769234,19.25754060324826,18.568232662192393,13.129102844638949,12.882096069868995,14.408602150537634,10.669456066945607,13.291139240506327,12.008281573498964,13.786008230452676
1028,Labastida/Bastida,39.37153419593346,26.50807136788445,23.09623430962343,17.45776347546259,14.03921568627451,12.18944099378882,11.52073732718894,13.718140929535233,10.136592379583034,7.252440725244072,6.169491525423728,4.125083166999334
1030,Lagrán,-5.263157894736842,-17.435897435897434,-17.258883248730964,-16.831683168316832,-16.582914572864322,-19.387755102040817,-17.801047120418847,-16.923076923076923,-10.9375,-8.37696335078534,-11.34020618556701,-10.526315789473683
1031,Laguardia,8.784258608573436,7.73598296664301,7.877927608232789,4.674220963172805,4.096045197740112,4.0082930200414655,2.1189336978810664,-1.7567567567567568,-1.2811867835468644,-0.13468013468013468,-0.8086253369272237,-1.859229747675963
