Mun_Code,Mun,pop_1996_2001 (k=5),pop_1998_2003 (k=5),pop_1999_2004 (k=5),pop_2000_2005 (k=5),pop_2001_2006 (k=5),pop_2002_2007 (k=5),pop_2003_2008 (k=5),pop_2004_2009 (k=5),pop_2005_2010 (k=5),pop_2006_2011 (k=5),pop_2007_2012 (k=5),pop_2008_2013 (k=5),pop_2009_2014 (k=5),pop_2010_2015 (k=5),pop_2011_2016 (k=5),pop_2012_2017 (k=5),pop_2013_2018 (k=5),pop_2014_2019 (k=5),pop_2015_2020 (k=5),pop_2016_2021 (k=5),pop_2017_2022 (k=5),pop_2018_2023 (k=5),pop_2019_2024 (k=5)
1001,Alegría-Dulantzi,20.42139384116694,35.58379666401906,44.394281414597444,46.18129907209136,47.30820995962315,44.242803504380475,44.522554188635034,36.529442417926006,32.51953125,28.049337597076292,24.468546637744033,16.335630320226997,11.641221374045802,6.190125276344879,1.890831252229754,1.533635413035901,0.5923344947735192,-1.6752136752136753,1.839000693962526,2.415966386554622,1.613456917267422,3.0481468652580532,3.303198887343533
1002,Amurrio,-0.6456241032998565,-2.030144570901261,-2.471034553470727,-1.316872427983539,-0.6498194945848376,2.9706066291432145,4.939822082679226,6.066021867115222,4.774812343619683,3.965946843853821,2.378783277659682,1.1169841428144012,1.486767766874814,2.1194029850746268,2.456560814859197,1.7500494364247579,1.4498471249630143,1.0840902431878112,0.009743739647276624,0.45808966861598444,-0.0971722864639005,0.26249270853587403,-0.1932367149758454
1003,Aramaio,7.5836431226765795,9.084249084249084,8.30298616168973,6.1440677966101696,2.9716655148583278,0.9465855307640297,0.0,0.8069939475453934,-0.39920159680638717,0.4026845637583893,1.3395847287340925,0.1343183344526528,-1.400933955970647,1.402805611222445,0.4010695187165776,-1.1235955056179776,-0.5365526492287056,-0.7442489851150204,-5.006587615283268,-3.062583222370173,-4.3449197860962565,-4.989885367498315,-5.862304021813224
1004,Artziniega,2.9389017788089715,4.859529233105543,8.44544095665172,12.03288490284006,22.539444027047335,27.109783420463028,27.7335264301231,25.29290144727774,21.280853902601734,12.998160637645617,9.341950646298471,3.8548752834467117,0.0,0.605060506050605,-0.16277807921866522,-1.7195056421278883,-0.05458515283842794,0.16501650165016502,-1.5855658829961725,-1.684782608695652,-1.038819026790596,0.05461496450027307,1.9220208676551345
1006,Armiñón,13.66906474820144,17.24137931034483,5.88235294117647,19.863013698630137,13.291139240506327,19.16167664670659,16.470588235294116,27.77777777777778,28.57142857142857,27.932960893854748,16.08040201005025,19.696969696969695,20.77294685990338,8.444444444444445,2.1834061135371177,3.463203463203463,-7.59493670886076,-9.2,-8.60655737704918,-1.282051282051282,-1.6736401673640167,5.93607305936073,8.81057268722467
1008,Arratzua-Ubarrundia,-0.2684563758389262,-5.781865965834428,5.158730158730158,11.15702479338843,16.01615074024226,21.54696132596685,25.80195258019526,15.849056603773585,13.135068153655514,10.324825986078887,11.704545454545455,8.758314855875831,7.926167209554831,9.200438116100766,2.9442691903259726,-0.7121057985757884,0.10193679918450561,-1.4084507042253522,-1.3039117352056169,3.881511746680286,5.635245901639344,6.211812627291242,6.836734693877551
1009,Asparrena,2.855288773523686,2.1373056994818653,1.2812299807815504,1.7743979721166032,-0.12618296529968456,-1.0037641154328731,1.14140773620799,3.984819734345351,4.60772104607721,6.380290587492103,7.604562737642586,4.764890282131661,0.48661800486618007,-1.9642857142857142,-3.2066508313539197,-3.415783274440518,-1.6756433273488927,-2.3002421307506054,-1.4571948998178506,0.18404907975460122,-0.1829268292682927,-2.069385270846013,-0.18587360594795538
1010,Ayala/Aiara,3.8844621513944224,11.744127936031983,18.906942392909897,23.15891472868217,25.838926174496645,22.160407974038016,21.19856887298748,14.409937888198757,11.211644374508262,9.714285714285714,10.740037950664137,8.302583025830259,6.007962359753891,3.5373187124159884,2.2916666666666665,1.7477724468814255,1.090289608177172,1.5363605326049845,1.400751622822002,0.1697216564833673,-1.6167059616032333,-1.6514998314796092,-1.0759919300605245
1011,Baños de Ebro/Mañueta,-0.2985074626865672,3.293413173652695,0.9009009009009009,4.878048780487805,9.880239520958083,4.69208211143695,3.4782608695652173,-0.8928571428571428,-4.3604651162790695,-11.716621253405995,-11.204481792717088,-9.523809523809524,-2.4024024024024024,-5.47112462006079,-4.938271604938271,-3.4700315457413247,-11.455108359133128,-10.461538461538462,-5.466237942122187,-6.8181818181818175,-3.2679738562091507,3.146853146853147,0.0
1013,Barrundia,12.454873646209386,20.13651877133106,27.966101694915253,27.704918032786885,27.608346709470304,26.040061633281976,19.460227272727273,15.894039735099339,16.816431322207958,13.962264150943396,11.00244498777506,9.869203329369798,4.571428571428571,-0.5494505494505495,-0.33112582781456956,-1.1013215859030838,-4.437229437229438,-3.4972677595628414,-2.6519337016574585,-0.8859357696566998,1.7817371937639197,1.5855039637599093,-0.4530011325028313
1014,Berantevilla,13.399503722084367,14.285714285714285,8.530805687203792,6.511627906976744,-3.282275711159737,-4.496788008565311,-3.6637931034482754,-4.366812227074235,8.951965065502183,11.76470588235294,7.623318385650224,7.158836689038031,8.904109589041095,-6.4128256513026045,-9.109311740890687,-7.708333333333334,-7.515657620041753,-5.031446540880504,-0.8565310492505354,3.5634743875278394,2.0316027088036117,1.805869074492099,1.3245033112582782
