Mun_Code,Mun,pop_1996_2023 (k=27)
1001,Alegría-Dulantzi,141.08589951377635
1002,Amurrio,5.687640910022545
1003,Aramaio,4.758364312267658
1004,Artziniega,41.68600154679041
1006,Armiñón,66.90647482014388
1008,Arratzua-Ubarrundia,40.0
1009,Asparrena,4.412719013627515
1010,Ayala/Aiara,45.31872509960159
1011,Baños de Ebro/Mañueta,-11.940298507462686
1013,Barrundia,61.91335740072203
1014,Berantevilla,11.910669975186105
1016,Bernedo,0.0
1017,Campezo/Kanpezu,-3.3363390441839496
1018,Zigoitia,72.28003784295176
1019,Kripan,-13.0
1020,Kuartango,16.909620991253643
1021,Elburgo/Burgelu,232.29166666666666
1022,Elciego,4.668838219326819
1023,Elvillar/Bilar,-10.057471264367816
1027,Iruraiz-Gauna,32.59803921568628
1028,Labastida/Bastida,44.73197781885398
1030,Lagrán,-9.473684210526317
1031,Laguardia,3.4434293745607873
1032,Lanciego/Lantziego,8.923076923076923
1033,Lapuebla de Labarca,0.4645760743321719
1034,Leza,20.87912087912088
1036,Laudio/Llodio,-10.023602671621553
1037,Arraia-Maeztu,18.71345029239766
1039,Moreda de Álava/Moreda Araba,-26.501766784452297
1041,Navaridas,-13.215859030837004
1042,Okondo,55.58441558441558
1043,Oyón-Oion,51.87332738626227
1044,Peñacerrada-Urizaharra,20.318725099601593
1046,Erriberagoitia/Ribera Alta,61.71875
1047,Ribera Baja/Erriberabeitia,206.02150537634407
1049,Añana,-23.15270935960591
1051,Agurain/Salvatierra,33.95679662802951
1052,Samaniego,0.0
1053,San Millán/Donemiliaga,5.065123010130246
1054,Urkabustaiz,71.5311004784689
1055,Valdegovía/Gaubea,20.724801812004532
1056,Harana/Valle de Arana,-40.16393442622951
1057,Villabuena de Álava/Eskuernaga,-17.391304347826086
1058,Legutio,56.21662852784134
1059,Vitoria-Gasteiz,19.442292073153656
1060,Yécora/Iekora,-1.968503937007874
1061,Zalduondo,44.11764705882353
1062,Zambrana,18.207282913165265
1063,Zuia,61.474844934527916
1901,Iruña Oka/Iruña de Oca,122.58663366336633
1902,Lantarón,13.148371531966225
2001,Abengibre,-25.417075564278708
2002,Alatoz,-28.111273792093705
2003,Albacete,20.450072670880882
2004,Albatana,-27.783902976846747
2005,Alborea,-16.541353383458645
2006,Alcadozo,-19.901112484548825
2007,Alcalá del Júcar,-27.767114523352525
2008,Alcaraz,-27.515286270150085
2009,Almansa,3.296890287999319
2010,Alpera,-3.6124096897577562
2011,Ayna,-44.65930018416206
2012,Balazote,9.305492510213345
2013,Balsa de Ves,-50.37037037037037
2014,"Ballestero, El",-30.42016806722689
2015,Barrax,-6.568974229408793
2016,Bienservida,-40.44117647058824
2017,Bogarra,-48.89502762430939
2018,Bonete,-21.285140562248998
2019,"Bonillo, El",-20.462046204620464
2020,Carcelén,-28.846153846153843
2021,Casas de Juan Núñez,2.042360060514372
2022,Casas de Lázaro,-28.79120879120879
2023,Casas de Ves,-42.20374220374221
2024,Casas-Ibáñez,13.3630289532294
2025,Caudete,15.755847119224187
2026,Cenizate,4.766269477543538
2027,Corral-Rubio,-37.21413721413722
2028,Cotillas,-44.25531914893617
2029,Chinchilla de Monte-Aragón,44.78274659054868
2030,Elche de la Sierra,-10.82294264339152
2031,Férez,-24.201474201474202
2032,Fuensanta,-27.93017456359102
2033,Fuente-Álamo,-0.7349938750510413
2034,Fuentealbilla,-0.8143322475570033
2035,"Gineta, La",25.348055688910225
2036,Golosalvo,-34.285714285714285
2037,Hellín,17.274509050382385
2038,"Herrera, La",-27.251184834123222
2039,Higueruela,-11.633281972265024
2040,Hoya-Gonzalo,-20.259740259740262
2041,Jorquera,-41.75084175084175
2042,Letur,-32.97258297258297
2043,Lezuza,-29.875067897881586
2044,Liétor,-38.56655290102389
2045,Madrigueras,3.589629957899402
2046,Mahora,6.728704366499643
2047,Masegoso,-22.77777777777778
2048,Minaya,-19.018058690744923
2049,Molinicos,-42.93628808864266
2050,Montalvos,-41.830065359477125
2051,Montealegre del Castillo,-5.24849047840223
2052,Motilleja,22.181146025878004
2053,Munera,-18.21017274472169
2054,Navas de Jorquera,-3.7037037037037033
2055,Nerpio,-39.107883817427386
2056,Ontur,-22.519238558120698
2057,Ossa de Montiel,-23.191933240611963
2058,Paterna del Madera,-43.659711075441415
2059,Peñascosa,-27.212389380530972
2060,Peñas de San Pedro,12.870514820592824
2061,Pétrola,-31.66496424923391
2062,Povedilla,-47.24832214765101
2063,Pozohondo,-18.83830455259027
2064,Pozo-Lorente,-27.40740740740741
2065,Pozuelo,-31.28654970760234
2066,"Recueja, La",-38.78116343490305
2067,Riópar,-7.66016713091922
2068,Robledo,-14.161220043572984
2069,"Roda, La",14.930119056422392
2070,Salobre,-32.45341614906832
2071,San Pedro,-10.853293413173652
2072,Socovos,-19.040835707502374
2073,Tarazona de la Mancha,2.710843373493976
2074,Tobarra,6.535947712418301
2075,Valdeganga,-3.5608308605341246
2076,Vianos,-35.2112676056338
2077,Villa de Ves,-10.294117647058822
2078,Villalgordo del Júcar,-18.22289156626506
2079,Villamalea,13.917077413743115
2080,Villapalacios,-39.09691629955947
2081,Villarrobledo,13.643131062485903
2082,Villatoya,-41.23711340206185
2083,Villavaliente,-31.921824104234524
2084,Villaverde de Guadalimar,-45.438596491228076
2085,Viveros,-48.23529411764706
2086,Yeste,-50.57838053450339
2901,Pozo Cañada,
3001,"Atzúbia, l'",4.4673539518900345
3002,Agost,26.138909634055263
3003,Agres,-5.640243902439025
3004,Aigües,110.66176470588236
3005,Albatera,55.5423547582274
3006,Alcalalí,65.91448931116389
3007,Alcosser,112.29508196721312
3008,Alcoleja,-36.054421768707485
3009,Alcoi/Alcoy,-2.3440193036883836
3010,Alfafara,7.161125319693094
3011,"Alfàs del Pi, l'",63.529130469434925
3012,Algorfa,218.859649122807
3013,Algueña,-2.1052631578947367
3014,Alacant/Alicante,27.207304326290988
3015,Almoradí,62.282068402700496
3016,Almudaina,-12.0
3017,"Alqueria d'Asnar, l'",25.552825552825553
3018,Altea,76.19646423552038
3019,Aspe,31.004819718138005
3020,Balones,-32.38636363636363
3021,Banyeres de Mariola,2.820294784580499
3022,Benasau,-17.61904761904762
3023,Beneixama,-5.669816564758199
3024,Benejúzar,12.297863845078858
3025,Benferri,100.09891196834818
3026,Beniarbeig,94.78476821192054
3027,Beniardà,12.5
3028,Beniarrés,-25.614754098360653
3029,Benigembla,37.69230769230769
3030,Benidoleig,55.55555555555556
3031,Benidorm,44.56834532374101
3032,Benifallim,-34.319526627218934
3033,Benifato,0.0
3034,Benijófar,118.1532663316583
3035,Benilloba,-23.30905306971904
3036,Benillup,0.0
3037,Benimantell,23.61111111111111
3038,Benimarfull,3.431372549019608
3039,Benimassot,-13.934426229508196
3040,Benimeli,38.297872340425535
3041,Benissa,34.13808171291239
3042,"Poble Nou de Benitatxell, el/Benitachell",144.2433383609854
3043,Biar,1.09304932735426
3044,Bigastro,55.92035585681
3045,Bolulla,43.790849673202615
3046,Busot,157.39257101238164
3047,Calp,81.86550365785031
3048,Callosa d'en Sarrià,21.923441948750398
3049,Callosa de Segura,27.931713722915298
3050,"Campello, el",97.32236842105263
3051,"Camp de Mirra, el/Campo de Mirra",16.62269129287599
3052,Cañada,11.213235294117647
3053,Castalla,48.931987943912986
3054,Castell de Castells,-10.821643286573146
3055,Catral,90.02253636549888
3056,Cocentaina,5.327372636676912
3057,Confrides,-1.0
3058,Cox,30.660869565217393
3059,Crevillent,26.95429124090661
3060,Quatretondeta,-28.04232804232804
3061,Daya Nueva,48.61227922624054
3062,Daya Vieja,264.4808743169399
3063,Dénia,66.085405366049
3064,Dolores,29.247592622817038
3065,Elx/Elche,24.331107168945007
3066,Elda,0.5364827207067164
3067,Fageca,-19.2
3068,Famorca,-38.35616438356164
3069,Finestrat,487.5
3070,Formentera del Segura,118.65530303030303
3071,Gata de Gorgos,28.500986193293887
3072,Gaianes,76.75159235668791
3073,Gorga,5.185185185185185
3074,Granja de Rocamora,29.383429672447015
3075,"Castell de Guadalest, el",62.1301775147929
3076,Guardamar del Segura,110.62355658198615
3077,"Fondó de les Neus, el/Hondón de las Nieves",70.00630119722747
3078,Hondón de los Frailes,138.36363636363635
3079,Ibi,13.494021635984058
3080,Jacarilla,40.159574468085104
3081,Xaló,47.38935852809548
3082,Xàbia/Jávea,39.11092413406254
3083,Xixona/Jijona,-7.570977917981073
3084,"Orxa, l'/Lorcha",-28.67557715674362
3085,Llíber,79.5066413662239
3086,Millena,61.78343949044586
3088,Monforte del Cid,72.70759543486817
3089,Monòver/Monóvar,3.781547372776169
3090,Mutxamel,111.89451443774942
3091,Murla,73.19277108433735
3092,Muro de Alcoy,30.250563063063062
3093,Novelda,11.139382439192685
3094,"Nucia, la",170.61340941512125
