Year,Mun_Code,Mun,Area_km2,Pop_Density
1996,01001,Alegría-Dulantzi,19.9313,61.91
1998,01001,Alegría-Dulantzi,19.9313,63.17
1999,01001,Alegría-Dulantzi,19.9313,66.68
2000,01001,Alegría-Dulantzi,19.9313,70.29
2001,01001,Alegría-Dulantzi,19.9313,74.56
2002,01001,Alegría-Dulantzi,19.9313,80.18
2003,01001,Alegría-Dulantzi,19.9313,85.64
2004,01001,Alegría-Dulantzi,19.9313,96.28
2005,01001,Alegría-Dulantzi,19.9313,102.75
2006,01001,Alegría-Dulantzi,19.9313,109.83
2007,01001,Alegría-Dulantzi,19.9313,115.65
2008,01001,Alegría-Dulantzi,19.9313,123.78
2009,01001,Alegría-Dulantzi,19.9313,131.45
2010,01001,Alegría-Dulantzi,19.9313,136.17
2011,01001,Alegría-Dulantzi,19.9313,140.63
2012,01001,Alegría-Dulantzi,19.9313,143.94
2013,01001,Alegría-Dulantzi,19.9313,143.99
2014,01001,Alegría-Dulantzi,19.9313,146.75
2015,01001,Alegría-Dulantzi,19.9313,144.6
2016,01001,Alegría-Dulantzi,19.9313,143.29
2017,01001,Alegría-Dulantzi,19.9313,146.15
2018,01001,Alegría-Dulantzi,19.9313,144.85
2019,01001,Alegría-Dulantzi,19.9313,144.3
2020,01001,Alegría-Dulantzi,19.9313,147.26
2021,01001,Alegría-Dulantzi,19.9313,146.75
2022,01001,Alegría-Dulantzi,19.9313,148.51
2023,01001,Alegría-Dulantzi,19.9313,149.26
2024,01001,Alegría-Dulantzi,19.9313,149.06
1996,01002,Amurrio,96.1148,101.52
1998,01002,Amurrio,96.1148,101.47
1999,01002,Amurrio,96.1148,101.47
2000,01002,Amurrio,96.1148,101.13
2001,01002,Amurrio,96.1148,100.87
2002,01002,Amurrio,96.1148,99.82
2003,01002,Amurrio,96.1148,99.41
2004,01002,Amurrio,96.1148,98.97
2005,01002,Amurrio,96.1148,99.8
2006,01002,Amurrio,96.1148,100.21
2007,01002,Amurrio,96.1148,102.78
2008,01002,Amurrio,96.1148,104.32
2009,01002,Amurrio,96.1148,104.97
2010,01002,Amurrio,96.1148,104.56
2011,01002,Amurrio,96.1148,104.19
2012,01002,Amurrio,96.1148,105.23
2013,01002,Amurrio,96.1148,105.49
2014,01002,Amurrio,96.1148,106.53
2015,01002,Amurrio,96.1148,106.78
2016,01002,Amurrio,96.1148,106.75
2017,01002,Amurrio,96.1148,107.07
2018,01002,Amurrio,96.1148,107.02
2019,01002,Amurrio,96.1148,107.68
2020,01002,Amurrio,96.1148,106.79
2021,01002,Amurrio,96.1148,107.24
2022,01002,Amurrio,96.1148,106.97
2023,01002,Amurrio,96.1148,107.3
2024,01002,Amurrio,96.1148,107.48
1996,01003,Aramaio,73.0331,18.42
1998,01003,Aramaio,73.0331,18.69
1999,01003,Aramaio,73.0331,18.8
2000,01003,Aramaio,73.0331,19.39
2001,01003,Aramaio,73.0331,19.81
2002,01003,Aramaio,73.0331,20.25
2003,01003,Aramaio,73.0331,20.39
2004,01003,Aramaio,73.0331,20.36
2005,01003,Aramaio,73.0331,20.58
2006,01003,Aramaio,73.0331,20.4
2007,01003,Aramaio,73.0331,20.44
2008,01003,Aramaio,73.0331,20.39
2009,01003,Aramaio,73.0331,20.52
2010,01003,Aramaio,73.0331,20.5
2011,01003,Aramaio,73.0331,20.48
2012,01003,Aramaio,73.0331,20.72
2013,01003,Aramaio,73.0331,20.42
2014,01003,Aramaio,73.0331,20.24
2015,01003,Aramaio,73.0331,20.79
2016,01003,Aramaio,73.0331,20.57
2017,01003,Aramaio,73.0331,20.48
2018,01003,Aramaio,73.0331,20.31
2019,01003,Aramaio,73.0331,20.09
2020,01003,Aramaio,73.0331,19.74
2021,01003,Aramaio,73.0331,19.94
2022,01003,Aramaio,73.0331,19.59
2023,01003,Aramaio,73.0331,19.29
2024,01003,Aramaio,73.0331,18.91
1996,01004,Artziniega,27.2643,47.42
1998,01004,Artziniega,27.2643,48.3
1999,01004,Artziniega,27.2643,49.08
2000,01004,Artziniega,27.2643,49.08
2001,01004,Artziniega,27.2643,48.82
2002,01004,Artziniega,27.2643,49.11
2003,01004,Artziniega,27.2643,50.65
2004,01004,Artziniega,27.2643,53.22
2005,01004,Artziniega,27.2643,54.98
2006,01004,Artziniega,27.2643,59.82
2007,01004,Artziniega,27.2643,62.43
2008,01004,Artziniega,27.2643,64.7
2009,01004,Artziniega,27.2643,66.68
2010,01004,Artziniega,27.2643,66.68
2011,01004,Artziniega,27.2643,67.6
2012,01004,Artziniega,27.2643,68.26
2013,01004,Artziniega,27.2643,67.19
2014,01004,Artziniega,27.2643,66.68
2015,01004,Artziniega,27.2643,67.08
2016,01004,Artziniega,27.2643,67.49
2017,01004,Artziniega,27.2643,67.08
2018,01004,Artziniega,27.2643,67.16
2019,01004,Artziniega,27.2643,66.79
2020,01004,Artziniega,27.2643,66.02
2021,01004,Artziniega,27.2643,66.35
2022,01004,Artziniega,27.2643,66.39
2023,01004,Artziniega,27.2643,67.19
2024,01004,Artziniega,27.2643,68.07
1996,01006,Armiñón,12.9624,10.72
1998,01006,Armiñón,12.9624,11.19
1999,01006,Armiñón,12.9624,11.8
2000,01006,Armiñón,12.9624,11.26
2001,01006,Armiñón,12.9624,12.19
2002,01006,Armiñón,12.9624,12.88
2003,01006,Armiñón,12.9624,13.11
2004,01006,Armiñón,12.9624,12.5
2005,01006,Armiñón,12.9624,13.5
2006,01006,Armiñón,12.9624,13.81
2007,01006,Armiñón,12.9624,15.35
2008,01006,Armiñón,12.9624,15.28
2009,01006,Armiñón,12.9624,15.97
2010,01006,Armiñón,12.9624,17.36
2011,01006,Armiñón,12.9624,17.67
2012,01006,Armiñón,12.9624,17.82
2013,01006,Armiñón,12.9624,18.28
2014,01006,Armiñón,12.9624,19.29
2015,01006,Armiñón,12.9624,18.82
2016,01006,Armiñón,12.9624,18.05
2017,01006,Armiñón,12.9624,18.44
2018,01006,Armiñón,12.9624,16.9
2019,01006,Armiñón,12.9624,17.51
2020,01006,Armiñón,12.9624,17.2
2021,01006,Armiñón,12.9624,17.82
2022,01006,Armiñón,12.9624,18.13
2023,01006,Armiñón,12.9624,17.9
2024,01006,Armiñón,12.9624,19.06
1996,01008,Arratzua-Ubarrundia,57.4872,12.96
1998,01008,Arratzua-Ubarrundia,57.4872,13.24
1999,01008,Arratzua-Ubarrundia,57.4872,13.15
2000,01008,Arratzua-Ubarrundia,57.4872,12.63
2001,01008,Arratzua-Ubarrundia,57.4872,12.92
2002,01008,Arratzua-Ubarrundia,57.4872,12.59
2003,01008,Arratzua-Ubarrundia,57.4872,12.47
2004,01008,Arratzua-Ubarrundia,57.4872,13.83
2005,01008,Arratzua-Ubarrundia,57.4872,14.04
2006,01008,Arratzua-Ubarrundia,57.4872,14.99
2007,01008,Arratzua-Ubarrundia,57.4872,15.31
2008,01008,Arratzua-Ubarrundia,57.4872,15.69
2009,01008,Arratzua-Ubarrundia,57.4872,16.02
2010,01008,Arratzua-Ubarrundia,57.4872,15.88
2011,01008,Arratzua-Ubarrundia,57.4872,16.54
2012,01008,Arratzua-Ubarrundia,57.4872,17.1
2013,01008,Arratzua-Ubarrundia,57.4872,17.06
2014,01008,Arratzua-Ubarrundia,57.4872,17.29
2015,01008,Arratzua-Ubarrundia,57.4872,17.34
2016,01008,Arratzua-Ubarrundia,57.4872,17.03
2017,01008,Arratzua-Ubarrundia,57.4872,16.98
2018,01008,Arratzua-Ubarrundia,57.4872,17.08
2019,01008,Arratzua-Ubarrundia,57.4872,17.05
2020,01008,Arratzua-Ubarrundia,57.4872,17.12
2021,01008,Arratzua-Ubarrundia,57.4872,17.69
2022,01008,Arratzua-Ubarrundia,57.4872,17.93
2023,01008,Arratzua-Ubarrundia,57.4872,18.14
2024,01008,Arratzua-Ubarrundia,57.4872,18.21
1996,01009,Asparrena,65.0606,23.69
1998,01009,Asparrena,65.0606,23.73
1999,01009,Asparrena,65.0606,23.99
2000,01009,Asparrena,65.0606,24.25
2001,01009,Asparrena,65.0606,24.36
2002,01009,Asparrena,65.0606,24.5
2003,01009,Asparrena,65.0606,24.24
2004,01009,Asparrena,65.0606,24.3
2005,01009,Asparrena,65.0606,24.68
2006,01009,Asparrena,65.0606,24.33
2007,01009,Asparrena,65.0606,24.25
2008,01009,Asparrena,65.0606,24.52
2009,01009,Asparrena,65.0606,25.27
2010,01009,Asparrena,65.0606,25.82
2011,01009,Asparrena,65.0606,25.88
2012,01009,Asparrena,65.0606,26.1
2013,01009,Asparrena,65.0606,25.68
2014,01009,Asparrena,65.0606,25.39
2015,01009,Asparrena,65.0606,25.31
2016,01009,Asparrena,65.0606,25.05
2017,01009,Asparrena,65.0606,25.21
2018,01009,Asparrena,65.0606,25.25
2019,01009,Asparrena,65.0606,24.81
2020,01009,Asparrena,65.0606,24.95
2021,01009,Asparrena,65.0606,25.1
2022,01009,Asparrena,65.0606,25.16
2023,01009,Asparrena,65.0606,24.73
2024,01009,Asparrena,65.0606,24.76
1996,01010,Ayala/Aiara,140.9618,14.24
1998,01010,Ayala/Aiara,140.9618,14.2
1999,01010,Ayala/Aiara,140.9618,14.41
2000,01010,Ayala/Aiara,140.9618,14.64
2001,01010,Ayala/Aiara,140.9618,14.8
2002,01010,Ayala/Aiara,140.9618,15.3
2003,01010,Ayala/Aiara,140.9618,15.86
2004,01010,Ayala/Aiara,140.9618,17.13
2005,01010,Ayala/Aiara,140.9618,18.03
2006,01010,Ayala/Aiara,140.9618,18.62
2007,01010,Ayala/Aiara,140.9618,18.69
2008,01010,Ayala/Aiara,140.9618,19.23
2009,01010,Ayala/Aiara,140.9618,19.6
2010,01010,Ayala/Aiara,140.9618,20.06
2011,01010,Ayala/Aiara,140.9618,20.43
2012,01010,Ayala/Aiara,140.9618,20.7
2013,01010,Ayala/Aiara,140.9618,20.82
2014,01010,Ayala/Aiara,140.9618,20.78
2015,01010,Ayala/Aiara,140.9618,20.76
2016,01010,Ayala/Aiara,140.9618,20.9
2017,01010,Ayala/Aiara,140.9618,21.06
2018,01010,Ayala/Aiara,140.9618,21.05
2019,01010,Ayala/Aiara,140.9618,21.1
2020,01010,Ayala/Aiara,140.9618,21.06
2021,01010,Ayala/Aiara,140.9618,20.93
2022,01010,Ayala/Aiara,140.9618,20.72
2023,01010,Ayala/Aiara,140.9618,20.7
2024,01010,Ayala/Aiara,140.9618,20.87
1996,01011,Baños de Ebro/Mañueta,9.4965,35.28
1998,01011,Baños de Ebro/Mañueta,9.4965,35.17
1999,01011,Baños de Ebro/Mañueta,9.4965,35.07
2000,01011,Baños de Ebro/Mañueta,9.4965,34.54
2001,01011,Baños de Ebro/Mañueta,9.4965,35.17
2002,01011,Baños de Ebro/Mañueta,9.4965,35.91
2003,01011,Baños de Ebro/Mañueta,9.4965,36.33
2004,01011,Baños de Ebro/Mañueta,9.4965,35.38
2005,01011,Baños de Ebro/Mañueta,9.4965,36.22
2006,01011,Baños de Ebro/Mañueta,9.4965,38.65
2007,01011,Baños de Ebro/Mañueta,9.4965,37.59
2008,01011,Baños de Ebro/Mañueta,9.4965,37.59
2009,01011,Baños de Ebro/Mañueta,9.4965,35.07
2010,01011,Baños de Ebro/Mañueta,9.4965,34.64
2011,01011,Baños de Ebro/Mañueta,9.4965,34.12
2012,01011,Baños de Ebro/Mañueta,9.4965,33.38
2013,01011,Baños de Ebro/Mañueta,9.4965,34.01
2014,01011,Baños de Ebro/Mañueta,9.4965,34.22
2015,01011,Baños de Ebro/Mañueta,9.4965,32.75
2016,01011,Baños de Ebro/Mañueta,9.4965,32.43
2017,01011,Baños de Ebro/Mañueta,9.4965,32.22
2018,01011,Baños de Ebro/Mañueta,9.4965,30.12
2019,01011,Baños de Ebro/Mañueta,9.4965,30.64
2020,01011,Baños de Ebro/Mañueta,9.4965,30.96
2021,01011,Baños de Ebro/Mañueta,9.4965,30.22
2022,01011,Baños de Ebro/Mañueta,9.4965,31.17
2023,01011,Baños de Ebro/Mañueta,9.4965,31.06
2024,01011,Baños de Ebro/Mañueta,9.4965,30.64
1996,01013,Barrundia,97.2231,5.7
1998,01013,Barrundia,97.2231,6.03
1999,01013,Barrundia,97.2231,6.07
2000,01013,Barrundia,97.2231,6.27
2001,01013,Barrundia,97.2231,6.41
2002,01013,Barrundia,97.2231,6.68
2003,01013,Barrundia,97.2231,7.24
2004,01013,Barrundia,97.2231,7.77
2005,01013,Barrundia,97.2231,8.01
2006,01013,Barrundia,97.2231,8.18
2007,01013,Barrundia,97.2231,8.41
2008,01013,Barrundia,97.2231,8.65
2009,01013,Barrundia,97.2231,9.0
2010,01013,Barrundia,97.2231,9.36
2011,01013,Barrundia,97.2231,9.32
2012,01013,Barrundia,97.2231,9.34
2013,01013,Barrundia,97.2231,9.5
2014,01013,Barrundia,97.2231,9.41
2015,01013,Barrundia,97.2231,9.31
2016,01013,Barrundia,97.2231,9.29
2017,01013,Barrundia,97.2231,9.24
2018,01013,Barrundia,97.2231,9.08
2019,01013,Barrundia,97.2231,9.08
2020,01013,Barrundia,97.2231,9.06
2021,01013,Barrundia,97.2231,9.21
2022,01013,Barrundia,97.2231,9.4
2023,01013,Barrundia,97.2231,9.23
2024,01013,Barrundia,97.2231,9.04
1996,01014,Berantevilla,35.7191,11.28
1998,01014,Berantevilla,35.7191,11.37
1999,01014,Berantevilla,35.7191,11.81
2000,01014,Berantevilla,35.7191,12.04
2001,01014,Berantevilla,35.7191,12.79
2002,01014,Berantevilla,35.7191,13.07
2003,01014,Berantevilla,35.7191,12.99
2004,01014,Berantevilla,35.7191,12.82
2005,01014,Berantevilla,35.7191,12.82
2006,01014,Berantevilla,35.7191,12.37
2007,01014,Berantevilla,35.7191,12.49
2008,01014,Berantevilla,35.7191,12.51
2009,01014,Berantevilla,35.7191,12.26
2010,01014,Berantevilla,35.7191,13.97
2011,01014,Berantevilla,35.7191,13.83
2012,01014,Berantevilla,35.7191,13.44
2013,01014,Berantevilla,35.7191,13.41
2014,01014,Berantevilla,35.7191,13.35
2015,01014,Berantevilla,35.7191,13.07
2016,01014,Berantevilla,35.7191,12.57
2017,01014,Berantevilla,35.7191,12.4
2018,01014,Berantevilla,35.7191,12.4
2019,01014,Berantevilla,35.7191,12.68
2020,01014,Berantevilla,35.7191,12.96
2021,01014,Berantevilla,35.7191,13.02
2022,01014,Berantevilla,35.7191,12.65
2023,01014,Berantevilla,35.7191,12.63
2024,01014,Berantevilla,35.7191,12.85
1996,01016,Bernedo,130.3814,4.14
1998,01016,Bernedo,130.3814,4.2
1999,01016,Bernedo,130.3814,4.17
2000,01016,Bernedo,130.3814,4.2
2001,01016,Bernedo,130.3814,4.14
2002,01016,Bernedo,130.3814,4.1
2003,01016,Bernedo,130.3814,4.17
2004,01016,Bernedo,130.3814,4.13
2005,01016,Bernedo,130.3814,4.34
2006,01016,Bernedo,130.3814,4.36
2007,01016,Bernedo,130.3814,4.46
2008,01016,Bernedo,130.3814,4.51
2009,01016,Bernedo,130.3814,4.41
2010,01016,Bernedo,130.3814,4.41
2011,01016,Bernedo,130.3814,4.33
2012,01016,Bernedo,130.3814,4.36
2013,01016,Bernedo,130.3814,4.35
2014,01016,Bernedo,130.3814,4.18
2015,01016,Bernedo,130.3814,4.03
2016,01016,Bernedo,130.3814,3.83
2017,01016,Bernedo,130.3814,3.87
2018,01016,Bernedo,130.3814,3.92
2019,01016,Bernedo,130.3814,3.79
2020,01016,Bernedo,130.3814,3.89
2021,01016,Bernedo,130.3814,4.13
2022,01016,Bernedo,130.3814,4.3
2023,01016,Bernedo,130.3814,4.14
2024,01016,Bernedo,130.3814,4.19
1996,01017,Campezo/Kanpezu,85.2997,13.0
1998,01017,Campezo/Kanpezu,85.2997,12.58
1999,01017,Campezo/Kanpezu,85.2997,12.45
2000,01017,Campezo/Kanpezu,85.2997,12.43
2001,01017,Campezo/Kanpezu,85.2997,12.71
2002,01017,Campezo/Kanpezu,85.2997,12.67
2003,01017,Campezo/Kanpezu,85.2997,12.46
2004,01017,Campezo/Kanpezu,85.2997,12.72
2005,01017,Campezo/Kanpezu,85.2997,12.7
2006,01017,Campezo/Kanpezu,85.2997,12.6
2007,01017,Campezo/Kanpezu,85.2997,12.97
2008,01017,Campezo/Kanpezu,85.2997,12.99
2009,01017,Campezo/Kanpezu,85.2997,13.11
2010,01017,Campezo/Kanpezu,85.2997,13.2
2011,01017,Campezo/Kanpezu,85.2997,13.17
2012,01017,Campezo/Kanpezu,85.2997,13.32
2013,01017,Campezo/Kanpezu,85.2997,13.21
2014,01017,Campezo/Kanpezu,85.2997,12.71
2015,01017,Campezo/Kanpezu,85.2997,12.53
2016,01017,Campezo/Kanpezu,85.2997,12.42
2017,01017,Campezo/Kanpezu,85.2997,12.29
2018,01017,Campezo/Kanpezu,85.2997,12.19
2019,01017,Campezo/Kanpezu,85.2997,12.19
2020,01017,Campezo/Kanpezu,85.2997,12.12
2021,01017,Campezo/Kanpezu,85.2997,12.67
2022,01017,Campezo/Kanpezu,85.2997,12.83
2023,01017,Campezo/Kanpezu,85.2997,12.57
2024,01017,Campezo/Kanpezu,85.2997,12.72
1996,01018,Zigoitia,102.0108,10.36
1998,01018,Zigoitia,102.0108,11.1
1999,01018,Zigoitia,102.0108,11.74
2000,01018,Zigoitia,102.0108,12.18
2001,01018,Zigoitia,102.0108,12.69
2002,01018,Zigoitia,102.0108,12.9
2003,01018,Zigoitia,102.0108,13.05
2004,01018,Zigoitia,102.0108,13.05
2005,01018,Zigoitia,102.0108,13.51
2006,01018,Zigoitia,102.0108,13.79
2007,01018,Zigoitia,102.0108,14.83
2008,01018,Zigoitia,102.0108,15.58
2009,01018,Zigoitia,102.0108,16.16
2010,01018,Zigoitia,102.0108,16.61
2011,01018,Zigoitia,102.0108,16.95
2012,01018,Zigoitia,102.0108,17.13
2013,01018,Zigoitia,102.0108,17.2
2014,01018,Zigoitia,102.0108,17.09
2015,01018,Zigoitia,102.0108,17.3
2016,01018,Zigoitia,102.0108,16.93
2017,01018,Zigoitia,102.0108,17.31
2018,01018,Zigoitia,102.0108,17.18
2019,01018,Zigoitia,102.0108,17.13
2020,01018,Zigoitia,102.0108,17.15
2021,01018,Zigoitia,102.0108,17.66
2022,01018,Zigoitia,102.0108,17.86
2023,01018,Zigoitia,102.0108,17.85
2024,01018,Zigoitia,102.0108,18.08
1996,01019,Kripan,12.5594,15.92
1998,01019,Kripan,12.5594,14.89
1999,01019,Kripan,12.5594,15.13
2000,01019,Kripan,12.5594,14.97
2001,01019,Kripan,12.5594,14.73
2002,01019,Kripan,12.5594,14.81
2003,01019,Kripan,12.5594,15.21
2004,01019,Kripan,12.5594,15.13
2005,01019,Kripan,12.5594,15.37
2006,01019,Kripan,12.5594,14.97
2007,01019,Kripan,12.5594,14.65
2008,01019,Kripan,12.5594,14.65
2009,01019,Kripan,12.5594,15.45
2010,01019,Kripan,12.5594,15.53
2011,01019,Kripan,12.5594,15.69
2012,01019,Kripan,12.5594,15.45
2013,01019,Kripan,12.5594,15.77
2014,01019,Kripan,12.5594,14.97
2015,01019,Kripan,12.5594,14.49
2016,01019,Kripan,12.5594,14.81
2017,01019,Kripan,12.5594,14.65
2018,01019,Kripan,12.5594,14.41
2019,01019,Kripan,12.5594,14.33
2020,01019,Kripan,12.5594,14.17
2021,01019,Kripan,12.5594,13.93
2022,01019,Kripan,12.5594,14.01
2023,01019,Kripan,12.5594,13.85
2024,01019,Kripan,12.5594,14.17
1996,01020,Kuartango,84.2523,4.07
1998,01020,Kuartango,84.2523,4.3
1999,01020,Kuartango,84.2523,4.42
2000,01020,Kuartango,84.2523,4.44
2001,01020,Kuartango,84.2523,4.45
2002,01020,Kuartango,84.2523,4.42
2003,01020,Kuartango,84.2523,4.36
2004,01020,Kuartango,84.2523,4.32
2005,01020,Kuartango,84.2523,4.23
2006,01020,Kuartango,84.2523,4.32
2007,01020,Kuartango,84.2523,4.25
2008,01020,Kuartango,84.2523,4.24
2009,01020,Kuartango,84.2523,4.24
2010,01020,Kuartango,84.2523,4.21
2011,01020,Kuartango,84.2523,4.17
2012,01020,Kuartango,84.2523,4.25
2013,01020,Kuartango,84.2523,4.24
2014,01020,Kuartango,84.2523,4.23
2015,01020,Kuartango,84.2523,4.3
2016,01020,Kuartango,84.2523,4.37
2017,01020,Kuartango,84.2523,4.42
2018,01020,Kuartango,84.2523,4.52
2019,01020,Kuartango,84.2523,4.46
2020,01020,Kuartango,84.2523,4.57
2021,01020,Kuartango,84.2523,4.7
2022,01020,Kuartango,84.2523,5.0
2023,01020,Kuartango,84.2523,4.76
2024,01020,Kuartango,84.2523,4.84
1996,01021,Elburgo/Burgelu,32.0758,5.99
1998,01021,Elburgo/Burgelu,32.0758,7.2
1999,01021,Elburgo/Burgelu,32.0758,8.39
2000,01021,Elburgo/Burgelu,32.0758,9.95
2001,01021,Elburgo/Burgelu,32.0758,11.69
2002,01021,Elburgo/Burgelu,32.0758,13.22
2003,01021,Elburgo/Burgelu,32.0758,13.56
2004,01021,Elburgo/Burgelu,32.0758,14.12
2005,01021,Elburgo/Burgelu,32.0758,14.81
2006,01021,Elburgo/Burgelu,32.0758,14.96
2007,01021,Elburgo/Burgelu,32.0758,16.34
2008,01021,Elburgo/Burgelu,32.0758,16.4
2009,01021,Elburgo/Burgelu,32.0758,16.87
2010,01021,Elburgo/Burgelu,32.0758,18.36
2011,01021,Elburgo/Burgelu,32.0758,19.42
2012,01021,Elburgo/Burgelu,32.0758,19.61
2013,01021,Elburgo/Burgelu,32.0758,19.24
2014,01021,Elburgo/Burgelu,32.0758,19.45
2015,01021,Elburgo/Burgelu,32.0758,18.96
2016,01021,Elburgo/Burgelu,32.0758,19.08
2017,01021,Elburgo/Burgelu,32.0758,18.92
2018,01021,Elburgo/Burgelu,32.0758,18.8
2019,01021,Elburgo/Burgelu,32.0758,18.67
2020,01021,Elburgo/Burgelu,32.0758,18.96
2021,01021,Elburgo/Burgelu,32.0758,19.77
2022,01021,Elburgo/Burgelu,32.0758,19.61
2023,01021,Elburgo/Burgelu,32.0758,19.89
2024,01021,Elburgo/Burgelu,32.0758,20.02
1996,01022,Elciego,16.2432,56.7
1998,01022,Elciego,16.2432,55.96
1999,01022,Elciego,16.2432,55.72
2000,01022,Elciego,16.2432,56.95
2001,01022,Elciego,16.2432,57.38
2002,01022,Elciego,16.2432,58.49
2003,01022,Elciego,16.2432,58.06
2004,01022,Elciego,16.2432,57.01
2005,01022,Elciego,16.2432,57.93
2006,01022,Elciego,16.2432,57.38
2007,01022,Elciego,16.2432,61.63
2008,01022,Elciego,16.2432,63.1
2009,01022,Elciego,16.2432,64.4
2010,01022,Elciego,16.2432,64.7
2011,01022,Elciego,16.2432,64.33
2012,01022,Elciego,16.2432,63.84
2013,01022,Elciego,16.2432,64.33
2014,01022,Elciego,16.2432,64.89
2015,01022,Elciego,16.2432,64.7
2016,01022,Elciego,16.2432,61.87
2017,01022,Elciego,16.2432,63.41
2018,01022,Elciego,16.2432,63.1
2019,01022,Elciego,16.2432,61.87
2020,01022,Elciego,16.2432,61.63
2021,01022,Elciego,16.2432,61.32
2022,01022,Elciego,16.2432,59.78
2023,01022,Elciego,16.2432,59.35
2024,01022,Elciego,16.2432,58.79
1996,01023,Elvillar/Bilar,17.489,19.9
1998,01023,Elvillar/Bilar,17.489,20.13
1999,01023,Elvillar/Bilar,17.489,20.36
2000,01023,Elvillar/Bilar,17.489,20.76
2001,01023,Elvillar/Bilar,17.489,20.81
2002,01023,Elvillar/Bilar,17.489,20.98
2003,01023,Elvillar/Bilar,17.489,21.44
2004,01023,Elvillar/Bilar,17.489,21.33
2005,01023,Elvillar/Bilar,17.489,20.93
2006,01023,Elvillar/Bilar,17.489,20.01
2007,01023,Elvillar/Bilar,17.489,20.36
2008,01023,Elvillar/Bilar,17.489,20.41
2009,01023,Elvillar/Bilar,17.489,21.1
2010,01023,Elvillar/Bilar,17.489,20.98
2011,01023,Elvillar/Bilar,17.489,20.64
2012,01023,Elvillar/Bilar,17.489,21.04
2013,01023,Elvillar/Bilar,17.489,20.41
2014,01023,Elvillar/Bilar,17.489,20.07
2015,01023,Elvillar/Bilar,17.489,20.18
2016,01023,Elvillar/Bilar,17.489,20.3
2017,01023,Elvillar/Bilar,17.489,20.18
2018,01023,Elvillar/Bilar,17.489,19.9
2019,01023,Elvillar/Bilar,17.489,19.04
2020,01023,Elvillar/Bilar,17.489,18.87
2021,01023,Elvillar/Bilar,17.489,18.7
2022,01023,Elvillar/Bilar,17.489,18.07
2023,01023,Elvillar/Bilar,17.489,17.9
2024,01023,Elvillar/Bilar,17.489,18.24
1996,01027,Iruraiz-Gauna,47.092,8.66
1998,01027,Iruraiz-Gauna,47.092,8.86
1999,01027,Iruraiz-Gauna,47.092,8.83
2000,01027,Iruraiz-Gauna,47.092,9.15
2001,01027,Iruraiz-Gauna,47.092,9.49
2002,01027,Iruraiz-Gauna,47.092,9.7
2003,01027,Iruraiz-Gauna,47.092,9.73
2004,01027,Iruraiz-Gauna,47.092,9.87
2005,01027,Iruraiz-Gauna,47.092,10.15
2006,01027,Iruraiz-Gauna,47.092,10.07
2007,01027,Iruraiz-Gauna,47.092,10.26
2008,01027,Iruraiz-Gauna,47.092,10.32
2009,01027,Iruraiz-Gauna,47.092,10.47
2010,01027,Iruraiz-Gauna,47.092,10.85
2011,01027,Iruraiz-Gauna,47.092,11.34
2012,01027,Iruraiz-Gauna,47.092,11.49
2013,01027,Iruraiz-Gauna,47.092,10.98
2014,01027,Iruraiz-Gauna,47.092,10.85
2015,01027,Iruraiz-Gauna,47.092,10.81
2016,01027,Iruraiz-Gauna,47.092,10.91
2017,01027,Iruraiz-Gauna,47.092,11.25
2018,01027,Iruraiz-Gauna,47.092,10.98
2019,01027,Iruraiz-Gauna,47.092,10.98
2020,01027,Iruraiz-Gauna,47.092,11.3
2021,01027,Iruraiz-Gauna,47.092,11.23
2022,01027,Iruraiz-Gauna,47.092,11.4
2023,01027,Iruraiz-Gauna,47.092,11.49
2024,01027,Iruraiz-Gauna,47.092,11.74
1996,01028,Labastida/Bastida,38.077,28.42
1998,01028,Labastida/Bastida,38.077,30.91
1999,01028,Labastida/Bastida,38.077,31.38
2000,01028,Labastida/Bastida,38.077,32.64
2001,01028,Labastida/Bastida,38.077,33.48
2002,01028,Labastida/Bastida,38.077,33.83
2003,01028,Labastida/Bastida,38.077,34.19
2004,01028,Labastida/Bastida,38.077,35.03
2005,01028,Labastida/Bastida,38.077,36.53
2006,01028,Labastida/Bastida,38.077,37.66
2007,01028,Labastida/Bastida,38.077,38.74
2008,01028,Labastida/Bastida,38.077,39.47
2009,01028,Labastida/Bastida,38.077,39.24
2010,01028,Labastida/Bastida,38.077,38.63
2011,01028,Labastida/Bastida,38.077,38.61
2012,01028,Labastida/Bastida,38.077,39.6
2013,01028,Labastida/Bastida,38.077,38.76
2014,01028,Labastida/Bastida,38.077,39.1
2015,01028,Labastida/Bastida,38.077,38.63
2016,01028,Labastida/Bastida,38.077,38.34
2017,01028,Labastida/Bastida,38.077,38.19
2018,01028,Labastida/Bastida,38.077,37.95
2019,01028,Labastida/Bastida,38.077,38.13
2020,01028,Labastida/Bastida,38.077,39.84
2021,01028,Labastida/Bastida,38.077,40.23
2022,01028,Labastida/Bastida,38.077,40.39
2023,01028,Labastida/Bastida,38.077,41.13
2024,01028,Labastida/Bastida,38.077,41.1
1996,01030,Lagrán,45.5841,4.17
1998,01030,Lagrán,45.5841,4.28
1999,01030,Lagrán,45.5841,4.32
2000,01030,Lagrán,45.5841,4.43
2001,01030,Lagrán,45.5841,4.37
2002,01030,Lagrán,45.5841,4.3
2003,01030,Lagrán,45.5841,4.19
2004,01030,Lagrán,45.5841,4.28
2005,01030,Lagrán,45.5841,4.21
