Mun_Code,Mun,pop_1996_2017 (k=21),pop_1998_2019 (k=21),pop_1999_2020 (k=21),pop_2000_2021 (k=21),pop_2001_2022 (k=21),pop_2002_2023 (k=21),pop_2003_2024 (k=21)
1001,Alegría-Dulantzi,136.06158833063208,128.4352660841938,120.84273890142964,108.77944325481799,99.19246298788694,86.17021276595744,74.04803749267721
1002,Amurrio,5.46218487394958,6.121193478929561,5.239413513790629,6.039094650205761,6.0443527591542034,7.494267250364811,8.110936682365253
1003,Aramaio,11.226765799256505,7.472527472527473,5.025491624180627,2.824858757062147,-1.10573600552868,-4.732927653820148,-7.25319006044325
1004,Artziniega,41.453982985305494,38.26879271070615,34.52914798206278,35.2017937219731,35.987978963185576,36.8185212845407,34.39536567704562
1006,Armiñón,71.94244604316546,56.55172413793104,45.751633986928105,58.21917808219178,48.734177215189874,38.92215568862276,45.294117647058826
1008,Arratzua-Ubarrundia,31.00671140939597,28.777923784494085,30.158730158730158,40.082644628099175,38.76177658142665,44.06077348066299,46.02510460251046
1009,Asparrena,6.424399740428294,4.533678756476684,3.9718129404228057,3.4854245880861847,3.2807570977917986,0.9410288582183186,2.155992390615092
1010,Ayala/Aiara,47.8585657370518,48.62568715642179,46.13490891186608,42.974806201550386,40.0287631831256,35.28048215113584,31.5742397137746
1011,Baños de Ebro/Mañueta,-8.656716417910449,-12.874251497005988,-11.711711711711711,-12.5,-11.377245508982035,-13.48973607038123,-15.65217391304348
1013,Barrundia,62.093862815884485,50.68259385665529,49.32203389830509,46.72131147540984,46.70947030497592,38.21263482280431,24.857954545454543
1014,Berantevilla,9.925558312655088,11.576354679802956,9.715639810426541,8.13953488372093,-1.0940919037199124,-3.4261241970021414,-1.0775862068965518
1016,Bernedo,-6.666666666666667,-9.854014598540147,-6.8014705882352935,-1.6453382084095063,3.7037037037037033,1.1235955056179776,0.3676470588235294
1017,Campezo/Kanpezu,-5.500450856627593,-3.075489282385834,-2.6365348399246704,1.9811320754716981,0.9225092250922509,-0.8325624421831638,2.06961429915334
1018,Zigoitia,67.07663197729423,54.328621908127204,45.99332220367279,45.088566827697264,40.69498069498069,38.37386018237082,38.54244928625094
1019,Kripan,-8.0,-3.7433155080213902,-6.315789473684211,-6.914893617021277,-4.864864864864865,-6.451612903225806,-6.806282722513089
1020,Kuartango,8.454810495626822,3.867403314917127,3.494623655913978,5.88235294117647,12.266666666666666,7.795698924731183,11.1716621253406
1021,Elburgo/Burgelu,216.14583333333334,159.30735930735932,126.02230483271374,98.7460815047022,67.73333333333333,50.47169811320755,47.58620689655172
1022,Elciego,11.834961997828447,10.561056105610561,10.607734806629834,7.675675675675675,4.184549356223176,1.4736842105263157,1.2725344644750796
1023,Elvillar/Bilar,1.4367816091954022,-5.3977272727272725,-7.303370786516854,-9.917355371900827,-13.186813186813188,-14.713896457765669,-14.933333333333335
1027,Iruraiz-Gauna,29.901960784313726,23.980815347721823,27.884615384615387,22.73781902552204,20.13422818791946,18.38074398249453,20.74235807860262
1028,Labastida/Bastida,34.380776340110906,23.364485981308412,26.94560669456067,23.25020112630732,20.627450980392155,21.583850931677016,20.19969278033794
1030,Lagrán,-12.631578947368421,-19.48717948717949,-17.766497461928935,-15.346534653465346,-12.060301507537687,-12.244897959183673,-10.99476439790576
1031,Laguardia,3.5839775122979622,6.0326472675656495,3.19375443577005,3.6827195467422094,4.731638418079096,1.7277125086385625,1.0252904989747096
1032,Lanciego/Lantziego,3.5384615384615383,7.131782945736434,10.43613707165109,6.134969325153374,10.703363914373089,6.626506024096386,5.709876543209877
1033,Lapuebla de Labarca,-0.23228803716608595,0.11574074074074073,-0.8027522935779817,-0.8092485549132947,0.9280742459396751,-1.3683010262257698,-0.6936416184971098
1034,Leza,11.538461538461538,18.023255813953487,7.653061224489796,5.288461538461538,6.896551724137931,5.263157894736842,0.0
1036,Laudio/Llodio,-8.938884146035253,-8.08368030872347,-7.711898940505297,-6.4953271028037385,-6.5887631071000055,-5.828865762640597,-4.710932118064756
1037,Arraia-Maeztu,5.994152046783626,4.913294797687861,2.9494382022471908,14.613180515759314,12.447552447552447,10.77762619372442,11.38211382113821
1039,Moreda de Álava/Moreda Araba,-18.727915194346288,-23.52941176470588,-27.73972602739726,-27.93103448275862,-24.475524475524477,-27.526132404181187,-23.214285714285715
1041,Navaridas,-0.4405286343612335,-7.834101382488479,-9.767441860465116,-5.741626794258373,-7.834101382488479,-10.454545454545453,-7.729468599033816
1042,Okondo,50.0,46.666666666666664,44.765342960288805,43.75,38.992974238875874,31.2157721796276,23.858921161825727
1043,Oyón-Oion,48.88492417484389,50.756901157613534,49.16885389326334,46.8213058419244,41.52823920265781,36.856913183279744,33.11232449297972
1044,Peñacerrada-Urizaharra,5.179282868525896,7.4074074074074066,1.550387596899225,19.12350597609562,25.0,20.318725099601593,13.962264150943396
1046,Erriberagoitia/Ribera Alta,43.75,51.54440154440154,51.84466019417475,52.117863720073665,52.41635687732342,53.333333333333336,48.50615114235501
1047,Ribera Baja/Erriberabeitia,195.69892473118279,170.54108216432866,180.52738336713995,138.4228187919463,109.15805022156573,95.46703296703298,68.10747663551402
1049,Añana,-23.15270935960591,-15.675675675675677,-20.74468085106383,-18.421052631578945,-17.894736842105264,-18.32460732984293,-23.243243243243246
1051,Agurain/Salvatierra,32.376185458377236,30.59855521155831,28.095601322145946,25.286497259591428,27.233935742971887,25.710754017305316,27.472799208704252
1052,Samaniego,5.901639344262295,3.606557377049181,2.941176470588235,-1.282051282051282,-2.507836990595611,-1.929260450160772,-8.517350157728707
