Mun_Code,Mun,pop_1996_2020 (k=24),pop_1998_2022 (k=24),pop_1999_2023 (k=24),pop_2000_2024 (k=24)
1001,Alegría-Dulantzi,137.84440842787683,135.1072279586974,123.85252069224981,112.06281227694504
1002,Amurrio,5.185488829678213,5.413718855736696,5.741823028811647,6.275720164609054
1003,Aramaio,7.211895910780669,4.835164835164836,2.6219956300072833,-2.4717514124293785
1004,Artziniega,39.21113689095127,37.43356112376613,36.92077727952167,38.714499252615845
1006,Armiñón,60.431654676258994,62.06896551724138,51.633986928104584,69.17808219178082
1008,Arratzua-Ubarrundia,32.080536912751676,35.4796320630749,37.96296296296296,44.214876033057855
1009,Asparrena,5.321219987021415,6.023316062176166,3.074951953875721,2.091254752851711
1010,Ayala/Aiara,47.808764940239044,45.97701149425287,43.67306745445593,42.53875968992248
1011,Baños de Ebro/Mañueta,-12.238805970149254,-11.377245508982035,-11.411411411411411,-11.28048780487805
1013,Barrundia,59.02527075812274,55.972696245733786,52.03389830508475,44.09836065573771
1014,Berantevilla,14.888337468982629,11.330049261083744,6.872037914691943,6.744186046511628
1016,Bernedo,-6.111111111111111,2.18978102189781,-0.7352941176470588,-0.18281535648994515
1017,Campezo/Kanpezu,-6.762849413886383,1.95712954333644,0.9416195856873822,2.358490566037736
1018,Zigoitia,65.46830652790918,60.95406360424028,52.00333889816361,48.470209339774556
1019,Kripan,-11.0,-5.88235294117647,-8.421052631578947,-5.319148936170213
1020,Kuartango,12.244897959183673,16.298342541436465,7.795698924731183,9.090909090909092
1021,Elburgo/Burgelu,216.66666666666666,172.2943722943723,137.17472118959108,101.25391849529781
1022,Elciego,8.686210640608035,6.820682068206821,6.519337016574586,3.2432432432432434
1023,Elvillar/Bilar,-5.172413793103448,-10.227272727272728,-12.07865168539326,-12.121212121212121
1027,Iruraiz-Gauna,30.392156862745097,28.776978417266186,30.048076923076923,28.306264501160094
1028,Labastida/Bastida,40.20332717190388,30.671197960917585,31.04602510460251,25.905068382944492
1030,Lagrán,-14.736842105263156,-10.256410256410255,-12.690355329949238,-15.841584158415841
1031,Laguardia,2.178496134926212,5.25195173882186,4.471256210078069,4.674220963172805
1032,Lanciego/Lantziego,9.076923076923077,12.248062015503876,10.2803738317757,5.061349693251533
1033,Lapuebla de Labarca,0.4645760743321719,0.6944444444444444,-0.8027522935779817,-0.6936416184971098
1034,Leza,15.934065934065933,26.16279069767442,12.244897959183673,0.9615384615384616
1036,Laudio/Llodio,-9.01421182142319,-9.078907281405504,-8.735737571312145,-6.635514018691589
1037,Arraia-Maeztu,7.163742690058479,16.184971098265898,14.04494382022472,17.765042979942695
1039,Moreda de Álava/Moreda Araba,-25.4416961130742,-25.259515570934255,-28.767123287671232,-25.862068965517242
1041,Navaridas,-14.537444933920703,-7.834101382488479,-8.372093023255815,-8.61244019138756
1042,Okondo,56.23376623376623,46.543209876543216,44.163658243080626,43.50961538461539
1043,Oyón-Oion,52.09634255129348,51.736420302760465,48.9501312335958,46.606529209621996
1044,Peñacerrada-Urizaharra,4.382470119521913,27.572016460905353,17.05426356589147,20.318725099601593
1046,Erriberagoitia/Ribera Alta,52.734375,58.301158301158296,60.77669902912621,55.61694290976059
1047,Ribera Baja/Erriberabeitia,197.41935483870967,183.76753507014027,188.64097363083164,141.44295302013424
1049,Añana,-26.60098522167488,-15.675675675675677,-17.02127659574468,-25.263157894736842
1051,Agurain/Salvatierra,32.7186512118019,30.779153766769866,29.290617848970253,28.42551071250623
1052,Samaniego,3.278688524590164,1.9672131147540985,-0.32679738562091504,-7.051282051282051
1053,San Millán/Donemiliaga,2.170767004341534,2.571428571428571,6.607929515418502,4.499274310595065
1054,Urkabustaiz,65.78947368421053,71.49817295980512,70.71428571428572,67.85304247990815
1055,Valdegovía/Gaubea,11.664779161947905,22.433035714285715,15.243243243243242,15.392895586652314
1056,Harana/Valle de Arana,-40.43715846994536,-36.87150837988827,-37.960339943342774,-38.50574712643678
1057,Villabuena de Álava/Eskuernaga,-20.579710144927535,-14.15929203539823,-15.178571428571427,-13.432835820895523
1058,Legutio,46.52936689549962,52.34138972809668,53.63840960240061,51.48874364560639
1059,Vitoria-Gasteiz,18.560079165772006,17.1549044691886,17.836189984987612,18.683462306425344
1060,Yécora/Iekora,6.299212598425196,-1.984126984126984,-3.11284046692607,0.0
1061,Zalduondo,36.029411764705884,47.72727272727273,39.00709219858156,40.57971014492754
1062,Zambrana,16.5266106442577,16.120218579234972,14.054054054054054,21.428571428571427
1063,Zuia,58.51137146795313,47.655259822560204,43.127672571777644,37.507246376811594
1901,Iruña Oka/Iruña de Oca,115.84158415841583,110.99227569815807,114.87455197132617,98.84805266044981
1902,Lantarón,5.790108564535585,3.3296337402885685,1.5151515151515151,-3.941908713692946
2001,Abengibre,-25.318940137389596,-26.613704071499505,-23.694779116465863,-22.23360655737705
2002,Alatoz,-25.91508052708638,-26.51851851851852,-28.21637426900585,-24.81089258698941
2003,Albacete,21.235891765589468,18.495881859556974,17.406305286489932,16.349629510847414
2004,Albatana,-25.13781697905182,-23.340961098398168,-24.71264367816092,-23.967889908256883
2005,Alborea,-16.791979949874687,-18.046971569839307,-18.081180811808117,-16.953316953316953
2006,Alcadozo,-20.024721878862795,-18.613607188703465,-16.387096774193548,-17.396907216494846
2007,Alcalá del Júcar,-23.608445297504797,-24.074074074074073,-25.967213114754102,-25.8792302587923
2008,Alcaraz,-26.403557531962203,-24.45086705202312,-25.52826956025129,-24.971231300345227
2009,Almansa,4.271068192453312,2.3924253952151493,2.837540233779434,2.128286014721346
