Mun_Code,Mun,pop_1996_2014 (k=18),pop_1998_2016 (k=18),pop_1999_2017 (k=18),pop_2000_2018 (k=18),pop_2001_2019 (k=18),pop_2002_2020 (k=18),pop_2003_2021 (k=18),pop_2004_2022 (k=18),pop_2005_2023 (k=18),pop_2006_2024 (k=18)
1001,Alegría-Dulantzi,137.03403565640195,126.84670373312153,119.18735891647856,106.06709493219128,93.53970390309556,83.66708385481853,71.35325131810193,54.247003647733194,45.263671875,35.72407492005482
1002,Amurrio,4.929288788686207,5.19840049215626,5.516251409822619,5.823045267489712,6.7560598246518815,6.983531373775276,7.870225013082156,8.08452481076535,7.516680567139283,7.246677740863787
1003,Aramaio,9.888475836431226,10.036630036630036,8.958485069191552,4.731638418079096,1.38217000691085,-2.501690331304936,-2.216252518468771,-3.765971755211836,-6.254158349966733,-7.315436241610739
1004,Artziniega,40.60324825986079,39.711465451784356,36.696562032884906,36.846038863976084,36.814425244177315,34.42867811799851,30.99203475742216,24.74155754651964,22.214809873248832,13.795217657878602
1006,Armiñón,79.85611510791367,61.37931034482759,56.209150326797385,50.0,43.67088607594937,33.532934131736525,35.88235294117647,45.06172839506173,32.57142857142858,37.988826815642454
1008,Arratzua-Ubarrundia,33.422818791946305,28.64651773981603,29.100529100529098,35.26170798898072,31.897711978465683,35.91160220994475,41.84100418410041,29.68553459119497,29.244114002478316,21.46171693735499
1009,Asparrena,7.203114860480207,5.569948186528497,5.060858424087124,4.119138149556401,1.829652996845426,1.819322459222083,3.551046290424857,3.542061986084757,0.18679950186799502,1.7687934301958308
1010,Ayala/Aiara,45.86653386454183,47.22638680659671,46.18414574101428,43.75,42.56951102588686,37.59851645804358,31.976744186046513,20.952380952380953,14.791502753737214,12.076190476190476
1011,Baños de Ebro/Mañueta,-2.9850746268656714,-7.784431137724551,-8.108108108108109,-12.804878048780488,-12.874251497005988,-13.78299120234604,-16.81159420289855,-11.904761904761903,-14.244186046511627,-20.708446866485016
1013,Barrundia,65.16245487364621,54.09556313993175,52.20338983050847,44.75409836065574,41.73354735152488,35.74730354391371,27.130681818181817,21.059602649006624,15.14762516046213,10.566037735849058
1014,Berantevilla,18.36228287841191,10.591133004926109,4.976303317535545,3.0232558139534884,-0.87527352297593,-0.8565310492505354,0.21551724137931033,-1.3100436681222707,-1.5283842794759825,3.8461538461538463
1016,Bernedo,0.9259259259259258,-8.94160583941606,-7.352941176470589,-6.581352833638025,-8.518518518518519,-5.056179775280898,-1.1029411764705883,4.089219330855019,-4.593639575971731,-4.042179261862917
1017,Campezo/Kanpezu,-2.254283137962128,-1.30475302889096,-1.3182674199623352,-1.8867924528301887,-4.059040590405904,-4.3478260869565215,1.6933207902163687,0.8294930875576038,-1.0156971375807942,0.9302325581395349
1018,Zigoitia,64.90066225165563,52.561837455830386,47.412353923205345,41.14331723027375,34.9034749034749,32.902735562310035,35.386927122464314,36.88955672426747,32.14804063860668,31.058990760483297
1019,Kripan,-6.0,-0.53475935828877,-3.1578947368421053,-3.723404255319149,-2.7027027027027026,-4.301075268817205,-8.37696335078534,-7.368421052631578,-9.844559585492227,-5.319148936170213
1020,Kuartango,3.7900874635568513,1.6574585635359116,0.0,1.8716577540106951,0.26666666666666666,3.494623655913978,7.901907356948229,15.659340659340659,12.640449438202248,12.087912087912088
1021,Elburgo/Burgelu,225.0,164.93506493506493,125.65055762081785,89.0282131661442,59.73333333333334,43.39622641509434,45.74712643678161,38.852097130242825,34.31578947368421,33.75
1022,Elciego,14.440825190010859,10.561056105610561,13.812154696132598,10.81081081081081,7.832618025751073,5.36842105263158,5.620360551431601,4.859611231101512,2.4442082890541976,2.467811158798283
1023,Elvillar/Bilar,0.8620689655172413,0.8522727272727272,-0.8426966292134831,-4.132231404958678,-8.516483516483516,-10.08174386920981,-12.8,-15.281501340482572,-14.48087431693989,-8.857142857142856
1027,Iruraiz-Gauna,25.245098039215684,23.26139088729017,27.403846153846157,19.953596287703014,15.659955257270694,16.411378555798688,15.502183406113538,15.483870967741936,13.179916317991633,16.666666666666664
1028,Labastida/Bastida,37.61552680221811,24.044180118946475,21.673640167364017,16.251005631536604,13.882352941176471,17.77950310559006,17.665130568356375,15.292353823088456,12.580877066858376,9.135285913528591
1030,Lagrán,-15.263157894736842,-13.846153846153847,-15.736040609137056,-21.782178217821784,-21.105527638190953,-17.346938775510203,-10.471204188481675,-10.256410256410255,-10.416666666666668,-10.99476439790576
1031,Laguardia,6.676036542515812,4.897090134847409,4.613200851667849,6.586402266288951,5.508474576271186,0.48375950241879756,0.0683526999316473,0.20270270270270271,-0.7417397167902899,-0.47138047138047134
1032,Lanciego/Lantziego,4.769230769230769,5.5813953488372094,4.8286604361370715,2.3006134969325154,5.657492354740061,6.77710843373494,6.790123456790123,12.597200622083982,7.2727272727272725,1.7830609212481425
1033,Lapuebla de Labarca,0.0,-1.3888888888888888,-1.4908256880733946,-0.9248554913294799,0.34802784222737815,-1.3683010262257698,-0.8092485549132947,2.5943396226415096,1.288056206088993,2.019002375296912
1034,Leza,13.736263736263737,23.25581395348837,3.571428571428571,-5.769230769230769,0.0,0.9569377990430622,4.285714285714286,-1.3636363636363635,-4.3478260869565215,-5.405405405405405
1036,Laudio/Llodio,-7.457439863405815,-7.5251345587488565,-7.635493072534636,-5.477673935617861,-5.566278887787574,-4.772416692946494,-4.567855439563351,-4.35339992521767,-3.842644770031664,-2.6842731897391494
