Mun_Code,Mun,pop_1996_2018 (k=22),pop_1998_2020 (k=22),pop_1999_2021 (k=22),pop_2000_2022 (k=22),pop_2001_2023 (k=22),pop_2002_2024 (k=22)
1001,Alegría-Dulantzi,133.9546191247974,133.12152501985705,120.0902934537246,111.27765881513206,100.20188425302827,85.91989987484355
1002,Amurrio,5.410944865751179,5.239413513790629,5.680303496360095,5.771604938271605,6.3744198040226925,7.671461329997915
1003,Aramaio,10.260223048327138,5.641025641025641,6.04515659140568,1.059322033898305,-2.626123013130615,-6.626098715348208
1004,Artziniega,41.608662026295434,36.674259681093396,35.2017937219731,35.276532137518686,37.64087152516905,38.610903659447345
1006,Armiñón,57.55395683453237,53.79310344827586,50.98039215686274,60.95890410958904,46.835443037974684,47.90419161676647
1008,Arratzua-Ubarrundia,31.812080536912752,29.303547963206306,34.523809523809526,42.011019283746556,40.376850605652756,44.613259668508285
1009,Asparrena,6.619078520441272,5.116580310880829,4.612427930813581,3.7389100126742716,1.5141955835962144,1.066499372647428
1010,Ayala/Aiara,47.7589641434263,48.32583708145927,45.29788281634663,41.52131782945737,39.88494726749761,36.39313861845155
1011,Baños de Ebro/Mañueta,-14.626865671641792,-11.976047904191617,-13.813813813813812,-9.75609756097561,-11.676646706586826,-14.66275659824047
1013,Barrundia,59.38628158844765,50.34129692832765,51.69491525423729,49.8360655737705,43.98073836276083,35.43913713405239
1014,Berantevilla,9.925558312655088,14.039408866995073,10.189573459715639,5.116279069767442,-1.312910284463895,-1.7130620985010707
1016,Bernedo,-5.37037037037037,-7.481751824817519,-1.1029411764705883,2.376599634369287,0.0,2.247191011235955
1017,Campezo/Kanpezu,-6.221821460775474,-3.6346691519105314,1.7890772128060264,3.207547169811321,-1.107011070110701,0.37002775208140615
1018,Zigoitia,65.84673604541155,54.50530035335689,50.41736227045075,46.69887278582931,40.61776061776062,40.121580547112465
1019,Kripan,-9.5,-4.81283422459893,-7.894736842105263,-6.382978723404255,-5.9459459459459465,-4.301075268817205
1020,Kuartango,11.078717201166182,6.353591160220995,6.451612903225806,12.566844919786096,6.933333333333333,9.67741935483871
1021,Elburgo/Burgelu,214.0625,163.2034632034632,135.68773234200745,97.17868338557993,70.13333333333334,51.41509433962265
1022,Elciego,11.292073832790445,10.121012101210122,10.05524861878453,4.972972972972973,3.4334763948497855,0.5263157894736842
1023,Elvillar/Bilar,0.0,-6.25,-8.146067415730338,-12.947658402203857,-14.010989010989011,-13.079019073569482
1027,Iruraiz-Gauna,26.715686274509803,27.577937649880095,27.163461538461537,24.593967517401392,21.02908277404922,21.00656455142232
1028,Labastida/Bastida,33.54898336414048,28.88700084961767,28.20083682008368,23.732904263877717,22.823529411764707,21.506211180124225
1030,Lagrán,-16.842105263157894,-16.923076923076923,-13.19796954314721,-13.366336633663368,-13.5678391959799,-13.26530612244898
1031,Laguardia,5.762473647224174,3.19375443577005,3.9034776437189493,5.028328611898017,3.954802259887006,2.1423635107118177
1032,Lanciego/Lantziego,2.6153846153846154,9.922480620155039,7.78816199376947,11.042944785276074,8.256880733944955,3.1626506024096384
1033,Lapuebla de Labarca,-0.4645760743321719,0.11574074074074073,-1.6055045871559634,0.5780346820809248,0.34802784222737815,-2.0524515393386547
1034,Leza,7.6923076923076925,22.674418604651162,11.73469387755102,4.326923076923077,8.374384236453201,0.4784688995215311
1036,Laudio/Llodio,-8.577311304173154,-8.002437290545343,-8.267114914425427,-7.030114226375908,-6.531378788669205,-5.4872280037842955
1037,Arraia-Maeztu,4.824561403508771,5.924855491329479,12.359550561797752,15.18624641833811,13.566433566433567,12.141882673942701
1039,Moreda de Álava/Moreda Araba,-19.081272084805654,-26.989619377162633,-28.424657534246577,-25.517241379310345,-27.27272727272727,-25.087108013937282
1041,Navaridas,-7.929515418502203,-10.599078341013826,-8.372093023255815,-4.30622009569378,-9.216589861751153,-13.18181818181818
1042,Okondo,50.90909090909091,48.51851851851852,43.922984356197354,42.668269230769226,40.28103044496487,30.7776560788609
1043,Oyón-Oion,50.22301516503123,51.82546749777382,49.518810148731404,46.391752577319586,41.403654485049834,37.17845659163987
1044,Peñacerrada-Urizaharra,2.3904382470119523,7.818930041152264,15.891472868217054,23.50597609561753,21.774193548387096,20.318725099601593
1046,Erriberagoitia/Ribera Alta,52.34375,50.965250965250966,60.38834951456311,51.01289134438306,53.90334572490706,56.481481481481474
1047,Ribera Baja/Erriberabeitia,195.48387096774192,177.15430861723448,188.23529411764704,137.58389261744966,110.19202363367799,97.66483516483517
1049,Añana,-25.615763546798032,-19.45945945945946,-17.5531914893617,-17.894736842105264,-17.894736842105264,-25.654450261780106
1051,Agurain/Salvatierra,32.19178082191781,29.979360165118678,27.866768370200862,26.28300946686597,27.635542168674696,27.441285537700864
1052,Samaniego,4.590163934426229,3.278688524590164,0.6535947712418301,-0.3205128205128205,-4.38871473354232,-6.752411575562702
1053,San Millán/Donemiliaga,2.6049204052098407,0.8571428571428572,5.139500734214391,4.2089985486211905,1.9662921348314606,3.4482758620689653
1054,Urkabustaiz,59.80861244019139,68.81851400730817,68.33333333333333,61.653272101033295,63.511972633979475,62.44444444444445
1055,Valdegovía/Gaubea,12.231030577576444,10.044642857142858,13.405405405405405,18.083961248654468,12.447257383966246,7.955689828801611
1056,Harana/Valle de Arana,-37.43169398907104,-39.10614525139665,-35.977337110481585,-35.05747126436782,-36.15160349854227,-36.49851632047478
1057,Villabuena de Álava/Eskuernaga,-13.333333333333334,-19.174041297935105,-14.583333333333334,-13.134328358208954,-14.414414414414415,-14.95601173020528
1058,Legutio,42.5629290617849,45.090634441087616,49.512378094523626,46.477850399419026,45.972915181753386,47.10860366713681
1059,Vitoria-Gasteiz,16.310202862290765,17.30453938769761,16.550005986534902,16.70699951232529,16.895231656174907,16.585167442491073
1060,Yécora/Iekora,5.905511811023622,7.142857142857142,3.501945525291829,-6.7924528301886795,-7.777777777777778,1.1450381679389312
