Mun_Code,Mun,pop_1996_2009 (k=13),pop_1998_2011 (k=13),pop_1999_2012 (k=13),pop_2000_2013 (k=13),pop_2001_2014 (k=13),pop_2002_2015 (k=13),pop_2003_2016 (k=13),pop_2004_2017 (k=13),pop_2005_2018 (k=13),pop_2006_2019 (k=13),pop_2007_2020 (k=13),pop_2008_2021 (k=13),pop_2009_2022 (k=13),pop_2010_2023 (k=13),pop_2011_2024 (k=13)
1001,Alegría-Dulantzi,112.31766612641816,122.63701350277998,115.87659894657638,104.85367594575304,96.83714670255719,80.35043804755945,67.31107205623901,51.79781136008338,40.966796875,31.384193695751485,27.331887201735356,18.565058775841102,12.977099236641221,9.616801768607223,5.9935783089546915
1002,Amurrio,3.3920885427341667,2.6760996616425716,3.7014252025017944,4.310699588477366,5.611139762764312,6.973108192620388,7.378335949764521,8.189655172413794,7.235195996663886,7.454318936877076,3.8971555825488413,2.7924603570360027,1.9030627415997619,2.6169154228855724,3.1555821849410823
1003,Aramaio,11.449814126394052,9.597069597069599,10.196649672250546,5.296610169491525,2.1423635107118177,2.636916835699797,0.8730691739422431,0.605245460659045,-1.330671989354624,-1.5436241610738255,-3.415941058271936,-2.216252518468771,-4.536357571714476,-5.878423513694055,-7.68716577540107
1004,Artziniega,40.60324825986079,39.93925588458618,39.0881913303438,36.92077727952167,36.58903080390684,36.59447348767737,33.2367849384504,26.05099931082012,22.148098732488325,11.649294911097487,5.7579318448883665,2.5510204081632653,-0.44004400440044,0.77007700770077,0.705371676614216
1006,Armiñón,48.92086330935252,57.931034482758626,50.98039215686274,62.328767123287676,58.22784810126582,46.10778443113773,37.64705882352941,47.53086419753087,25.142857142857146,26.81564245810056,12.060301507537687,16.666666666666664,13.526570048309178,3.111111111111111,7.860262008733625
1008,Arratzua-Ubarrundia,23.624161073825505,24.96714848883049,30.02645502645503,35.12396694214876,33.78196500672948,37.70718232044199,36.541143654114364,22.767295597484278,21.685254027261465,13.68909512761021,11.818181818181818,12.749445676274945,11.943539630836048,14.238773274917854,10.094637223974763
1009,Asparrena,6.683971447112265,9.067357512953368,8.77642536835362,5.893536121673003,4.2271293375394325,3.3249686323713923,3.3608116677235254,3.731815306767868,2.303860523038605,1.9583070120025268,2.8517110266159698,2.3824451410658307,-0.4257907542579075,-4.226190476190476,-4.334916864608076
1010,Ayala/Aiara,37.5996015936255,43.92803598200899,43.67306745445593,42.19961240310077,40.41227229146692,35.69772832637923,31.753130590339897,22.939958592132506,16.719118804091266,13.295238095238096,12.637571157495255,8.892988929889299,5.718422005066956,3.2189600282985493,2.1527777777777777
1011,Baños de Ebro/Mañueta,-0.5970149253731344,-2.9940119760479043,-4.804804804804805,-1.524390243902439,-2.694610778443114,-8.797653958944283,-10.72463768115942,-8.928571428571429,-16.86046511627907,-20.708446866485016,-17.647058823529413,-19.607843137254903,-11.11111111111111,-10.33434650455927,-10.185185185185185
1013,Barrundia,57.942238267148014,54.60750853242321,53.898305084745765,51.47540983606558,46.869983948635635,39.44530046224962,28.267045454545453,18.940397350993376,13.350449293966623,11.069182389937108,7.701711491442542,6.4209274673008325,4.457142857142857,-1.4285714285714286,-2.980132450331126
1014,Berantevilla,8.6848635235732,21.67487684729064,13.744075829383887,11.395348837209303,4.3763676148796495,0.0,-3.2327586206896552,-3.2751091703056767,-3.2751091703056767,2.48868778280543,3.811659192825112,4.026845637583892,3.1963470319634704,-9.619238476953909,-7.08502024291498
1016,Bernedo,6.481481481481481,3.102189781021898,4.411764705882353,3.656307129798903,0.9259259259259258,-1.4981273408239701,-8.272058823529411,-6.319702602230483,-9.717314487632509,-13.181019332161686,-12.736660929432015,-8.503401360544217,-2.608695652173913,-6.086956521739131,-3.3628318584070795
1017,Campezo/Kanpezu,0.8115419296663661,4.659832246039143,6.96798493408663,6.320754716981132,0.0,-1.1100832562442182,-0.37629350893697083,-3.410138248847926,-3.970452446906741,-3.255813953488372,-6.50994575045208,-2.436823104693141,-2.146690518783542,-4.7957371225577266,-3.383793410507569
1018,Zigoitia,56.00756859035004,52.73851590106007,45.826377295492485,41.30434782608695,34.5945945945946,34.11854103343465,29.75206611570248,32.682193839218634,27.213352685050797,24.16488983653163,15.598149372108395,13.40465701699182,10.491206791995149,7.4970484061393154,6.651243493348756
1019,Kripan,-3.0,5.347593582887701,2.1052631578947367,5.319148936170213,1.6216216216216217,-2.1505376344086025,-2.6178010471204187,-3.1578947368421053,-6.217616580310881,-4.25531914893617,-3.260869565217391,-4.891304347826087,-9.278350515463918,-10.76923076923077,-9.644670050761421
1020,Kuartango,4.081632653061225,-3.0386740331491713,-3.763440860215054,-4.545454545454546,-5.066666666666666,-2.6881720430107525,0.2724795640326975,2.197802197802198,7.02247191011236,3.296703296703297,7.5418994413407825,10.92436974789916,17.92717086834734,12.957746478873238,16.23931623931624
1021,Elburgo/Burgelu,181.77083333333331,169.6969696969697,133.8289962825279,93.41692789968651,66.4,43.39622641509434,40.689655172413794,33.99558498896248,26.94736842105263,24.791666666666668,16.030534351145036,20.53231939163498,16.266173752310536,8.31918505942275,3.0497592295345104
1022,Elciego,13.572204125950055,14.96149614961496,14.585635359116022,12.972972972972974,13.090128755364807,10.631578947368421,6.574761399787911,11.23110151187905,8.926673751328375,7.832618025751073,0.0,-2.829268292682927,-7.170172084130019,-8.277830637488107,-8.61244019138756
