Mun_Code,Mun,pop_1996_2002 (k=6),pop_1998_2004 (k=6),pop_1999_2005 (k=6),pop_2000_2006 (k=6),pop_2001_2007 (k=6),pop_2002_2008 (k=6),pop_2003_2009 (k=6),pop_2004_2010 (k=6),pop_2005_2011 (k=6),pop_2006_2012 (k=6),pop_2007_2013 (k=6),pop_2008_2014 (k=6),pop_2009_2015 (k=6),pop_2010_2016 (k=6),pop_2011_2017 (k=6),pop_2012_2018 (k=6),pop_2013_2019 (k=6),pop_2014_2020 (k=6),pop_2015_2021 (k=6),pop_2016_2022 (k=6),pop_2017_2023 (k=6),pop_2018_2024 (k=6)
1001,Alegría-Dulantzi,29.497568881685577,52.42255758538522,54.10082768999247,56.24553890078515,55.114401076716014,54.38047559449311,53.48564733450498,41.427826993225636,36.865234375,31.064412973960714,24.5119305856833,18.565058775841102,10.0,5.232129697862932,3.92436674991081,0.6273963053328686,0.20905923344947736,0.3418803418803419,1.4920194309507286,3.6414565826330536,2.1283899759697906,2.9095947350190507
1002,Amurrio,-1.680672268907563,-2.471034553470727,-1.6507741207833486,-0.9053497942386831,1.897885507993811,4.513237440066709,5.588697017268446,5.656013456686291,4.399499582985821,5.004152823920266,2.631845328474542,2.114291413184402,1.7246506095747844,2.0895522388059704,2.7661274216097462,1.7006130116669964,2.0810730841305847,0.244164469186444,0.4287245444801715,0.20467836257309943,0.2137790302205811,0.42776589539179466
1003,Aramaio,9.962825278810408,8.937728937728938,9.468317552804079,5.2259887005649714,3.1789910158949555,0.676132521974307,0.6715916722632639,0.6724949562878278,-0.4657351962741184,1.5436241610738255,-0.13395847287340923,-0.7387508394895903,1.267511674449633,0.33400133600534404,0.0,-1.982815598149372,-1.6096579476861168,-2.435723951285521,-4.084321475625823,-4.727030625832223,-5.815508021390374,-6.877950101146325
1004,Artziniega,3.557617942768755,10.174639331814731,12.03288490284006,21.898355754858,27.87377911344853,31.74010455563854,31.643736422881968,25.29290144727774,22.94863242161441,14.101778050275904,7.638072855464159,3.061224489795918,0.605060506050605,1.21012101210121,-0.759631036353771,-1.6120365394948952,-0.6004366812227074,-0.9900990099009901,-1.0934937124111537,-1.6304347826086956,0.16402405686167304,1.3653741125068268
1006,Armiñón,20.14388489208633,11.724137931034482,14.37908496732026,22.602739726027394,25.949367088607595,18.562874251497004,21.764705882352942,38.88888888888889,30.857142857142854,29.05027932960894,19.09547738693467,26.262626262626267,17.874396135265698,4.0,4.366812227074235,-5.194805194805195,-4.219409282700422,-10.8,-5.327868852459016,0.4273504273504274,-2.928870292887029,12.785388127853881
1008,Arratzua-Ubarrundia,-2.8187919463087248,4.467805519053877,6.746031746031746,18.732782369146005,18.438761776581426,24.585635359116022,28.451882845188287,14.842767295597485,17.843866171003718,14.037122969837586,11.477272727272728,10.199556541019955,8.251900108577633,7.228915662650602,2.6288117770767614,-0.10172939979654119,-0.10193679918450561,-1.0060362173038229,2.0060180541624875,5.3115423901940755,6.864754098360656,6.619144602851323
1009,Asparrena,3.4393251135626217,2.3963730569948183,2.8827674567584882,0.3168567807351077,-0.4416403785488959,0.06273525721455457,4.2485732403297405,6.261859582542694,4.85678704856787,7.264687302590018,5.893536121673003,3.5736677115987465,0.18248175182481752,-2.976190476190476,-2.6128266033254155,-3.239104829210836,-3.4111310592459607,-1.7554479418886197,-0.8500303582270795,0.4294478527607362,-1.8902439024390243,-1.9476567255021302
1010,Ayala/Aiara,7.420318725099602,20.689655172413794,25.160019694731663,27.180232558139533,26.318312559923296,25.637459434399627,23.568872987477636,17.060041407867494,13.296616837136114,11.161904761904761,11.385199240986717,8.081180811808117,5.935577271082157,4.209409267775026,3.0902777777777777,1.679232350925291,1.3287904599659284,1.3315124615909868,0.8199521694567817,-0.8486082824168364,-1.7177500842034354,-0.8426019548365353
1011,Baños de Ebro/Mañueta,1.791044776119403,0.5988023952095809,3.303303303303303,11.890243902439025,6.88622754491018,4.69208211143695,-3.4782608695652173,-2.083333333333333,-5.813953488372093,-13.623978201634879,-9.523809523809524,-8.96358543417367,-6.606606606606606,-6.382978723404255,-5.555555555555555,-9.779179810725552,-9.907120743034056,-9.538461538461538,-7.717041800643088,-3.896103896103896,-3.594771241830065,1.7482517482517483
1013,Barrundia,17.14801444043321,28.83959044368601,32.03389830508475,30.327868852459016,31.30016051364366,29.583975346687215,24.289772727272727,20.52980132450331,16.30295250320924,14.213836477987421,12.95843520782396,8.799048751486325,3.428571428571429,-0.7692307692307693,-0.8830022075055187,-2.753303964757709,-4.437229437229438,-3.715846994535519,-1.1049723756906076,1.2181616832779625,-0.11135857461024498,-0.4530011325028313
1014,Berantevilla,15.88089330024814,12.807881773399016,8.530805687203792,2.7906976744186047,-2.4070021881838075,-4.282655246252676,-5.603448275862069,8.951965065502183,7.860262008733625,8.597285067873303,7.399103139013453,6.7114093959731544,6.621004566210045,-10.02004008016032,-10.323886639676113,-7.708333333333334,-5.427974947807933,-2.9350104821802936,-0.4282655246252677,0.6681514476614699,1.805869074492099,3.611738148984198
1016,Bernedo,-1.1111111111111112,-1.824817518248175,4.044117647058823,4.021937842778794,7.592592592592593,10.112359550561797,5.698529411764706,6.877323420074349,-0.17667844522968199,-0.17574692442882248,-2.4096385542168677,-7.312925170068027,-8.521739130434783,-13.217391304347824,-10.79646017699115,-10.035211267605634,-12.874779541446207,-6.972477064220184,2.2813688212927756,12.224448897795591,7.142857142857142,6.8493150684931505
