Mun_Code,Mun,pop_1996_2013 (k=17),pop_1998_2015 (k=17),pop_1999_2016 (k=17),pop_2000_2017 (k=17),pop_2001_2018 (k=17),pop_2002_2019 (k=17),pop_2003_2020 (k=17),pop_2004_2021 (k=17),pop_2005_2022 (k=17),pop_2006_2023 (k=17),pop_2007_2024 (k=17)
1001,Alegría-Dulantzi,132.57698541329012,128.9118347895155,114.89841986455983,107.92291220556744,94.27994616419919,79.9749687108886,71.93907439953135,52.42313705054716,44.53125,35.90680676107812,28.893709327548805
1002,Amurrio,3.9044886247181796,5.229160258382036,5.19840049215626,5.874485596707819,6.095925734914904,7.879924953095685,7.420198848770278,8.357863751051303,7.183069224353628,7.070182724252491,4.565239396700071
1003,Aramaio,10.855018587360595,11.20879120879121,9.395484340859433,5.649717514124294,2.48790601243953,-0.8113590263691683,-3.15648085963734,-2.0847343644922667,-4.790419161676647,-5.436241610738255,-7.501674480910918
1004,Artziniega,41.68600154679041,38.876233864844345,37.5186846038864,36.696562032884906,37.56574004507889,35.99701269604182,30.340333091962346,24.67263955892488,20.74716477651768,12.323727774371552,9.048178613396004
1006,Armiñón,70.50359712230215,68.27586206896552,52.94117647058824,63.6986301369863,38.607594936708864,35.92814371257485,31.176470588235293,42.592592592592595,34.285714285714285,29.608938547486037,24.120603015075375
1008,Arratzua-Ubarrundia,31.67785234899329,31.011826544021027,29.4973544973545,34.43526170798898,32.16689098250337,35.35911602209944,37.238493723849366,27.92452830188679,27.757125154894673,20.99767981438515,18.977272727272727
1009,Asparrena,8.436080467229072,6.670984455958549,4.420243433696348,3.929024081115336,3.659305993690852,1.2547051442910917,2.9169308814204187,3.289057558507274,1.9302615193026154,1.6424510423247,2.091254752851711
1010,Ayala/Aiara,46.16533864541832,46.27686156921539,45.05169867060561,43.8468992248062,42.23394055608821,37.87668057487251,32.73703041144901,22.194616977225675,14.909520062942565,11.161904761904761,11.650853889943075
1011,Baños de Ebro/Mañueta,-3.582089552238806,-6.88622754491018,-7.5075075075075075,-6.707317073170732,-14.37125748502994,-14.66275659824047,-14.782608695652174,-14.583333333333334,-13.953488372093023,-19.618528610354225,-18.487394957983195
1013,Barrundia,66.78700361010831,54.436860068259385,53.050847457627114,47.21311475409836,41.73354735152488,36.05546995377504,25.142045454545453,18.543046357615893,17.329910141206675,12.830188679245284,7.45721271393643
1014,Berantevilla,18.858560794044664,15.024630541871922,6.398104265402843,3.0232558139534884,-3.063457330415755,-2.9978586723768736,-0.21551724137931033,1.5283842794759825,-1.3100436681222707,2.0361990950226243,2.914798206278027
1016,Bernedo,5.0,-4.014598540145985,-8.272058823529411,-7.861060329067642,-5.37037037037037,-7.490636704119851,-6.8014705882352935,0.0,-1.0600706713780919,-5.0966608084358525,-6.024096385542169
1017,Campezo/Kanpezu,1.6230838593327321,-0.3727865796831314,-0.2824858757062147,-1.1320754716981132,-4.059040590405904,-3.7927844588344124,-2.7281279397930387,-0.3686635944700461,1.0156971375807942,-0.27906976744186046,-1.89873417721519
1018,Zigoitia,66.03595080416272,55.918727915194346,44.15692821368948,42.19001610305958,35.366795366795365,32.75075987841946,31.40495867768595,35.386927122464314,32.22060957910015,29.42430703624733,21.877065432914737
1019,Kripan,-1.0,-2.6737967914438503,-2.1052631578947367,-2.127659574468085,-2.1621621621621623,-3.225806451612903,-6.806282722513089,-7.894736842105263,-8.808290155440414,-7.446808510638298,-3.260869565217391
1020,Kuartango,4.081632653061225,0.0,-1.0752688172043012,-0.53475935828877,1.6,1.0752688172043012,4.904632152588556,8.791208791208792,18.258426966292134,10.164835164835164,13.966480446927374
1021,Elburgo/Burgelu,221.35416666666666,163.2034632034632,127.5092936802974,90.28213166144201,60.8,41.27358490566038,39.770114942528735,39.95584988962472,32.421052631578945,32.916666666666664,22.519083969465647
1022,Elciego,13.463626492942455,15.62156215621562,11.049723756906078,11.351351351351353,9.97854077253219,5.7894736842105265,6.150583244962885,7.559395248380129,3.1880977683315623,3.4334763948497855,-4.595404595404595
1023,Elvillar/Bilar,2.586206896551724,0.2840909090909091,-0.2808988764044944,-2.7548209366391188,-4.395604395604396,-9.264305177111716,-12.0,-12.332439678284182,-13.661202185792352,-10.571428571428571,-10.393258426966293
1027,Iruraiz-Gauna,26.715686274509803,22.062350119904075,23.557692307692307,22.96983758700696,15.659955257270694,13.129102844638949,16.157205240174672,13.763440860215054,12.343096234309623,14.135021097046414,14.492753623188406
1028,Labastida/Bastida,36.41404805914972,24.97875955819881,22.17573221757322,16.975060337892195,13.333333333333334,12.732919254658384,16.513056835637478,14.842578710644677,10.567936736161036,9.205020920502092,6.101694915254238
1030,Lagrán,-10.526315789473683,-16.41025641025641,-14.720812182741117,-17.82178217821782,-20.603015075376884,-19.897959183673468,-15.18324607329843,-12.307692307692308,-8.854166666666668,-9.947643979057592,-12.371134020618557
1031,Laguardia,7.3787772312016875,7.877927608232789,4.897090134847409,4.390934844192635,6.285310734463277,3.2480995162404978,-0.6151742993848257,-1.0810810810810811,0.0,-0.8754208754208754,-0.40431266846361186
1032,Lanciego/Lantziego,5.384615384615385,5.271317829457364,6.074766355140187,3.2208588957055215,1.9877675840978593,4.066265060240964,9.41358024691358,7.620528771384137,9.696969696969697,5.200594353640416,-0.2911208151382824
1033,Lapuebla de Labarca,-3.8327526132404177,-0.4629629629629629,-2.293577981651376,-0.6936416184971098,-0.580046403712297,-1.3683010262257698,0.0,1.179245283018868,1.873536299765808,2.7315914489311166,-2.6077097505668934
