Mun_Code,Mun,pop_1996_2000 (k=4),pop_1998_2002 (k=4),pop_1999_2003 (k=4),pop_2000_2004 (k=4),pop_2001_2005 (k=4),pop_2002_2006 (k=4),pop_2003_2007 (k=4),pop_2004_2008 (k=4),pop_2005_2009 (k=4),pop_2006_2010 (k=4),pop_2007_2011 (k=4),pop_2008_2012 (k=4),pop_2009_2013 (k=4),pop_2010_2014 (k=4),pop_2011_2015 (k=4),pop_2012_2016 (k=4),pop_2013_2017 (k=4),pop_2014_2018 (k=4),pop_2015_2019 (k=4),pop_2016_2020 (k=4),pop_2017_2021 (k=4),pop_2018_2022 (k=4),pop_2019_2023 (k=4),pop_2020_2024 (k=4)
1001,Alegría-Dulantzi,13.53322528363047,26.92613185067514,28.442437923250562,36.973590292648105,37.81965006729475,36.9837296620776,35.03222026947862,28.556539864512764,27.9296875,23.9835541343079,21.60520607375271,16.295095257397648,9.541984732824428,7.774502579218866,2.818408847663218,-0.4531195538515162,1.4982578397212545,-1.2991452991452992,-0.2081887578070784,2.7661064425770308,0.4119464469618949,2.5285763768617944,3.4422809457579975,1.2265758091993186
1002,Amurrio,-0.38942406230785,-1.6302676099661642,-2.030144570901261,-2.139917695473251,-1.0624033006704487,0.39608088388576196,3.390894819466248,5.414213624894869,5.1814011676397,4.339700996677741,1.366535074400243,0.867657325221901,0.49558925562493805,1.8805970149253732,2.486518873576992,1.4435436029266362,1.4991616530229805,0.4590292020705147,0.8477053493130663,0.03898635477582846,0.15547565834224078,-0.048609760839976666,-0.35748792270531404,0.6430241621200311
1003,Aramaio,5.278810408921933,8.35164835164835,8.448652585579024,5.014124293785311,3.8700760193503805,0.7437457741717377,0.2686366689053056,0.13449899125756556,-0.2661343978709248,0.4697986577181208,0.20093770931011384,1.6118200134318332,-0.5336891260840559,-1.2692050768203071,1.4705882352941175,-0.7270323859881032,0.335345405767941,0.3382949932341001,-3.3596837944664033,-3.9946737683089215,-2.6737967914438503,-3.5064059339177343,-3.953646898432175,-4.230235783633842
1004,Artziniega,3.480278422273782,1.6704631738800304,3.2137518684603883,8.44544095665172,12.622088655146507,21.807318894697538,23.244026068066617,21.571330117160578,21.280853902601734,11.465358675659104,8.28437132784959,5.498866213151928,0.77007700770077,0.0,-0.759631036353771,-1.1284255776464267,-0.16375545851528384,0.7150715071507151,-0.4373974849644614,-2.1739130434782608,-1.0934937124111537,-1.1469142545057347,0.6040637012630422,3.111111111111111
1006,Armiñón,5.0359712230215825,15.172413793103448,11.11111111111111,10.95890410958904,10.759493670886076,7.18562874251497,17.058823529411764,22.22222222222222,18.285714285714285,25.69832402234637,15.07537688442211,16.666666666666664,14.492753623188406,11.11111111111111,6.550218340611353,1.2987012987012987,0.8438818565400843,-12.4,-6.967213114754098,-4.700854700854701,-3.3472803347280333,7.30593607305936,2.2026431718061676,10.762331838565023
1008,Arratzua-Ubarrundia,-2.5503355704697985,-4.862023653088042,-5.158730158730158,9.50413223140496,8.613728129205922,19.060773480662984,22.733612273361228,13.459119496855346,14.12639405204461,5.916473317865429,8.068181818181818,8.980044345898005,6.514657980456026,8.87185104052574,4.837013669821241,-0.40691759918616477,-0.509683995922528,-1.2072434607645874,-1.7051153460381143,0.5107252298263534,4.200819672131147,4.989816700610998,6.428571428571428,6.402439024390244
1009,Asparrena,2.401038286826736,3.2383419689119166,1.0249839846252402,0.19011406844106463,1.3249211356466877,-0.6900878293601004,0.06341154090044387,0.8855154965211892,2.3661270236612704,6.127605811749842,6.7173637515842834,6.4576802507836994,1.6423357664233578,-1.6666666666666667,-2.197149643705463,-4.004711425206125,-1.8551765409934171,-0.5447941888619854,-2.0036429872495445,-0.4294478527607362,-0.426829268292683,-0.36518563603164944,-0.30978934324659235,-0.7393715341959335
1010,Ayala/Aiara,2.788844621513944,7.796101949025487,10.093549975381585,17.00581395348837,21.860019175455417,21.696801112656466,17.844364937388193,12.215320910973086,8.69394177812746,7.695238095238095,9.297912713472485,7.675276752767528,6.225117625769092,3.6080650866643085,1.6319444444444446,0.9595613433858807,1.1584327086882453,1.297371116421987,1.6057396651861975,0.7467752885268161,-0.6062647356012125,-1.550387596899225,-1.882985877605918,-0.8760107816711591
1011,Baños de Ebro/Mañueta,-2.0895522388059704,2.095808383233533,3.6036036036036037,2.4390243902439024,2.9940119760479043,7.624633431085044,3.4782608695652173,6.25,-3.1976744186046515,-10.354223433242508,-9.243697478991598,-11.204481792717088,-3.003003003003003,-1.21580547112462,-4.012345679012346,-2.8391167192429023,-5.263157894736842,-12.0,-6.430868167202572,-4.545454545454546,-6.209150326797386,3.4965034965034967,1.3745704467353952,-1.0204081632653061
1013,Barrundia,10.108303249097473,10.750853242320819,19.322033898305087,23.770491803278688,25.04012841091493,22.496147919876734,16.193181818181817,11.390728476821192,12.323491655969192,14.465408805031446,10.757946210268948,7.966706302021404,5.6000000000000005,0.5494505494505495,-0.11037527593818984,-0.5506607929515419,-2.813852813852814,-3.4972677595628414,-2.430939226519337,-2.436323366555925,-0.33407572383073497,3.5107587768969424,1.5855039637599093,-0.22701475595913734
1014,Berantevilla,6.699751861042183,15.024630541871922,9.95260663507109,6.511627906976744,0.2188183807439825,-5.353319057815846,-3.8793103448275863,-2.4017467248908297,-4.366812227074235,12.895927601809957,10.762331838565023,7.38255033557047,9.360730593607306,-4.408817635270541,-5.465587044534413,-6.458333333333334,-7.515657620041753,-7.127882599580712,-2.9978586723768736,3.11804008908686,4.966139954853273,2.0316027088036117,-0.44150110375275936,-0.8639308855291578
