Mun_Code,Mun,pop_1996_2010 (k=14),pop_1998_2012 (k=14),pop_1999_2013 (k=14),pop_2000_2014 (k=14),pop_2001_2015 (k=14),pop_2002_2016 (k=14),pop_2003_2017 (k=14),pop_2004_2018 (k=14),pop_2005_2019 (k=14),pop_2006_2020 (k=14),pop_2007_2021 (k=14),pop_2008_2022 (k=14),pop_2009_2023 (k=14),pop_2010_2024 (k=14)
1001,Alegría-Dulantzi,119.93517017828201,127.87926926131851,115.95184349134688,108.77944325481799,93.94347240915208,78.72340425531915,70.65026362038664,50.44293903074518,40.4296875,34.07948835084513,26.89804772234273,19.983785974868262,13.549618320610687,9.469417833456154
1002,Amurrio,2.9924164787866365,3.7014252025017944,3.9577565877166,5.339506172839506,5.858690046415678,6.941838649155723,7.702773417059132,8.137089991589571,7.902418682235196,6.561461794019934,4.3324223099504,2.5331604667398024,2.2202398651997224,2.7860696517412937
1003,Aramaio,11.301115241635689,10.842490842490843,8.594319009468318,4.378531073446328,4.906703524533517,1.555104800540906,0.47011417058428473,-0.26899798251513113,-2.3952095808383236,-3.2214765100671143,-2.478231748158071,-3.895231699126931,-6.004002668445631,-7.748830995323981
1004,Artziniega,40.60324825986079,41.30599848139712,36.92077727952167,35.874439461883405,37.415477084898576,37.41598207617625,32.440260680666185,26.18883528600965,21.480987324883255,10.361741263028817,6.286721504112809,2.6077097505668934,0.77007700770077,2.0902090209020905
1006,Armiñón,61.87050359712231,59.310344827586206,54.90196078431373,71.23287671232876,54.43037974683544,40.119760479041915,40.588235294117645,35.18518518518518,29.714285714285715,24.581005586592177,16.08040201005025,18.68686868686869,12.077294685990339,9.777777777777779
1008,Arratzua-Ubarrundia,22.550335570469798,29.172141918528254,29.761904761904763,36.91460055096419,34.185733512786,35.22099447513812,36.122733612273365,23.52201257861635,21.437422552664188,14.153132250580047,15.568181818181817,14.301552106430155,13.246471226927254,14.676889375684556
1009,Asparrena,9.020116807268009,9.974093264248705,7.046764894298526,4.689480354879595,3.9116719242902205,2.258469259723965,3.9949270767279645,3.9215686274509802,0.49813200498132004,2.5268477574226154,3.4854245880861847,2.633228840125392,-2.1289537712895377,-4.107142857142857
1010,Ayala/Aiara,40.786852589641434,45.82708645677162,44.51009354997538,41.90891472868217,40.31639501438159,36.57858136300417,32.78175313059034,22.857142857142858,16.99449252557042,13.066666666666665,11.992409867172675,7.785977859778598,5.609844372059356,4.067916519278387
1011,Baños de Ebro/Mañueta,-1.791044776119403,-5.089820359281437,-3.003003003003003,-0.9146341463414633,-6.88622754491018,-9.67741935483871,-11.304347826086957,-14.880952380952381,-15.406976744186046,-19.891008174386922,-19.607843137254903,-17.086834733893557,-11.411411411411411,-11.55015197568389
1013,Barrundia,64.25992779783394,54.94880546075085,56.61016949152542,50.0,45.26484751203853,39.13713405238829,27.556818181818183,16.95364238410596,13.350449293966623,10.817610062893083,9.41320293398533,8.680142687277051,2.5142857142857142,-3.4065934065934065
1014,Berantevilla,23.82133995037221,18.226600985221676,13.507109004739338,10.930232558139535,2.1881838074398248,-3.854389721627409,-4.525862068965517,-3.2751091703056767,-1.0917030567685588,4.751131221719457,4.260089686098654,1.1185682326621924,2.968036529680365,-8.016032064128256
1016,Bernedo,6.481481481481481,3.64963503649635,4.227941176470589,-0.3656307129798903,-2.5925925925925926,-6.5543071161048685,-7.352941176470589,-5.018587360594796,-12.7208480565371,-10.896309314586995,-7.401032702237521,-4.761904761904762,-6.086956521739131,-5.043478260869565
1017,Campezo/Kanpezu,1.532912533814247,5.871388630009319,6.120527306967985,2.2641509433962264,-1.3837638376383763,-2.0351526364477337,-1.4111006585136407,-4.147465437788019,-3.970452446906741,-3.813953488372093,-2.2603978300180834,-1.263537906137184,-4.114490161001789,-3.641207815275311
1018,Zigoitia,60.264900662251655,54.328621908127204,46.494156928213684,40.33816425120773,36.293436293436294,31.231003039513677,32.682193839218634,31.705484598046578,26.777939042089987,24.307036247334754,19.101123595505616,14.663310258023914,10.430563978168587,8.85478158205431
1019,Kripan,-2.5,3.7433155080213902,4.2105263157894735,0.0,-1.6216216216216217,0.0,-3.664921465968586,-4.736842105263158,-6.7357512953367875,-5.319148936170213,-4.891304347826087,-4.3478260869565215,-10.309278350515463,-8.717948717948717
1020,Kuartango,3.498542274052478,-1.1049723756906076,-4.032258064516129,-4.81283422459893,-3.4666666666666663,-1.0752688172043012,1.3623978201634876,4.670329670329671,5.617977528089887,5.769230769230769,10.614525139664805,17.92717086834734,12.324929971988796,14.929577464788732
1021,Elburgo/Burgelu,206.77083333333334,172.2943722943723,129.36802973977694,95.61128526645768,62.133333333333326,44.339622641509436,39.54022988505747,33.11258278145696,26.105263157894736,26.666666666666668,20.99236641221374,19.581749049429657,17.929759704251385,8.998302207130731
1022,Elciego,14.115092290988057,14.08140814081408,15.469613259668508,13.945945945945946,12.768240343347639,5.7894736842105265,9.225874867444327,10.691144708423327,6.801275239107333,7.4034334763948495,-0.4995004995004995,-5.2682926829268295,-7.839388145315487,-9.134157944814463
1023,Elvillar/Bilar,5.459770114942529,4.545454545454546,0.2808988764044944,-3.3057851239669422,-3.021978021978022,-3.2697547683923704,-5.866666666666666,-6.702412868632708,-9.01639344262295,-5.714285714285714,-8.146067415730338,-11.484593837535014,-15.176151761517614,-13.079019073569482
1027,Iruraiz-Gauna,25.245098039215684,29.73621103117506,24.278846153846153,18.561484918793504,13.870246085011187,12.472647702407002,15.72052401746725,11.182795698924732,8.158995815899582,12.236286919831224,9.523809523809524,10.493827160493826,9.73630831643002,8.21917808219178
