Mun_Code,Mun,pop_1996_2021 (k=25),pop_1998_2023 (k=25),pop_1999_2024 (k=25)
1001,Alegría-Dulantzi,137.03403565640195,136.29864972200158,123.5515425131678
1002,Amurrio,5.626152900184464,5.741823028811647,5.916128370757716
1003,Aramaio,8.25278810408922,3.223443223443224,0.5826656955571741
1004,Artziniega,39.90719257540603,39.10402429764617,38.714499252615845
1006,Armiñón,66.18705035971223,60.0,61.43790849673203
1008,Arratzua-Ubarrundia,36.51006711409396,37.056504599211564,38.492063492063494
1009,Asparrena,5.970149253731343,4.209844559585492,3.2030749519538757
1010,Ayala/Aiara,46.962151394422314,45.82708645677162,44.8547513540128
1011,Baños de Ebro/Mañueta,-14.328358208955224,-11.676646706586826,-12.612612612612612
1013,Barrundia,61.55234657039711,53.07167235494881,48.983050847457626
1014,Berantevilla,15.384615384615385,11.083743842364532,8.767772511848342
1016,Bernedo,-0.3703703703703704,-1.4598540145985401,0.3676470588235294
1017,Campezo/Kanpezu,-2.5247971145175834,-0.09319664492078285,2.1657250470809792
1018,Zigoitia,70.48249763481552,60.86572438162544,53.923205342237054
1019,Kripan,-12.5,-6.951871657754011,-6.315789473684211
1020,Kuartango,15.451895043731778,10.773480662983426,9.67741935483871
1021,Elburgo/Burgelu,230.20833333333334,176.19047619047618,138.66171003717471
1022,Elciego,8.143322475570033,6.050605060506051,5.524861878453039
1023,Elvillar/Bilar,-6.0344827586206895,-11.079545454545455,-10.393258426966293
1027,Iruraiz-Gauna,29.65686274509804,29.73621103117506,32.93269230769231
1028,Labastida/Bastida,41.58964879852125,33.050127442650805,30.962343096234306
1030,Lagrán,-10.0,-11.794871794871794,-13.705583756345177
1031,Laguardia,2.881236823612087,4.471256210078069,4.897090134847409
1032,Lanciego/Lantziego,6.461538461538462,9.767441860465116,6.697819314641744
1033,Lapuebla de Labarca,-0.34843205574912894,0.11574074074074073,-1.4908256880733946
1034,Leza,20.32967032967033,27.906976744186046,7.142857142857142
1036,Laudio/Llodio,-9.561592929242204,-9.023052706408043,-8.404645476772616
1037,Arraia-Maeztu,16.95906432748538,17.341040462427745,15.44943820224719
1039,Moreda de Álava/Moreda Araba,-26.148409893992934,-28.027681660899656,-26.36986301369863
1041,Navaridas,-13.215859030837004,-9.216589861751153,-11.162790697674419
1042,Okondo,55.32467532467532,47.901234567901234,43.682310469314075
1043,Oyón-Oion,52.453166815343444,51.602849510240425,49.30008748906386
1044,Peñacerrada-Urizaharra,19.12350597609562,24.279835390946502,17.05426356589147
