Period,Total municipalities,Growing (%),Declining (%),Mean variation (%),Median variation (%),Std deviation
2011-2017,8132,18.937530742744713,80.10329562223315,-8.057018512257295,-7.653360234423788,10.85877408205916
2018-2021,8132,46.21249385145106,51.64781111657649,-0.056018065300720704,-0.31763476288069004,8.104140404051686
2021-2024,8132,51.72159370388588,45.917363502213476,0.8128012075376804,0.3364911735776777,8.449340146709618
