Mun_Code,Mun_Name,Comarca_Code,Comarca_Name,Prov_Code,Prov_Name,CCAA_Code,CCAA_Name,Hombres_Total_Years,Hombres_Years_With_Data,Hombres_Years_Missing,Hombres_Pct_Missing,Hombres_Missing_Years,Mujeres_Total_Years,Mujeres_Years_With_Data,Mujeres_Years_Missing,Mujeres_Pct_Missing,Mujeres_Missing_Years,Total_Total_Years,Total_Years_With_Data,Total_Years_Missing,Total_Pct_Missing,Total_Missing_Years
6903,Guadiana,601,ALBURQUERQUE,6,Badajoz,11,Extremadura,28,12,16,57.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",28,12,16,57.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",28,12,16,57.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012"
18077,Fornes,1807,ALHAMA,18,Granada,1,Andalucía,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
18106,Játar,1807,ALHAMA,18,Granada,1,Andalucía,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
25913,Riu de Cerdanya,2503,ALTO URGEL,25,Lleida,9,Cataluña/Catalunya,28,26,2,7.14,"1996,1998",28,26,2,7.14,"1996,1998",28,26,2,7.14,"1996,1998"
21902,"Zarza-Perrunal, La	",2103,ANDEVALO ORIENTAL,21,Huelva,1,Andalucía,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
6902,Pueblonuevo del Guadiana,606,BADAJOZ,6,Badajoz,11,Extremadura,28,24,4,14.29,"1996,1998,1999,2000",28,24,4,14.29,"1996,1998,1999,2000",28,24,4,14.29,"1996,1998,1999,2000"
8905,"Palma de Cervelló, La",811,BAIX LLOBREGAT,8,Barcelona,9,Cataluña/Catalunya,28,26,2,7.14,"1996,1998",28,26,2,7.14,"1996,1998",28,26,2,7.14,"1996,1998"
19171,Marchamalo,1901,CAMPIÑA,19,Guadalajara,8,Castilla-La Mancha,28,25,3,10.71,"1996,1998,1999",28,25,3,10.71,"1996,1998,1999",28,25,3,10.71,"1996,1998,1999"
14902,"Guijarrosa, La",1403,CAMPIÑA BAJA,14,Córdoba,1,Andalucía,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
4904,Balanegra,407,CAMPO DALIAS,4,Almería,1,Andalucía,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
